cell	n_estimators	num_leaves	colsample_bytree	reg_alpha	subsample_freq	reg_lambda	subsample	max_depth	learning_rate	min_child_samples	n_jobs
B_cells	3200.0	481	0.94	0.0	2	4.2994	1.0	9	0.1018	193	4.0
CD4_T_cells	4000.0	3491	0.7865	0.2936	9	3.5040195	0.9199	12	0.02061331	77	4.0
CD8_T_cells	1100.0	2320	0.8003279	0.2936	0	1.3659	0.9199	12	0.0449	77	4.0
Dendritic_cells	4000.0	3491	0.7865	0.2936	9	3.5040195	0.9199	12	0.02061331	77	4.0
Immune_general	2700.0	2107	0.8300869	0.2936	0	3.871263	0.9199	12	0.03894949	77	4.0
Lymphocytes	2900.0	192	0.94	0.3183	3	5.0	0.9845639	8	0.1018	281	4.0
Macrophages	1100.0	121	0.92891896	0.3183	3	3.6479895	1.0	7	0.1018	193	4.0
Monocytes	1900.0	192	0.94	0.3183	3	5.0	0.9845639	8	0.1018	281	4.0
NK_cells	2000.0	192	0.94	0.3183	3	5.0	0.9845639	8	0.1018	281	4.0
Neutrophils	4000.0	14952	0.80310357	0.2936	6	1.9707032	0.9415555	14	0.0348	77	4.0
Non_plasma_B_cells	1800.0	219	0.9575	2.079026	7	4.7449	0.8669	8	0.008833594	1	4.0
Plasma_B_cells	4000.0	153	0.9716	0.1056	4	2.7129	0.85468626	8	0.1092	387	4.0
T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Endothelium	1300.0	698	0.742	0.4822	0	1.1887	0.6881	10	0.0348	1	4.0
Fibroblasts	3700.0	3491	0.9949	1.9902	1	3.958	0.8937	15	0.0356	353	4.0
Granulocytes	4000.0	3491	0.7865	0.2936	9	3.5040195	0.9199	12	0.02061331	77	4.0
Monocytic_cells	4000.0	3491	0.7865	0.2936	9	3.5040195	0.9199	12	0.02061331	77	4.0
Basophils	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
CD27neg_Memory_B_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
CD57neg_Cytotoxic_NK_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
CD57pos_Cytotoxic_NK_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
CDC	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Central_memory_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Central_memory_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Class_switched_memory_B_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Classical_monocytes	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Cytotoxic_NK_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Effector_memory_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Effector_memory_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Eosinophils	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Lymphoid_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Memory_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Memory_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Myeloid_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Naive_B_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Naive_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Naive_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Non_classical_monocytes	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Non_switched_memory_B_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
PDC	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Plasmablasts	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Regulatory_NK_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
TEMRA_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
TEMRA_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Transitional_memory_CD8_T_cells	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Transitional_memory_T_helpers	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
Tregs	4000.0	3491	0.7865	0.2936	9	1.8597416	0.9199	14	0.0348	77	4.0
