	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_Sample_2c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_10xv2_Sample_3c
B_cells	33.98948	17.997501999999997	20.261379	7.013713000000001	13.333495	16.822183	11.492941	21.822235	10.23284	9.674233	40.676140000000004	4.131247
Plasma_B_cells	27.014238	12.449822	9.635003	3.7355714	10.203999000000001	5.659862599999999	8.982863	6.647195	7.3671095000000015	6.750700999999999	17.089684	2.194
Non_plasma_B_cells	6.975242	5.547680000000001	10.626375999999999	3.278142	3.129496	11.1623205	2.5100773	15.175039999999996	2.86573	2.923532	23.586454999999997	1.9372473
T_cells	30.104765000000004	13.122344	58.63545	19.965895	34.225973	23.537338000000002	37.451017	21.719417	45.069646999999996	23.640198	39.94136	10.3000544
CD4_T_cells	16.218998000000006	7.446332999999999	28.45189	0.5872196999999999	12.24167	16.855496	11.789144	11.490103	8.557473	9.0003096	25.529513	3.1668756
CD8_T_cells	12.874026999999998	3.8179316	26.175186	16.73099	21.691513	5.640662	25.401506	7.090486599999998	36.128353999999995	11.004	13.84803	3.7414167000000007
gd_T_Cells	1.0117423	1.8580802	4.0083736000000005	2.6476862	0.2927895	1.0411796999999998	0.2603666	3.1388287	0.3838173	3.6358873999999997	0.5638163	3.3917620000000004
NK_cells	2.6359791	0.1955382	1.2180472	0.33649683	0.48299674	0.49416350000000003	0.5467692399999999	0.4713611	0.36176757	0.35365438	0.8484573000000001	0.3168528
Macrophages	12.614329	16.864058	5.333496	38.418465999999995	14.150882999999999	17.03485	9.966650999999999	11.675935	13.275070000000001	24.935591	11.1170985	31.596678000000004
Endothelium	0.0	0.0	0.0	6.759395	0.0	3.274838	0.9832277	0.0	1.7967834999999999	5.207897	1.305916	0.0
Fibroblasts	0.9196469	3.2612476000000004	3.293077	6.934503	1.0308305	1.6383689	0.6359686999999999	0.0	0.0	12.084832	0.77109654	1.3690116
Other	19.735798000000003	48.559308	11.258553	20.571528	36.77582	37.198257	38.923424	44.311053	29.263893000000003	24.103595000000002	5.339932	52.286154
Tumor	6.021252	42.119187	5.478557200000001	15.904411999999999	35.232335	31.77691	37.47035	24.987997	28.487965000000003	23.074076	0.0	52.286154
Pericytes	0.0	0.0	0.0	2.6775587000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar_cells	12.372371000000001	1.3531061000000002	0.0	0.6989280699999999	1.5434852	2.488254	1.4530756999999999	7.625106	0.77592772	0.0	3.3125542	0.0
Respiratory_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4401338	0.0	0.0	0.0	0.0
Muscle_cells	0.0	0.0	5.7799958	0.0	0.0	0.0	0.0	0.7115591299999999	0.0	0.0	0.0	0.0
Mast_cells	1.3421758	5.0870158	0.0	1.2906298	0.0	2.9330928	0.0	5.546255	0.0	1.0295199000000002	2.0273779	0.0
