	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
Monocytes C	9.71	5.11	8.06	12.6	13.0	5.71	7.980000000000001	10.1	7.06
NK_cells	0.8329999999999999	1.38	2.95	0.465	0.019	2.68	2.5700000000000003	2.8000000000000003	4.2700000000000005
T CD8 Memory	16.1	10.9	34.5	37.1	19.1	39.90000000000001	24.6	4.8500000000000005	24.0
T CD4 Naive	20.0	7.62	22.5	14.000000000000002	12.9	7.07	12.3	4.4	13.3
T CD8 Naive	-4.51	1.26	-13.3	-5.12	0.337	-3.52	-4.42	3.94	-5.45
B Naive	5.46	1.7000000000000002	2.48	3.19	3.0700000000000003	4.64	2.81	7.449999999999998	3.82
T CD4 Memory	-8.91	-2.02	-7.629999999999999	-7.32	-9.24	-8.43	-8.76	-0.722	-9.11
MAIT	5.33	3.44	5.050000000000002	0.815	4.42	4.47	5.76	6.950000000000001	6.98
T gd Vd2	4.63	2.77	2.85	3.35	1.24	-1.23	0.799	2.28	3.39
Neutrophils	0.5010000000000001	1.21	0.711	0.8320000000000001	0.7509999999999999	0.614	0.396	0.335	0.158
T gd non-Vd2	-4.06	-3.2	-3.84	-3.93	-0.6629999999999999	0.914	-1.67	-3.2300000000000004	-3.2099999999999995
Basophils	2.24	2.39	0.475	1.91	2.34	0.238	1.82	0.0914	1.12
Monocytes NC+I	-0.0154	0.545	3.140000000000001	2.91	-0.5379999999999999	1.72	1.5599999999999998	0.321	2.48
B Memory	-4.32	-1.3	1.88	2.82	-2.41	-4.130000000000001	-2.5700000000000003	-4.69	-3.19
Dendritic_cells	0.688	0.103	0.267	0.267	0.463	0.5910000000000001	0.435	0.444	0.472
Plasmacytoid_dendritic_cells	0.10800000000000004	0.19699999999999998	0.0119	0.242	0.14400000000000002	0.168	0.16399999999999992	0.28700000000000003	0.114
Plasma_B_cells	2.32	1.01	0.6409999999999999	0.7419999999999999	2.98	1.09	1.08	1.08	1.8500000000000003
CD8_T_cells	11.590000000000005	12.16	21.2	31.980000000000004	19.437	36.38	20.18	8.79	18.55
CD4_T_cells	11.09	5.6000000000000005	14.87	6.68	3.66	-1.3599999999999994	3.5400000000000014	3.678000000000001	4.190000000000002
Monocytes	9.6946	5.655	11.200000000000005	15.509999999999998	12.462000000000002	7.429999999999999	9.54	10.421	9.539999999999996
gd_T_cells	0.5700000000000003	-0.43000000000000027	-0.9899999999999995	-0.5800000000000001	0.5770000000000001	-0.316	-0.8709999999999999	-0.95	0.18000000000000016
T_cells	28.58000000000001	20.77	40.12999999999999	38.895	28.094	39.17400000000001	28.609	18.468	29.9
Non_plasma_B_cells	1.1399999999999997	0.3999999999999999	4.359999999999999	6.01	0.6599999999999997	0.5099999999999998	0.24000000000000016	2.76	0.6299999999999999
B_cells	3.459999999999998	1.41	5.000999999999999	6.752000000000002	3.64	1.6	1.3200000000000005	3.84	2.48
Lymphocytes	32.873000000000005	23.56000000000001	48.081	46.11200000000001	31.753000000000004	43.45399999999999	32.499	25.108000000000004	36.65
Other	53.8954	66.88499999999999	39.2541	35.126999999999995	52.087	47.505	55.14600000000001	63.3136	51.94600000000001
