	SRR7900852	SRR7900853	SRR7900854	SRR7900855	SRR7900856	SRR7900857	SRR7900858	SRR7900859
Monocytes C	8.7	7.829999999999999	7.539999999999999	8.6	10.8	23.9	9.44	11.8
NK_cells	1.48	4.07	2.91	2.71	1.93	5.88	5.24	3.52
T CD8 Memory	14.6	6.3	8.11	10.6	3.9900000000000007	16.4	4.1000000000000005	4.5600000000000005
T CD4 Naive	3.26	0.6579999999999999	7.980000000000001	7.82	7.5	0.687	-0.203	2.26
T CD8 Naive	-3.2300000000000004	3.93	-5.8500000000000005	-3.26	6.63	0.125	5.860000000000001	3.51
B Naive	4.92	10.3	17.4	3.41	6.94	2.3800000000000003	5.89	9.34
T CD4 Memory	12.1	18.8	3.29	8.85	3.04	6.36	12.2	11.8
MAIT	5.34	5.43	4.99	4.37	3.34	3.05	4.23	7.23
T gd Vd2	-1.18	1.6399999999999997	1.06	0.257	1.04	5.55	0.995	0.9890000000000001
Neutrophils	0.7419999999999999	0.633	0.7779999999999999	0.17600000000000005	0.506	0.342	0.48	0.301
T gd non-Vd2	1.2	-3.19	-1.8500000000000003	-0.633	-1.7500000000000002	-6.78	-2.67	-2.52
Basophils	1.72	2.79	0.585	1.61	1.87	1.24	0.8009999999999999	1.65
Monocytes NC+I	-0.916	-0.0582	0.0828	-0.421	-1.05	-1.72	0.0577	0.4270000000000001
B Memory	-3.09	-6.9	-9.74	-0.262	-3.75	-0.67	-2.21	-0.6990000000000001
Dendritic_cells	0.757	0.665	0.318	0.36	0.231	0.19899999999999998	0.7090000000000002	0.295
Plasmacytoid_dendritic_cells	0.21	0.379	0.315	0.14800000000000002	0.384	0.08810000000000001	0.124	0.2
Plasma_B_cells	2.75	2.83	3.3000000000000003	1.69	3.140000000000001	1.66	2.29	2.48
CD8_T_cells	11.37	10.23	2.26	7.339999999999999	10.620000000000003	16.525	9.96	8.07
CD4_T_cells	15.36	19.458000000000006	11.27	16.669999999999998	10.54	7.0470000000000015	11.997	14.06
Monocytes	7.783999999999999	7.7718	7.622800000000002	8.179	9.75	22.18	9.4977	12.227
gd_T_cells	0.020000000000000014	-1.55	-0.79	-0.3760000000000001	-0.7100000000000001	-1.2300000000000004	-1.6749999999999998	-1.531
T_cells	32.09	33.568000000000005	17.73	28.00400000000001	23.79	25.392	24.512	27.829
Non_plasma_B_cells	1.83	3.4000000000000004	7.6599999999999975	3.148	3.1900000000000004	1.71	3.68	8.641
B_cells	4.58	6.23	10.959999999999996	4.838	6.329999999999999	3.37	5.9700000000000015	11.121
Lymphocytes	38.14999999999999	43.868	31.6	35.55200000000001	32.05	34.642	35.722	42.47000000000001
Other	50.637	43.8932	58.7812	53.975	55.209	41.3089	52.6663	42.857
