	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
Monocytes C	12.4	6.709999999999999	10.1	11.2	10.8	5.63	6.260000000000002	5.3100000000000005	9.04	5.3100000000000005	8.17	12.6
NK_cells	2.35	2.88	4.43	2.5	4.53	7.780000000000001	3.62	1.63	1.79	2.87	1.93	5.3
T CD8 Memory	-1.4	0.011200000000000002	-0.0431	-0.0706	15.8	1.67	2.03	1.09	8.32	6.97	3.62	-0.8490000000000001
T CD4 Naive	1.5	9.34	0.385	16.2	2.16	8.01	11.3	6.9	5.0200000000000005	12.2	11.7	3.2
T CD8 Naive	1.35	1.7000000000000002	-0.465	2.15	-4.42	-0.35400000000000004	0.0376	0.426	-3.34	-1.7000000000000002	-0.456	0.8709999999999999
B Naive	-0.0395	0.28900000000000003	0.682	0.0842	0.25399999999999995	0.21899999999999997	0.607	0.00257	0.645	0.924	0.992	-0.0795
T CD4 Memory	8.87	15.0	7.76	17.0	10.7	15.0	11.2	7.090000000000002	9.11	10.8	13.6	8.3
MAIT	4.41	5.07	4.8	2.96	-1.06	11.0	9.33	3.73	5.01	3.73	2.66	7.429999999999999
T gd Vd2	0.239	2.09	-0.185	1.48	4.8599999999999985	1.4200000000000002	1.94	2.7	1.84	1.09	1.15	-0.0378
Neutrophils	52.2	41.2	59.5	35.2	26.4	27.200000000000006	41.7	79.9	50.3	21.0	31.4	54.50000000000001
T gd non-Vd2	0.535	-2.65	-0.88	-2.62	-6.34	-2.14	-2.54	-1.48	-0.469	1.02	-0.6990000000000001	-0.33399999999999996
Basophils	3.8	1.91	9.28	3.63	4.54	9.85	4.93	3.03	2.87	2.83	3.12	13.2
Monocytes NC+I	1.0	2.28	1.61	1.06	3.78	1.61	0.7190000000000002	1.01	0.483	3.73	0.955	1.79
B Memory	2.6100000000000003	7.670000000000001	9.32	4.37	4.41	8.84	10.4	6.76	7.829999999999999	18.0	17.1	5.52
Dendritic_cells	0.0637	-0.14400000000000002	-0.251	-0.102	-0.118	-0.058099999999999985	-0.08810000000000001	-0.0921	-0.0669	-0.22300000000000006	-0.217	-0.171
Plasmacytoid_dendritic_cells	0.122	0.366	0.29600000000000004	0.215	0.257	0.379	0.483	0.3570000000000001	0.142	0.21899999999999997	0.23399999999999999	0.552
Plasma_B_cells	0.0878	0.517	0.185	0.182	0.10800000000000004	0.579	0.0863	0.00417	0.0688	0.08460000000000001	0.29600000000000004	0.149
CD8_T_cells	-0.049999999999999836	1.7112000000000005	-0.5081	2.0794	11.38	1.3159999999999998	2.0676	1.516	4.98	5.27	3.1639999999999997	0.0219999999999999
CD4_T_cells	10.37	24.34	8.145	33.2	12.86	23.01	22.5	13.99	14.13	23.0	25.299999999999994	11.5
Monocytes	13.4	8.99	11.71	12.26	14.580000000000002	7.24	6.978999999999999	6.3199999999999985	9.523	9.04	9.125	14.39
gd_T_cells	0.774	-0.56	-1.065	-1.14	-1.4799999999999998	-0.7200000000000002	-0.6000000000000001	1.2200000000000004	1.371	2.1100000000000003	0.4509999999999997	-0.3718
T_cells	15.504	30.56120000000001	11.3719	37.09939999999999	21.70000000000001	34.606	33.2976	20.456	25.491000000000003	34.11000000000001	31.575	18.5802
Non_plasma_B_cells	2.5705	7.959	10.002	4.4542	4.664	9.059	11.007	6.762569999999998	8.475	18.924000000000003	18.092000000000006	5.4405
B_cells	2.6583	8.475999999999999	10.187000000000003	4.636200000000001	4.771999999999999	9.638	11.0933	6.7667399999999995	8.5438	19.0086	18.388	5.5894999999999975
Lymphocytes	20.512300000000007	41.91720000000001	25.988900000000005	44.23560000000001	31.001999999999995	52.024	48.01089999999999	28.852740000000004	35.8248	55.9886	51.893	29.4697
Other	9.902	5.760799999999987	-6.523900000000005	4.561400000000004	23.339	3.3650999999999978	-2.014799999999984	-18.36764	1.4070999999999942	11.145399999999995	4.445000000000009	-11.940700000000005
