	SRR1060753	SRR1060754	SRR1060755	SRR1060756	SRR1060757	SRR1060758	SRR1060759	SRR1060760	SRR1060761	SRR1060762	SRR1060763	SRR1060764	SRR1060765	SRR1060766	SRR1060767	SRR1060768	SRR1060769	SRR1060770	SRR1060771	SRR1060772	SRR1060773	SRR1060774	SRR1060775	SRR1060776	SRR1060777	SRR1060778	SRR1060779	SRR1060780	SRR1060781	SRR1060782	SRR1060783	SRR1060784	SRR1060785	SRR1060786	SRR1060787	SRR1060788	SRR1060789	SRR1060790	SRR1060791	SRR1060792	SRR1060793	SRR1060794	SRR1060795	SRR1060796	SRR1060797	SRR1060798	SRR1060799
Monocytes C	8.42	11.9	6.509999999999999	4.01	6.5299999999999985	5.3	5.5	3.9	5.72	3.140000000000001	5.0200000000000005	5.37	9.55	12.3	7.200000000000001	3.74	5.74	4.87	5.66	3.5700000000000003	5.52	3.96	5.57	8.66	9.34	8.38	5.37	9.61	7.249999999999999	8.83	6.3	8.66	9.08	7.969999999999999	8.11	10.2	8.91	9.08	6.0699999999999985	9.79	7.01	8.91	8.43	9.04	6.78	7.75	8.57
NK_cells	2.5700000000000003	1.65	2.63	0.327	0.3570000000000001	6.98	1.03	2.12	0.905	1.28	1.43	1.78	2.81	2.11	3.06	0.171	0.0734	6.800000000000002	1.5	0.22100000000000006	1.7000000000000002	2.49	1.65	4.4	4.62	4.79	5.66	1.3299999999999998	8.64	4.32	3.31	4.23	3.8	3.32	3.42	4.36	4.6	5.52	3.67	0.895	8.06	3.72	3.11	3.5900000000000003	4.14	2.86	3.54
T CD8 Memory	14.3	7.07	34.4	21.2	5.690000000000001	18.600000000000005	16.4	14.400000000000002	16.7	14.7	16.1	15.9	14.6	7.380000000000001	34.1	21.1	5.08	19.0	16.2	15.4	16.1	11.7	16.9	13.0	29.2	29.0	18.600000000000005	5.28	17.6	12.7	17.4	17.1	15.2	15.5	14.800000000000002	12.9	29.100000000000005	28.9	17.2	3.4300000000000006	16.6	14.6	13.900000000000002	16.7	14.2	14.2	15.8
T CD4 Naive	4.14	6.1400000000000015	9.89	15.5	6.29	12.3	12.5	7.580000000000001	11.0	2.14	11.0	10.9	3.6000000000000005	5.9	8.73	17.8	4.49	13.5	9.27	10.9	11.4	3.17	11.6	3.66	10.9	8.74	17.4	8.53	8.93	10.5	10.0	8.95	11.6	5.1	14.000000000000002	4.760000000000002	10.9	10.1	14.7	8.38	10.2	9.83	12.0	7.46	9.29	7.48	9.14
T CD8 Naive	-3.98	-0.7070000000000002	-8.77	-7.39	1.4200000000000002	-9.11	-7.85	-2.06	-7.380000000000001	-6.370000000000001	-6.73	-8.13	-1.2	-1.1900000000000002	-6.41	-9.4	2.14	-11.3	-6.38	-6.329999999999999	-6.64	0.0237	-8.29	-1.6200000000000003	-5.52	-5.52	-0.731	3.87	-2.42	-0.8100000000000002	-4.52	-3.87	-0.619	0.3320000000000001	-6.92	-3.31	-7.490000000000001	-6.21	0.46799999999999997	4.18	-4.06	-2.8400000000000003	-3.37	-1.46	0.6920000000000001	-0.4910000000000001	-3.06
B Naive	1.12	1.83	7.48	2.31	2.48	5.2200000000000015	3.78	2.49	3.49	-0.3770000000000001	3.84	3.58	1.5599999999999998	1.7500000000000002	8.22	2.52	2.64	5.28	3.86	3.5700000000000003	3.49	0.7070000000000002	3.73	1.51	7.22	7.46	2.71	2.34	5.33	2.7	4.49	3.83	4.41	3.87	4.760000000000002	1.18	7.21	6.78	2.34	2.73	5.800000000000002	3.44	3.53	3.36	2.72	3.44	3.5700000000000003
T CD4 Memory	-1.86	-3.44	-4.94	-6.64	-4.190000000000001	-4.8599999999999985	-7.12	-5.949999999999998	-6.72	4.05	-5.62	-6.260000000000002	-1.78	-3.17	-4.82	-6.370000000000001	-2.68	-5.6000000000000005	-5.34	-7.1800000000000015	-7.03	-1.16	-6.150000000000001	-0.145	-1.47	1.16	-4.04	-3.37	-1.68	-5.3100000000000005	-5.24	-3.37	-4.49	-4.05	-6.54	-1.23	-1.0699999999999998	-2.41	-2.76	-2.48	-1.7399999999999998	-3.58	-5.3199999999999985	-2.78	-4.29	-5.1	-4.88
MAIT	3.04	4.21	3.04	5.23	1.17	2.16	1.99	3.5900000000000003	2.24	-1.2	2.18	2.29	3.86	3.97	2.91	5.59	0.8380000000000001	2.73	2.0	4.28	1.7500000000000002	1.61	1.27	2.5	3.47	3.65	3.82	1.26	2.22	3.28	1.02	0.193	1.03	2.6100000000000003	3.5900000000000003	3.790000000000001	4.0	4.95	6.44	1.69	2.62	1.93	2.3800000000000003	0.129	1.27	2.66	2.23
T gd Vd2	5.28	0.777	3.78	0.5489999999999999	1.47	7.16	3.15	3.81	2.64	1.86	2.82	3.0	6.0600000000000005	0.7229999999999999	4.130000000000001	0.327	1.3299999999999998	7.049999999999999	2.92	1.77	3.01	3.2099999999999995	3.3000000000000003	5.8500000000000005	1.38	1.43	4.54	1.66	8.07	3.51	5.3199999999999985	4.81	4.04	4.5	2.88	4.57	0.7850000000000001	1.81	1.32	0.532	7.13	3.97	2.87	5.050000000000002	4.32	3.04	2.74
Neutrophils	57.4	32.1	23.0	30.2	108.0	31.1	61.6	50.3	62.0	57.49999999999999	58.5	61.0	53.2	34.2	21.5	27.800000000000004	104.0	32.9	61.2	49.6	60.4	54.79999999999999	57.3	71.3	30.4	27.200000000000006	40.40000000000001	105.0	35.3	63.4	67.5	64.8	62.6	66.6	64.9	75.8	27.800000000000004	26.1	40.6	106.0	35.8	64.0	65.1	66.2	61.8	62.8	62.7
T gd non-Vd2	-5.74	-1.4	-4.23	-0.4699999999999999	-1.7500000000000002	-9.74	-3.78	-5.07	-2.83	-2.9900000000000007	-3.4799999999999995	-3.81	-7.01	-1.53	-4.72	-0.345	-1.46	-9.59	-3.69	-1.8000000000000005	-3.81	-5.17	-4.17	-8.09	-2.14	-1.44	-7.580000000000001	-2.45	-11.5	-5.6000000000000005	-7.35	-6.8199999999999985	-6.150000000000001	-6.16	-4.58	-6.660000000000001	-1.5	-2.75	-2.86	-0.8829999999999999	-10.3	-5.690000000000001	-4.11	-7.000000000000001	-6.19	-3.95	-3.8
Basophils	3.96	7.64	2.98	6.02	3.140000000000001	11.4	5.050000000000002	4.6	4.8500000000000005	4.71	4.74	5.15	2.95	6.68	2.78	6.03	3.3300000000000005	9.78	4.760000000000002	6.0600000000000005	5.12	5.48	4.89	2.51	1.76	2.31	5.29	3.36	16.4	7.580000000000001	6.93	6.709999999999999	6.39	6.45	6.69	2.66	2.11	2.32	5.1	2.5700000000000003	15.5	5.57	6.29	6.69	6.849999999999999	6.29	6.49
Monocytes NC+I	1.7500000000000002	2.6	2.86	1.4500000000000002	0.878	2.6100000000000003	1.38	0.695	1.6200000000000003	2.16	1.25	1.08	1.11	2.27	1.92	1.41	1.25	2.6100000000000003	1.16	0.7229999999999999	1.51	1.49	0.765	2.52	3.83	3.19	1.91	1.17	3.84	2.73	2.63	1.05	1.49	1.46	2.72	1.6399999999999997	3.45	3.75	2.2	1.18	3.3300000000000005	1.79	1.7000000000000002	1.04	2.41	1.6399999999999997	2.18
B Memory	-0.655	-1.3299999999999998	-3.5700000000000003	1.63	-1.81	-2.27	-2.01	-1.24	-1.7500000000000002	2.36	-2.54	-2.22	-1.17	-1.37	-4.51	1.35	-1.88	-2.24	-2.3	-2.47	-1.68	0.227	-2.37	-0.8540000000000001	-1.43	-2.24	1.52	-1.06	-2.27	-0.342	-2.13	-2.24	-2.8400000000000003	-2.3800000000000003	-2.65	-0.568	-1.95	-1.76	2.37	-1.68	-1.82	-1.2	-1.7000000000000002	-1.52	-0.8959999999999999	-1.89	-1.03
