	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
Monocytes C	3.96	9.65	6.59	2.94	7.75	4.72	6.27
NK_cells	0.19	0.8790000000000001	-0.0357	-2.49	0.11599999999999999	-0.259	-0.418
T CD8 Memory	0.949	-0.444	2.34	15.5	0.478	0.7759999999999999	3.77
T CD4 Naive	-1.03	-0.8500000000000001	-2.32	-3.05	1.09	-7.82	-3.5900000000000003
T CD8 Naive	0.4500000000000001	0.0421	0.983	1.6200000000000003	-1.01	2.87	0.0939
B Naive	1.71	-0.532	0.317	0.856	0.0958	0.748	1.8500000000000003
T CD4 Memory	10.1	12.5	12.4	14.499999999999998	2.54	30.8	13.8
MAIT	1.39	2.04	4.019999999999999	12.8	0.6609999999999999	8.54	2.81
T gd Vd2	0.53	0.484	0.535	2.48	0.183	0.775	1.22
Neutrophils	2.08	12.2	7.13	7.66	4.14	11.5	5.25
T gd non-Vd2	-0.8879999999999999	-1.24	-0.868	-2.07	-0.409	-1.13	-1.41
Basophils	0.115	0.7759999999999999	0.12300000000000005	0.7419999999999999	0.08869999999999999	0.77	0.563
Monocytes NC+I	0.8029999999999999	2.51	3.63	7.59	6.98	5.88	3.94
B Memory	-1.5	3.42	-0.343	0.853	-0.126	2.27	-2.04
Dendritic_cells	0.17700000000000002	0.555	1.26	0.65	-0.0285	0.625	0.304
Plasmacytoid_dendritic_cells	0.0745	0.565	0.0701	0.18100000000000002	0.045700000000000005	0.171	0.129
Plasma_B_cells	6.8199999999999985	2.71	1.93	4.82	0.259	3.2400000000000007	7.66
CD8_T_cells	1.399	-0.4019	3.3230000000000004	17.12	-0.532	3.6460000000000004	3.8639
CD4_T_cells	9.07	11.65	10.08	11.45	3.63	22.98	10.21
Monocytes	4.763	12.16	10.22	10.53	14.73	10.6	10.21
gd_T_cells	-0.358	-0.7559999999999999	-0.33299999999999996	0.41000000000000014	-0.22600000000000006	-0.3549999999999999	-0.19
T_cells	11.501	12.532100000000002	17.090000000000003	41.78	3.533	34.81099999999999	16.6939
Non_plasma_B_cells	0.20999999999999994	2.888	-0.025999999999999964	1.709	-0.0302	3.018	-0.19
B_cells	7.03	5.598	1.904	6.529	0.2288	6.257999999999999	7.4700000000000015
Lymphocytes	18.721	19.0091	18.958300000000012	45.81899999999999	3.8778	40.81	23.7459
Other	74.0695	54.7349	62.2386	34.41799999999999	77.1463	35.52400000000001	59.79810000000001
