	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
Monocytes C	0.23	0.132	0.633	1.08	3.93	-0.0963	0.0258	0.479	0.507	0.486	2.59	0.35100000000000003	-0.263	-0.00434	1.24	0.4050000000000001	-0.0906	3.1	5.0	2.04	0.251	1.51
NK_cells	0.0165	-0.277	0.8079999999999998	0.915	2.21	0.0589	-11.3	0.207	-0.557	-3.51	-4.2700000000000005	0.5539999999999999	0.8409999999999999	-4.7	0.855	0.8870000000000001	1.23	1.04	2.55	1.87	-0.0122	0.11300000000000003
T CD8 Memory	-0.371	1.46	-0.513	-0.0985	1.24	0.157	41.1	-1.93	15.5	22.7	24.7	-0.28900000000000003	-0.0972	117.0	0.138	15.6	1.3	0.34600000000000003	4.3	0.555	-0.0102	-1.84
T CD4 Naive	3.62	4.44	2.01	2.46	5.7700000000000005	-0.155	-5.01	3.0700000000000003	-16.3	-0.8750000000000001	-4.43	4.04	1.18	-22.7	4.79	-2.1	4.6	12.1	-1.3	12.9	0.8840000000000001	4.17
T CD8 Naive	0.204	2.51	1.15	-0.05369999999999999	-1.7399999999999998	0.804	4.5600000000000005	2.18	3.77	2.77	3.27	0.135	-0.24100000000000002	30.7	-1.4500000000000002	-3.4799999999999995	-0.235	-1.37	-3.41	-1.4500000000000002	-0.0192	0.4229999999999999
B Naive	-0.0991	-0.304	-0.4070000000000001	-0.217	-0.466	-0.19	-0.0276	2.8000000000000003	-0.493	-0.12300000000000005	-0.248	-0.08300000000000002	-0.0166	-0.00214	-0.158	-0.3720000000000001	-0.318	-0.32	0.0407	-0.503	-0.00281	12.2
T CD4 Memory	-0.52	28.7	9.57	7.27	9.15	2.34	18.2	15.9	49.3	16.3	20.200000000000006	0.505	9.02	40.7	5.13	20.200000000000006	13.0	-2.92	11.8	3.97	-0.212	23.5
MAIT	0.4079999999999999	-2.77	-0.07769999999999999	0.0318	-0.951	-1.7399999999999998	3.97	5.12	2.79	-0.04080000000000001	-4.47	0.381	0.0007879999999999999	-4.55	1.18	1.54	2.14	0.8370000000000001	2.31	0.313	0.0286	3.97
T gd Vd2	-0.11599999999999999	5.15	0.5379999999999999	-0.141	0.28300000000000003	1.03	55.50000000000001	1.82	19.7	15.0	21.9	-0.17800000000000002	0.23399999999999999	19.6	0.399	17.6	-0.35600000000000004	0.0369	4.49	-0.050099999999999985	0.0022300000000000006	1.58
Neutrophils	0.473	1.35	1.78	2.56	2.3800000000000003	1.82	0.09539999999999997	1.55	2.28	1.81	2.3800000000000003	1.34	1.68	-0.00718	5.54	2.6100000000000003	2.82	1.99	2.39	2.51	0.0242	5.36
