	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
Monocytes C	1.79	5.41	2.11	5.7700000000000005	1.61	6.75	2.56	1.58	1.3299999999999998	0.88	2.03	3.65
NK_cells	-0.392	2.5700000000000003	-0.10400000000000001	1.8500000000000003	0.5489999999999999	3.62	4.47	2.27	1.32	1.1	0.611	2.11
T CD8 Memory	30.4	7.62	21.2	3.4799999999999995	21.2	8.55	11.0	9.26	22.7	6.73	7.61	7.26
T CD4 Naive	0.297	5.489999999999998	0.919	0.9590000000000001	-0.65	2.58	1.98	6.97	11.0	3.94	3.0700000000000003	5.5
T CD8 Naive	5.6099999999999985	-1.5700000000000005	3.83	-0.209	7.16	0.174	-0.944	-3.2	-8.54	-3.09	-3.89	-5.87
B Naive	0.14300000000000002	1.29	0.365	-0.00491	0.198	0.46	0.747	-0.0422	0.8270000000000002	-0.14800000000000002	0.032600000000000004	0.299
T CD4 Memory	12.2	7.61	11.1	10.3	14.2	11.0	7.51	9.64	9.5	6.65	4.73	7.56
MAIT	1.5700000000000005	1.18	1.87	0.0176	3.35	0.6409999999999999	1.89	4.3900000000000015	3.28	5.88	3.61	6.05
T gd Vd2	6.559999999999999	4.94	4.94	2.5700000000000003	5.4	6.35	2.92	3.78	6.419999999999999	1.8500000000000003	2.01	2.46
Neutrophils	2.66	3.42	2.94	3.08	3.03	2.58	2.58	2.01	2.11	4.01	3.5900000000000003	3.02
T gd non-Vd2	-6.94	-4.650000000000001	-5.28	-2.65	-6.09	-6.16	-4.53	-5.06	-5.43	-1.5700000000000005	-2.24	-3.76
Basophils	0.07469999999999999	0.112	0.0637	0.109	0.12	0.114	0.0721	0.0677	0.0718	0.173	0.08470000000000001	0.11
Monocytes NC+I	1.96	3.51	2.62	4.18	1.37	3.09	1.66	1.54	0.8659999999999999	1.4200000000000002	2.75	3.02
B Memory	1.04	0.476	0.718	0.39299999999999996	0.8290000000000001	0.804	2.44	7.82	3.96	5.19	2.43	2.86
Dendritic_cells	0.102	1.14	0.0546	0.483	0.122	0.705	0.279	0.4229999999999999	0.0151	0.5910000000000001	0.436	0.259
Plasmacytoid_dendritic_cells	0.131	0.25399999999999995	0.14800000000000002	0.0826	0.14300000000000002	0.109	0.149	0.5529999999999999	0.134	0.253	0.0662	0.11
Plasma_B_cells	0.6859999999999999	0.4890000000000001	0.8790000000000001	0.304	0.7790000000000001	0.48	1.24	1.09	0.642	0.54	0.539	0.41
CD8_T_cells	36.01	6.05	25.03	3.2710000000000004	28.360000000000007	8.724	10.056000000000001	6.0600000000000005	14.16	3.6400000000000015	3.72	1.3899999999999997
CD4_T_cells	12.497	13.1	12.019	11.259	13.55	13.58	9.49	16.61	20.5	10.59	7.8000000000000025	13.06
Monocytes	3.75	8.92	4.73	9.95	2.9800000000000013	9.84	4.22	3.12	2.1959999999999997	2.3	4.78	6.67
gd_T_cells	-0.3800000000000008	0.29	-0.33999999999999986	-0.08000000000000007	-0.6899999999999995	0.1899999999999995	-1.6100000000000003	-1.28	0.9900000000000004	0.28	-0.2300000000000005	-1.2999999999999998
T_cells	49.69700000000001	20.62	38.57899999999999	14.4676	44.56999999999999	23.135000000000005	19.826	25.78	38.93000000000001	20.39	14.9	19.200000000000006
Non_plasma_B_cells	1.183	1.7659999999999998	1.083	0.38809	1.0270000000000001	1.264	3.1870000000000003	7.7778	4.787	5.042000000000002	2.4626	3.159
B_cells	1.869	2.255	1.962	0.6920899999999999	1.806	1.744	4.427	8.867799999999997	5.428999999999999	5.5820000000000025	3.0016000000000003	3.569
Lymphocytes	51.17400000000001	25.445	40.437	17.00969	46.92499999999999	28.499	28.723000000000006	36.917800000000014	45.67900000000001	27.072	18.512600000000006	24.879
Other	42.10829999999999	60.70900000000001	51.6267	69.28571	46.68000000000001	58.153	63.97689999999999	56.9085	49.7941	65.601	72.5305	64.952
