	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
Monocytes C	1.97	0.168	0.5780000000000001	0.0153	0.206	0.10099999999999998	0.259	-0.322	0.522	0.507	-0.0292	-0.249	0.8340000000000001	0.15	3.34	7.449999999999998	0.8590000000000001	0.9670000000000002	0.3770000000000001
NK_cells	-18.600000000000005	-12.7	0.371	2.08	-2.65	-7.66	-4.32	-4.36	-15.9	-15.4	0.9620000000000001	1.48	-4.7	-3.11	0.0167	-0.894	-3.41	-6.87	-2.27
T CD8 Memory	8.37	94.2	-0.011200000000000002	12.9	55.50000000000001	12.2	19.4	7.64	90.5	221.0	0.24	56.8	13.1	11.4	14.499999999999998	30.1	10.0	65.2	0.4950000000000001
T CD4 Naive	-1.44	-8.55	0.111	-7.56	12.0	-4.190000000000001	-6.419999999999999	25.7	-0.28400000000000003	10.6	1.93	-5.06	-11.6	5.13	2.94	-6.97	-9.84	-6.660000000000001	6.88
T CD8 Naive	-8.13	4.72	-0.231	0.3670000000000001	-4.63	9.82	5.0	-4.87	-12.3	-11.7	-0.0383	-0.688	1.89	-5.18	-10.2	-7.649999999999999	1.54	4.15	1.12
B Naive	-0.146	-0.0824	-0.2	22.1	4.190000000000001	14.2	0.0291	6.39	3.0	0.07440000000000001	-0.32	8.65	4.61	1.79	-0.168	3.4300000000000006	2.97	18.2	22.8
T CD4 Memory	16.0	23.4	4.95	19.6	5.1400000000000015	16.8	21.2	18.7	11.0	-10.8	5.7700000000000005	24.2	44.6	5.860000000000001	19.2	32.9	35.9	25.2	41.1
MAIT	22.5	12.2	0.08470000000000001	28.6	32.4	32.800000000000004	15.8	13.6	30.2	-0.0891	-0.667	4.83	22.8	1.09	36.6	36.8	17.1	19.8	15.4
T gd Vd2	13.699999999999998	35.7	0.13699999999999998	10.7	34.8	16.8	12.0	13.8	43.0	41.0	0.255	10.6	9.66	19.9	6.5299999999999985	12.6	10.9	8.62	3.83
Neutrophils	2.27	0.358	0.3670000000000001	0.483	0.213	0.453	0.263	0.521	0.26899999999999996	0.23399999999999999	0.252	0.584	0.8640000000000002	0.614	1.53	1.08	1.11	0.627	0.9309999999999999
T gd non-Vd2	47.1	-36.0	-0.563	-1.35	-36.3	4.99	-5.44	-6.0	-35.6	-72.4	-1.3299999999999998	-28.300000000000004	3.4799999999999995	0.924	-7.16	-11.5	3.81	-33.300000000000004	-0.6220000000000001
Basophils	0.12699999999999995	0.056500000000000015	0.071	-0.0156	-0.000964	0.518	0.0186	0.006030000000000001	0.0212	0.0363	0.0633	0.0786	0.114	0.071	0.126	0.0414	0.0513	0.0669	0.0244
Monocytes NC+I	2.94	0.008909999999999998	0.0339	0.303	0.11699999999999999	0.18800000000000006	0.192	0.0357	0.024800000000000003	0.161	0.0997	0.173	-0.0283	0.0423	0.7859999999999999	1.78	2.59	0.677	0.256
B Memory	0.205	0.8440000000000001	0.19100000000000006	8.82	1.7399999999999998	-3.16	-0.317	4.26	1.8000000000000005	0.763	1.21	-1.01	5.43	-0.9109999999999999	0.569	7.400000000000001	-0.627	-2.52	-3.75
Dendritic_cells	0.34700000000000003	0.145	0.0913	0.131	0.0755	0.245	0.22300000000000006	0.129	0.0843	-0.0523	0.0664	0.19100000000000006	0.0802	0.084	0.514	0.0139	0.29600000000000004	0.243	0.596
Plasmacytoid_dendritic_cells	0.0806	0.0138	0.28800000000000003	0.16899999999999998	0.0103	0.103	0.038700000000000005	-0.00674	-0.028	-0.0093	0.28500000000000003	0.0698	0.618	0.54	0.111	0.157	0.22300000000000006	0.428	0.9670000000000002
Plasma_B_cells	0.0997	0.19899999999999998	0.454	0.8320000000000001	0.106	0.466	0.39799999999999996	0.31100000000000005	0.601	0.118	0.261	0.233	0.594	0.917	0.97	0.304	0.688	0.41100000000000003	0.535
CD8_T_cells	0.2399999999999984	98.92	-0.2422	13.267	50.86999999999999	22.02	24.4	2.77	78.2	209.3	0.2017	56.112	14.99	6.2200000000000015	4.300000000000002	22.45000000000001	11.54	69.35000000000001	1.6150000000000002
CD4_T_cells	14.56	14.849999999999996	5.061	12.040000000000004	17.14	12.61	14.78	44.4	10.716	-0.20000000000000104	7.7	19.14	33.0	10.99	22.14	25.93	26.06	18.54	47.98000000000001
Monocytes	4.91	0.17690999999999998	0.6118999999999999	0.3183	0.32299999999999995	0.28900000000000003	0.451	-0.2863	0.5468000000000001	0.6679999999999999	0.0705	-0.07599999999999997	0.8057000000000002	0.1923	4.125999999999999	9.23	3.449	1.6440000000000001	0.633
gd_T_cells	60.8	-0.2999999999999972	-0.4259999999999999	9.35	-1.5	21.790000000000006	6.559999999999999	7.8000000000000025	7.399999999999998	-31.40000000000001	-1.0750000000000004	-17.700000000000006	13.140000000000002	20.824	-0.6299999999999999	1.0999999999999996	14.71	-24.68	3.2080000000000006
T_cells	98.1	125.67000000000002	4.4775	63.257	98.91	89.21999999999998	61.53999999999999	68.57	126.516	177.6109	6.159700000000001	62.38199999999999	83.93	39.124	62.41000000000001	86.28	69.41000000000001	83.01	68.203
Non_plasma_B_cells	0.05899999999999999	0.7615999999999999	-0.009000000000000008	30.92	5.9300000000000015	11.04	-0.2879	10.649999999999997	4.8	0.8373999999999999	0.8899999999999998	7.6400000000000015	10.04	0.8790000000000001	0.4009999999999999	10.83	2.343	15.68	19.05
B_cells	0.15869999999999998	0.9606	0.4449999999999999	31.751999999999995	6.0360000000000005	11.505999999999998	0.11009999999999998	10.960999999999999	5.401	0.9554	1.1509999999999998	7.873000000000001	10.634	1.7960000000000005	1.371	11.134	3.031	16.090999999999998	19.585
Lymphocytes	79.65869999999998	113.9306	5.2935	97.089	102.296	93.066	57.33010000000001	75.17099999999998	116.017	163.1663	8.2727	71.735	89.86399999999999	37.81000000000001	63.797700000000006	96.52	69.03100000000002	92.231	85.51800000000001
Other	12.606699999999993	-14.680810000000012	93.2773	1.8252999999999964	-2.9168359999999893	5.3260000000000325	41.6756	24.466010000000004	-16.910299999999975	-64.04299999999998	90.9901	27.41760000000001	7.6540999999999855	60.6887	29.79529999999999	-7.042300000000013	25.839699999999986	4.7601	11.330600000000004
