	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
Monocytes C	3.78	3.73	4.86	3.14	1.79	3.43	2.42	5.54	3.87	4.36	5.37	3.35	2.66	3.22	5.11	2.52	2.11	3.08	2.34	2.29	5.79	11.3	17.2	1.83	5.67	3.62	3.24	6.39
NK_cells	2.21	1.81	1.13	1.84	1.88	3.38	2.03	2.54	0.691	0.8690000000000001	1.87	1.82	0.921	2.77	0.8390000000000001	3.16	0.958	1.71	1.48	1.28	2.08	1.8	-1.29	1.63	2.7	3.27	1.41	-0.184
T CD8 Memory	-0.569	0.201	0.8220000000000001	-1.16	0.247	-0.644	-0.999	1.46	2.1	1.43	-0.297	0.0515	0.7559999999999999	-0.507	-0.521	-2.22	0.8290000000000001	2.89	-0.46	0.0369	-0.762	0.0613	8.2	-1.1	-2.45	2.8	-0.338	1.31
T CD4 Naive	6.31	2.83	11.9	5.49	6.46	6.29	9.7	6.56	2.76	4.2	5.56	0.973	0.789	6.64	2.58	4.78	4.64	7.23	10.2	14.7	0.645	4.64	-2.03	4.86	1.06	4.2	2.84	-3.65
T CD8 Naive	-0.57	-0.921	-2.47	-0.205	-1.21	-1.38	-0.275	-3.21	-2.91	-2.51	-0.848	1.26	-0.862	-0.989	0.13699999999999998	0.792	-0.878	-4.07	-0.461	-1.6	1.18	-1.24	-2.9	0.51	0.848	-0.987	0.117	1.84
B Naive	-0.413	-0.29100000000000004	-0.329	-0.385	-0.279	-0.4370000000000001	-0.434	-0.419	-0.37	-0.411	-0.202	-0.527	-0.468	-0.304	-0.236	-0.447	-0.298	-0.272	-0.401	-0.266	-0.304	-0.181	-0.249	-0.515	-0.424	-0.431	-0.54	-0.353
T CD4 Memory	2.8	7.54	-0.865	5.12	3.65	5.19	-0.74	5.44	10.7	10.5	3.86	10.2	8.64	3.76	2.94	8.26	8.51	2.15	2.16	-5.03	11.7	1.93	8.89	4.25	10.0	5.84	8.94	16.2
MAIT	2.49	2.48	3.29	3.32	1.42	4.74	3.22	2.63	7.59	8.66	2.24	3.56	3.5	3.12	1.44	4.0	5.35	3.84	2.23	2.97	2.91	2.6	3.26	3.01	3.15	2.84	2.31	13.3
T gd Vd2	-0.363	0.24	-0.205	-0.691	-0.292	-0.496	-0.996	0.364	0.637	0.332	-0.258	0.21600000000000005	0.682	-0.789	-0.15	-1.16	0.314	0.344	-0.745	-0.556	-0.17800000000000002	-0.246	0.422	-0.6920000000000001	-1.34	0.897	0.18	0.202
Neutrophils	4.84	3.76	2.15	5.15	9.59	8.23	3.09	6.44	2.53	4.42	9.03	4.89	3.41	5.25	2.98	4.86	4.68	5.35	2.31	2.48	2.56	4.34	1.58	4.64	5.52	2.25	3.49	2.08
T gd non-Vd2	-0.755	-1.38	-0.541	-0.253	-0.7090000000000001	-1.27	0.16899999999999998	-1.92	-1.33	-1.12	-0.772	-1.35	-1.38	-0.629	-0.319	-0.333	-1.05	-1.41	0.0158	-0.0168	-1.02	-0.73	-0.117	-0.0945	0.0428	-2.8	-1.13	-0.353
Basophils	0.16699999999999998	0.175	0.21600000000000005	0.194	0.195	0.209	0.195	0.215	0.206	0.305	0.132	0.214	0.223	0.184	0.16699999999999998	0.214	0.219	0.204	0.17800000000000002	0.157	0.231	0.252	0.174	0.213	0.255	0.222	0.257	0.21
Monocytes NC+I	5.07	4.68	12.2	3.92	1.22	6.88	0.5	6.36	10.9	12.8	5.79	8.0	2.18	8.36	2.9	1.56	7.8	3.58	1.9	3.19	6.03	5.93	12.4	3.3	5.41	3.59	5.41	6.75
B Memory	0.337	0.192	0.408	0.759	0.166	0.578	0.5	0.233	0.303	0.7390000000000001	0.157	0.6	0.404	0.266	0.131	0.782	0.17	0.185	0.31	0.17800000000000002	0.327	0.17	0.0862	0.451	0.335	1.44	0.8029999999999999	0.317
Dendritic_cells	0.483	0.4970000000000001	0.491	0.86	0.638	0.747	0.523	0.514	0.69	1.2	0.28800000000000003	0.957	0.466	0.436	0.116	1.17	0.8170000000000001	0.5579999999999999	0.913	0.188	1.25	0.0892	0.329	1.27	0.703	0.29	1.42	0.621
