	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
B cells naive	3.93776228687452	5.857089832155241	9.155403801322887	8.6019305992473	6.312111373426269	5.3221803282842695	11.578509729869996	2.9530735767216	0.6781794482709169	0.0	8.51663123793306	4.24042319533858
B cells memory	0.0	4.6383615784439405	2.04134589821477	0.0	0.0	1.2819040116446498	0.0	2.1016965444834796	5.868276852160501	7.8923740354598095	0.0	0.28031231875989004
Plasma_B_cells	0.0782714445255605	3.7581552346875298	2.2419913015109603	0.362165154851448	0.5615985560515611	0.22196761553353198	0.352525996347579	1.4428869486083	1.5179643004566004	3.07620595951244	0.304349329588585	0.0
CD8_T_cells	29.9947176571408	21.6643760469897	16.322479700937198	18.1274085858227	16.126404991694702	32.585273277293304	28.705651855658804	30.8966837168471	20.6564315535842	15.248486126335301	14.5175172600983	21.8820454353532
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.5362123621931871	0.0	2.83246935257862	8.778267598064431	2.0570230327679	0.0
T cells CD4 memory resting	0.0	5.43945082433423	8.10552142071147	7.216767399845541	1.6248972118818301	0.0	0.0	3.6587968972410296	0.0	0.42815624836870897	1.06089704377955	0.0
T cells CD4 memory activated	6.0512329547860695	2.97455113463858	0.9451533910873872	2.2033728258861403	4.023811818320359	4.947215929491669	5.82362848445887	3.7263809411936895	4.00617459684232	3.96696736193688	4.4518382055764905	2.87334150614768
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.216462597027489	0.500874460691313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	19.8989037758626	14.546009951801098	9.09879222576624	20.1024436897376	16.8665586966058	21.27854813108861	16.591567412535298	19.940183507163397	17.868067419459898	17.673461805508495	14.459561609100401	16.036117053830402
NK cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocytes	37.0029175342575	39.939061092603495	44.280163776153394	39.7047623722461	51.749465903780695	32.9426053777595	32.646575704164704	32.269146983388694	41.5533480856769	36.507873793018696	46.367544212372714	50.1831508138566
