	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
B cells naive	0.0	3.8465603809425497	8.378961612423659	0.0	2.5379112395839	0.444960479587364	6.364373750221559	1.2919600439606298	4.91821347045562	13.171509375643904	8.564579387965647	2.07574525314819
B cells memory	4.03257630388189	4.3197494174516216	0.0	5.974772622086902	0.4685611448129121	4.98292208258054	3.2130041228691604	5.563915992290631	2.63967520574402	2.61779560836692	8.59805895277209	2.5961528752440604
Plasma_B_cells	0.24267632968529	1.5255089605475198	0.6209280186533729	1.3429960613771799	0.8764925040122209	3.0781291271259703	1.4164011779242198	2.2149994744160404	0.561097715431037	1.77397901582656	1.6990742901088498	1.5865895842579698
CD8_T_cells	0.0	1.86723591046386	0.0	1.56408364340873	13.1075870305807	5.43657696775298	3.79030974864924	0.0	4.964922166650269	6.24892118103961	4.07025920825708	0.0
T cells CD4 naive	16.159712260546	21.613542014316398	13.0604939402953	23.657736918105503	12.302535192624301	23.015525075839104	19.2527252091548	17.548532848166	13.3273742645298	25.783614094960004	27.200844607248808	20.1593839333062
T cells CD4 memory resting	0.29486648358281503	4.83488102350276	0.27572798869806897	5.56753585889504	0.0	6.575606473316791	9.1987572406048	4.6213244623040985	8.08114924671747	3.03743609740417	0.0	0.6598171415285251
T cells CD4 memory activated	0.91948882731438	2.74453281063065	3.8229443219456805	2.63986985663244	4.17891545436668	5.58243513453729	2.950313006581601	3.77675104199652	3.2746627689482497	4.39833984685073	4.805026756023111	4.973117761483301
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.796969492680615	0.0	0.0	0.0	0.0	0.0	0.496012621957206	2.0633387784339803	2.54941379601427	2.21001965352784	0.0	0.0
NK cells resting	3.43682455012782	6.206612536284321	7.633175241278678	3.90320357412533	8.992616235767903	7.7083998172232375	2.91918297435763	4.5188121814340185	4.79088695276287	6.396653351623731	3.4002308106335497	9.035844205874868
