	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
B cells naive	0.0	0.0	0.0	1.16788280665466	0.26594311015513
B cells memory	1.48118915222282	3.7174192680169504	3.9774330000356	1.6443327792986602	3.05760771234359
Plasma_B_cells	0.778236917737498	0.0	0.0	0.5615643677376241	1.53167653005869
CD8_T_cells	6.679866757885369	7.446935732050459	0.9008339952686651	8.592130534475439	9.17827660145649
T cells CD4 naive	15.0777232839466	0.528607092790278	3.9341394721755405	4.88266914783407	20.699722459478203
T cells CD4 memory resting	1.9330792969385495	0.0	0.0	1.43032485221369	0.0
T cells CD4 memory activated	0.0	0.0	0.0	0.0	0.0
T cells follicular helper	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	2.66592557694435	2.5854992207580296	3.23711536168019	2.28417298996198	2.7179982149088104
T cells gamma delta	0.0	0.0	0.0	0.0	0.0
NK cells resting	5.823138175921589	5.568385537538741	5.9188410908994875	2.2750083082050296	4.0057521192725085
NK cells activated	0.0	0.0	0.0	0.0	0.0
Monocytes	39.56514461213271	41.940457652635004	60.6433389181569	44.220934819508095	29.689180795137602
Macrophages M0	1.23576773433511	0.5622783466962921	3.63174902611041	0.0	0.104998282397514
Macrophages_M1	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.13005466271783098
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0	0.8167069816553671	0.0	0.18369294188967106	0.0
Mast cells resting	1.69003606468122	2.6830632468213502	0.980034568048823	2.41642515905639	1.97935165136159
Mast cells activated	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0
Neutrophils	23.0698924272542	34.1506469210375	16.7765145676244	30.3408612931646	26.639437860712103
P-value	0.0	0.0	0.0	0.0	0.0
Correlation	77.6103673816632	73.2659953195204	49.85546012223679	86.8800904003958	84.2599198879799
RMSE	65.8529761052621	68.18358141956588	87.9458432975363	53.5737810366531	60.134083455787895
T_cells	26.35659491571487	10.561042045598768	8.072088829124395	17.18929752448518	32.5959972758435
Macrophages	1.23576773433511	0.5622783466962921	3.63174902611041	0.0	0.23505294511534505
NK_cells	5.823138175921589	5.568385537538741	5.9188410908994875	2.2750083082050296	4.0057521192725085
Dendritic_cells	0.0	0.8167069816553671	0.0	0.18369294188967106	0.0
Mast_cells	1.69003606468122	2.6830632468213502	0.980034568048823	2.41642515905639	1.97935165136159
B_cells	2.259426069960319	3.7174192680169504	3.9774330000356	3.373779953690944	4.85522735255741
CD4_T_cells	19.676728157829498	3.114106313548308	7.1712548338557305	8.597166990009741	23.417720674387013
Lymphocytes	34.43915916159678	19.846846851154453	17.968362920059487	22.83808578638116	41.45697674767342
Non_plasma_B_cells	1.48118915222282	3.7174192680169504	3.9774330000356	2.8122155859533198	3.3235508224987202
