	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
B cells naive	0.11198350306636097	2.85578639385988	1.3776185131306398	2.1731391106213302	0.0	0.0	1.18635391959307
B cells memory	4.922257734909151	7.805449873986389	3.494444360336129	1.3739965192365	5.3056500505687	6.3701416469870304	0.41937099736114297
Plasma_B_cells	47.40146230899849	0.0	9.59060759684526	13.4865743905177	1.3124807017348101	8.11535038109486	29.423259934957503
CD8_T_cells	9.287957372522289	0.0	12.7536931768504	20.3031869623084	3.08320891417669	6.616745301828639	12.376036802486
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	1.76827763119061	16.948326747308098	12.852249951923302	16.994903454174302	9.997197347649491	28.134817333247398	6.78699464565822
T cells CD4 memory activated	4.2133344189624085	0.221901634276738	4.2224448331539906	12.8693543605774	0.0	7.627142300713238	7.7368116678397
T cells follicular helper	1.5855708905541501	0.0	0.0	0.0	0.0	0.0	1.9421523912418899
T cells regulatory (Tregs)	0.0	0.0	1.7543505350547002	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	3.8910952581662	4.282169049252469	7.0504114042062	9.52934948700228	6.195526166320139	7.1270776194643695	2.983310667052
NK cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.041157466974054
Monocytes	0.0	4.29645237392225	0.9491282540903979	1.9736681421380304	0.2528802300643661	3.2755987639366007	6.96552747823243
Macrophages M0	5.25071908115393	23.582832703913105	7.8746301287262215	4.0754312484095	31.834469518458803	3.9134838292141003	6.0781851628981505
Macrophages_M1	1.6613629536038699	0.774097499587672	0.7881556930880169	0.0	0.0	1.34745610747737	0.906095770584864
Macrophages_M2	8.28596297192739	13.698601687044599	25.3695100035078	6.11923069577502	24.4567613134299	9.30673017375576	12.700481135054801
Dendritic cells resting	0.0	0.0	0.121730299867239	0.4159174501752601	0.0	0.34642748789699607	0.611080067777801
Dendritic cells activated	1.96124028768594	3.2978166618231497	3.78612180067833	4.54910147662248	3.64124523712775	2.9616072262151096	2.4569333236314197
Mast cells resting	0.0	0.0	3.56242860822361	0.0	0.0	0.0	3.63565936587353
Mast cells activated	8.63490808115703	18.8190029689395	4.452474840317691	4.068132186852259	11.237409175436401	14.302061557904905	0.0
Eosinophils	0.534525788579855	0.08721054802955942	0.0	1.21283336703329	0.274116959258507	0.41201717452956105	1.03517555381172
Neutrophils	0.4893417175222878	3.3303518580566003	0.0	0.8551811485562351	2.4090543857745	0.143343095734103	2.71541364897177
P-value	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Correlation	69.15453145609341	35.513985757666504	37.7584763211555	37.118782726411396	29.0084795912808	31.680207683411894	63.543294659629495
RMSE	72.83320376899471	94.135075562777	92.56425384398027	93.1133222366962	98.17973441668232	95.380152512258	79.74943651390552
T_cells	16.855140313229462	17.170228381584835	31.582738496982387	50.1674447770601	13.080406261826178	42.3787049357893	28.84199550722581
Macrophages	15.19804500668519	38.055531890545375	34.03229582532204	10.194661944184519	56.291230831888704	14.567670110447226	19.684762068537808
NK_cells	3.8910952581662	4.282169049252469	7.0504114042062	9.52934948700228	6.195526166320139	7.1270776194643695	3.0244681340260535
Dendritic_cells	1.96124028768594	3.2978166618231497	3.907852100545569	4.9650189267977405	3.64124523712775	3.3080347141121065	3.068013391409221
Mast_cells	8.63490808115703	18.8190029689395	8.0149034485413	4.068132186852259	11.237409175436401	14.302061557904905	3.63565936587353
B_cells	52.435703546974004	10.66123626784627	14.46267047031203	17.03371002037553	6.618130752303512	14.485492028081891	31.028984851911716
CD4_T_cells	7.567182940707169	17.170228381584835	18.82904532013199	29.864257814751703	9.997197347649491	35.76195963396064	16.465958704739812
Lymphocytes	73.18193911836966	32.11363369868358	53.095820371500615	76.7305042844379	25.894063180449834	63.991274583335546	62.895448493163606
Non_plasma_B_cells	5.034241237975512	10.66123626784627	4.87206287346677	3.5471356298578303	5.3056500505687	6.3701416469870304	1.6057249169542134
