	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
B cells naive	2.50216627035003	0.0	2.2939173068392003	0.0	2.78444696009808	3.6755985485495097	0.0	0.23828839018866704	0.0	0.0	0.0	2.14545678204185
B cells memory	0.0	7.92575362299605	0.0	7.072155565719861	0.0	0.0	6.228333409488241	12.9496355444774	5.337119005515548	13.552402467616195	10.3952452683584	4.969067108846169
Plasma_B_cells	14.321613580866	7.18214587292693	18.1741633851035	5.04762977250759	14.235343868658301	14.035280938727894	12.055231192127	12.274459302932902	4.21794105186594	7.368567773350509	18.063219369310094	20.45881412796149
CD8_T_cells	35.6453174140664	17.1971428972167	32.0818373262064	19.6576626685715	35.0337302080807	21.800488365016108	29.6046363710502	28.62611441293089	34.211710858783086	22.863793649693104	20.5538453154742	24.147062525202898
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	0.0	13.6182334761129	0.0	9.76224058547527	0.0	10.2661005402029	14.445531365827598	15.943232109721198	10.9900682539483	18.1579373780492	6.53172165005198	16.124845459290196
T cells CD4 memory activated	22.560033485749397	17.0601722359715	26.301142682407093	12.788425364228301	24.758800639767102	19.7705632044242	21.780233527818602	4.4697444990583	20.9353154628427	9.871039689499108	5.85583867107462	4.52185091849749
T cells follicular helper	5.59444299473578	3.21557537081688	3.9489105651253396	3.4314062629895696	4.81275168716871	5.1586959433214	0.0	0.5418663653052971	4.78911360754766	0.0	0.19094340664759105	0.629993502264035
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	2.3302537866017	0.0	2.2586524438064797	2.1671578940173	0.0	3.2468508703094403	0.649789858723527
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	0.0	1.6734058433955699	0.09354873052631868	0.0	1.1783627203248601	0.2779526498717789	0.0	0.0	0.0	0.0	0.0	0.0
NK cells activated	8.40986331900411	3.98970109325308	5.64143786914234	7.60220877717823	6.697740202765339	3.7126962638311802	6.363230397100099	8.08779965178838	9.647763875248149	10.3973279266004	8.17761103508311	8.15191884831244
Monocytes	2.2422470727070003	3.6302084597607798	3.2398578896853	13.7254774778174	3.3170319948312996	3.26629525387797	2.49938229478771	0.6427986946857671	0.33379706852433505	1.6055136656888898	1.12776246593015	2.4516290652772
Macrophages M0	0.0	0.0	0.0	0.0	0.0	0.0	0.34786926275078306	0.0	0.0	1.7331599393544799	3.90317276889041	0.0
Macrophages_M1	0.87878795682374	0.5272420686359099	1.02867927717982	0.0	0.6986306592283059	0.147625779360745	0.289794806647573	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	3.8301247866260897	12.254023190527	4.47407883163004	10.7075378567071	3.0535521239048102	8.999878520137381	3.4648952094626004	5.563620323582259	3.4158238422111498	1.8944856678479498	6.95810698402724	5.629565562650041
Dendritic cells resting	0.919825535481331	3.9897993726435796	0.9335818806198058	5.777029309643401	0.896963037705869	2.5474704602106004	1.7688303811888102	0.916145487188626	0.460778083278406	2.65288188351371	2.7302965072410097	1.0773698275185
Dendritic cells activated	1.09629259992318	0.9319177194174152	1.14976730320542	2.04948265907113	1.1596862002736898	1.0828554052867498	0.0	2.01750477243728	0.8524910583259301	0.5256271819138271	0.730940524209939	1.3058300787814
Mast cells resting	0.808299128792105	5.87648314515447	0.0	1.66125106379424	0.427037438657414	1.8146796407739298	0.272443395135897	4.68020543309389	2.36302861282806	9.37726277687265	11.216336629029596	6.484939481360709
Mast cells activated	0.0	0.0	0.0	0.338171002322402	0.0	0.0	0.8174706896280791	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.740739312829079	0.0754974083279942	0.164226968847683	0.379321633973909	0.8569904655792259	0.366227178757445	0.0	0.46452092620788105	0.277891325063394	0.0	0.0	0.9904810079052032
Neutrophils	0.4502465420458	0.8526982228432459	0.47484998348178	0.0	0.0889317929562979	0.7473375210485621	0.0621176969867809	0.32541164259481004	0.0	0.0	0.31810853436224296	0.261385845366846
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	31.546171461624606	28.866381251969198	33.62000043278711	21.175226581178602	30.031615492793698	29.6121527692654	27.124770604418	35.4842444746243	18.51971851141261	29.687151431286892	43.517762948491296	40.185108003693294
RMSE	96.9761614925505	96.47634716371971	95.45858138220908	99.83255336660072	97.6735664850405	96.66430424127192	99.0990200848888	94.66922217237058	105.142597130721	97.34508822141031	89.9877102709741	91.92440151295959
CD4_T_cells	28.154476480485183	33.893981082901284	30.25005324753244	25.982072212693144	29.571552326935805	37.525613474550205	36.2257648936462	23.213495417891284	38.88165521835596	28.028977067548308	15.825354598083631	21.92647973877525
Non_plasma_B_cells	2.50216627035003	7.92575362299605	2.2939173068392003	7.072155565719861	2.78444696009808	3.6755985485495097	6.228333409488241	13.187923934666069	5.337119005515548	13.552402467616195	10.3952452683584	7.1145238908880195
NK_cells	8.40986331900411	5.66310693664865	5.734986599668659	7.60220877717823	7.8761029230902	3.9906489137029584	6.363230397100099	8.08779965178838	9.647763875248149	10.3973279266004	8.17761103508311	8.15191884831244
Macrophages	4.7089127434498295	12.781265259162913	5.502758108809861	10.7075378567071	3.752182783133117	9.147504299498124	4.102559278860956	5.563620323582259	3.4158238422111498	3.6276456072024303	10.86127975291765	5.629565562650041
Dendritic_cells	2.0161181354045112	4.9217170920609945	2.083349183825226	7.826511968714532	2.056649237979559	3.6303258654973503	1.7688303811888102	2.9336502596259058	1.3132691416043358	3.1785090654275368	3.4612370314509486	2.3831999062999003
T_cells	63.799793894551584	51.09112398011798	62.33189057373883	45.63973488126464	64.60528253501651	59.32610183956632	65.83040126469639	51.839609830822155	73.09336607713904	50.892770717241405	36.37919991355784	46.073542263978155
