	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
B cells naive	0.0	0.0	0.0	0.0	0.916868885376945	11.061397759706399	8.75123893979526	1.23307385644109	0.0	0.0	0.26922828848273	14.964634815098698	0.0	0.0	0.102925926667631	0.0	0.0	0.0	0.0	0.328140489826329	0.0	0.685664038112716	0.0	0.0	4.4520579506497215	1.99447398923981	0.0	0.0
B cells memory	7.19961842403599	6.7347455511054095	11.8065397327739	0.0	0.0	0.0	0.0	5.74677511621703	0.0	1.87752513848352	0.4661458127398511	0.0	4.2876407624806605	0.0	0.0	1.930985989626	0.0	0.0	8.391515403418161	0.0443814162256807	0.0	0.0	4.907959936646741	0.0	0.0	0.0	0.525641395201929	8.921396355829481
Plasma_B_cells	0.0	0.0	7.124439765588028	0.0	0.0	6.85011314627587	0.0	0.82912145693004	0.0	0.0	0.0	33.869664917870594	0.0	0.38266366608428704	0.3564156749347029	0.0	2.33858087017146	7.229682862027531	0.0	0.0	0.0	13.6018900633574	0.0	0.0	23.596447417277695	4.612964093538269	0.0	7.64052245963963
CD8_T_cells	13.1986099159229	5.31189073835515	6.647272464326531	2.7134353967217497	8.159832024783439	0.0	18.0983912765085	2.1684786694282696	7.176821206312139	1.4439610228644402	3.1696996863385802	1.1663507861624198	2.84984884687479	51.6565791434639	43.8531320273145	3.47978846193456	2.0349210818745	3.797738104967201	1.0768466178938199	2.49758335230071	2.65119388065161	4.5718327596194905	3.59325487703539	18.8700099095438	7.34337658675131	0.0	9.53733357820897	2.41390539669009
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	1.78406856801163	8.33644723767118	9.72260089665595	0.0	17.756904665759606	0.0	0.0	5.626593168068889	0.0	14.4199087118695	8.983110821871001	20.099475894790302	9.7379823137045	16.687044044310902	0.0	19.8604783058294	7.413173034256589	9.821975669837231	8.44989276087407	12.455515280731001	15.390243787867005	8.060584253236389	9.87317266613292	3.26636477381775	1.6422384281151	46.655599699935294	11.682017900331	3.9732367068517407
T cells CD4 memory activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells follicular helper	39.864920559710995	3.4214194057695697	27.59980439083269	4.37400543586516	25.686503590913	36.5310966013824	35.2254808487329	3.27645958937374	33.5766361730776	3.5183533981153303	4.99275208963316	12.1588822887113	5.88282920557646	9.667607314291551	6.508452022311791	3.05535905371094	7.204633786398142	24.032100119395896	2.7098572828587497	6.9223493127816695	7.957987765861678	20.674577418332102	34.835307608547	30.296168270196	25.598464773110297	11.1933908814117	32.484947867794	21.668277579710693
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155800603523672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.674625251220668	0.0	0.0	0.0	1.52767827812573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8670509382170115	0.0	0.0	0.0	0.0	1.43502555364836	0.0	1.43561060131004
NK cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0658247166343422	0.0	0.0	0.0	0.0	0.0	2.37949547984318	0.0	0.0	0.0	0.7012608687544349	0.0	0.0	0.519641692237084	18.767306452375102	0.0	0.0
NK cells activated	10.980031946349401	3.7022460296231103	1.49576258083111	2.23518291611573	0.140406354584728	4.856844504181519	9.025392928525571	4.09587558652614	6.21207319768136	7.4076428814283295	9.23206351688308	0.0	9.34638539692258	13.706849578733602	12.0833068747452	1.48130472371731	7.166877892326469	0.0	2.2559634516746496	10.6238637688544	6.368386099459809	2.33090465697608	8.087602646963411	0.0	0.0	0.0	1.97148623901045	2.33070958967221
