	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
B cells naive	0.0	0.0	0.0	18.886016263836694	0.961707813847294	15.081566496312696	1.25116420012483	15.7440684805306	0.776324545194745	0.0	0.0	5.9584887466354095	2.6491197716984303	0.0	0.0	3.1653973507332305	6.65252197980101	12.930378519437301	35.649694786366894
B cells memory	1.7116847257106298	0.0	1.42978165767248	10.1822791012717	4.08957070958831	0.0	0.0	6.99670589865495	0.0	0.0	48.3113155238912	0.0	4.949930109861111	3.5457119331427105	2.9467260748952597	8.572167530826249	0.0	1.66389286525674	1.0785842036109201
Plasma_B_cells	0.0	1.25445256447198	0.0	3.20673355632339	0.0	0.3633148113543661	0.0	0.0	0.578488873556039	0.7129426769813461	2.62780317864454	1.0063163410482	0.0	0.19482057923947305	0.9877242458519748	0.7249619086099279	4.94498629304299	2.28069690278494	0.0
CD8_T_cells	29.097975045110694	50.78066876126479	0.0	18.082688313945802	54.37431980031671	40.17684838797171	47.8257439435457	17.437345213945196	40.36978094864168	68.3234481274383	0.8693846988551329	52.3699890560398	19.511158486179603	36.2533417320669	24.827090322628198	23.4731350872285	27.162765199071302	45.5841958585657	14.221828499529998
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.764672237802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.69865748431849
T cells CD4 memory resting	0.0	0.0	19.632966715414003	0.892920595923743	0.0	0.0	0.0	12.181875012964198	0.0	0.0	22.289351569236608	0.0	0.0	5.48501648538176	2.55272150926751	0.0	0.0	0.0	7.31961559049783
T cells CD4 memory activated	3.84017033706981	1.01915301361217	0.0	9.271250078096829	5.38568730605294	2.5887045178124497	12.264674678774998	0.8143730164191949	8.61907471027355	10.2042242970006	0.0	1.2219348818961397	10.2780141696296	1.98822276959334	4.29906941569089	7.99036973759992	2.6437784495499	2.3888992565021296	1.2329812888326002
T cells follicular helper	10.145525101316002	12.927353585276899	2.05634019791267	10.7631676584573	17.374411752030998	20.528021086245698	17.7295011896482	11.8709583723424	11.6202897018943	8.21930504671707	1.02050272550666	14.120989721305499	22.775744770416498	13.5444703193872	13.972920312925199	7.89991951633572	17.4357757869478	10.648150104595098	5.918262736226098
T cells regulatory (Tregs)	0.38947992487755606	2.3200522047230603	0.8369504145104499	0.6725023608214641	0.0	2.55267097306926	1.32475028090291	0.329400389635631	0.0	0.0	5.73021791180353	0.0	0.0	1.7219892238260202	4.240297494116112	0.707042077572255	0.0	2.90235242896752	1.1890637133966102
T cells gamma delta	8.804928052474741	14.362524907221198	0.0	8.187314498405401	13.225529337383596	14.000716592785402	7.441486622917501	5.583338568388281	15.307336826101098	4.51728113757231	0.0	17.128196392860698	23.520944822729803	22.516439146037197	19.74711611327889	9.921583379991699	16.897201808731403	0.956397258476927	0.0
NK cells resting	8.111903058385419	0.0	2.3904481246303897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10827405046233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells activated	17.845742224406695	10.731867802491	0.0	12.685870602979099	0.754315148953084	0.503533064984814	7.49117655885419	2.1899386872441697	16.099492588978194	4.574355279653241	0.0	5.25953451506793	10.6335465862688	14.067137530624402	11.1067226174374	10.735764245650806	9.60096514748548	10.1611631939274	0.567716331974261
Monocytes	3.2761150388135802	0.0	1.48981776928447	0.0	0.0	0.0	1.2588267619179099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.549592002972628	8.41939347011111	0.0	3.7167837964246404	1.7250076630900202
Macrophages M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7179795420092403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.619475125934335
