	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
B cells naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cells memory	0.0	1.11500300618043	3.41861713021923	4.05055673246038	0.312599169393526	2.67755660411469	2.12690980836797	1.4363915996853	0.0	4.07109634883298	0.7929427488137041	1.8719799150606495	9.03697639720953	0.36044411645896896	7.371419685381889	4.6068036481163315	0.0	5.23325269247442	0.0	0.227624493790274	1.00185444344618	0.9170487479217992	0.8931014695746089	6.0609441371176205	0.14679634138476502	6.311925811713992	16.651027096043	1.2284569305447801
Plasma_B_cells	0.0	1.1420259248236702	0.0	0.0	0.0	2.06582561752929	0.8116059994940309	0.660059219927743	0.0	0.0	0.0	4.06709410651358	11.219048149295	0.06684801071859679	2.96110670588912	0.0	0.0	0.0	0.0437712127154508	0.0	1.7831723530239	0.901420675029601	0.8093046571976591	0.0	1.32527578030482	3.1041747036784	2.55322788050039	0.957382878780656
CD8_T_cells	14.509454031750801	13.178483102853198	13.375469272480002	5.663648410110611	10.316832157443102	10.1983865920765	0.4133594540180229	14.386728716452199	25.737288857947696	21.4076045153341	9.14906269731215	16.8303602925723	18.4333519673887	3.67233469600286	0.67820340524691	9.770168619976513	31.523263835001604	10.9744791878098	24.165589590028507	7.400941839669099	12.5265170886416	6.25803264417851	32.8980907715548	12.622484695952304	1.54769236616693	21.5787351922934	12.8108253383784	31.463840494857894
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	13.8104617553486	21.998783511830702	8.151240051144821	19.069226085782606	33.361549750575705	21.9718448800072	21.618432886455498	17.5176949534074	12.741883976126301	19.031628591894	5.020579293587041	6.719474066708799	20.0014454249233	31.1414480302095	7.955150370127329	39.7079686288673	3.40053473066546	5.90745067618104	9.99380960991813	8.95757346002017	19.3404691656828	10.426710583847802	0.0	9.367354834251119	9.24478782442775	1.51673288087433	12.4637380084307	9.137917702242133
T cells CD4 memory activated	0.0	0.0	2.2971782404048198	0.0	0.0	0.0	0.0	1.9238777899084296	0.0	0.0	1.12124860165514	0.0	2.23919160201981	0.0	0.0	0.0	1.39546955693519	1.70745544557322	0.0	0.0	0.0	1.60610728781524	11.982381397107101	0.0	0.999716639483297	0.0	0.320441393229116	2.3451193515428304
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9772983821547292	0.0	0.527064168864563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.140708934486689
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6336364756925499	0.0	0.0	0.0	0.915405934954475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0787874332566989	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23952702406627	3.02877462939488	0.0	0.0	0.0	0.0	0.0242454278939968	0.0	2.9593962337754602	7.20538576671117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78844311240575
NK cells resting	3.34156648037254	0.0	5.5569297707813785	2.3730885793359198	3.0563368484660502	1.15531794898149	0.0	0.40811624698650206	0.0	0.0	1.53943648300892	0.0	0.939550837701798	0.0	4.5886841984657405	3.4285232427858103	0.0	0.0	6.4248293165547405	5.386672654549219	0.0	0.0	0.0	2.41346659715063	3.49391611761362	2.5602610938877404	1.2068612806826102	0.0
NK cells activated	1.75604516299513	4.04938705443487	0.0	2.1450693274256296	3.4543677010136804	4.1111277914939794	17.3264052117257	0.0	2.85945157864473	3.5836982117266696	0.16593485037722902	8.44193353465335	3.40634455482698	3.5539198114001302	0.0	2.46882070008121	3.0257002871297	4.983452354389139	3.4806765919712204	5.4594095861762595	3.33295738796374	2.15056690223125	0.190571517401694	6.19719718238637	0.0	9.10571727303914	1.4367186108315602	0.0
Monocytes	17.0084605679439	16.6764471587636	26.659253486666998	7.912202207793778	18.4954187580288	7.303790239118941	24.2746429065032	23.5585584774337	8.90390247492784	9.02217551373869	19.947895638118105	12.3942382773902	11.648561319497096	4.21138265790701	12.939880481266199	7.25671824662155	9.98430327772508	9.490140052838221	16.869936659977	20.3525031838179	1.57151801798717	19.8329101759125	18.933262870026503	16.0734490963202	2.95818641686979	6.942791260807639	10.9942564581553	9.455949086975929
Macrophages M0	0.0	5.62887196124309	4.77044476181511	26.4825756462862	13.828264592720599	14.0437869381882	7.983877849062929	11.5690779275173	0.0	0.0	34.0210139419564	0.0	6.738230113237469	26.052365829617003	32.006674785121504	9.73341197518496	0.0	3.3557397056582303	1.6436796975900099	2.03414500145783	13.639873507141301	7.0984694825287304	0.0	0.0	30.6055265543284	30.927546564554106	0.4145566783816139	0.0
Macrophages_M1	1.76356585467296	6.034440974297429	3.8615127546943504	2.2160647602338104	2.8856167294959	6.7575002291835595	4.213232004746629	6.3575457455145195	7.3984309868990685	5.95059730943954	0.7983273208241791	13.547230207566098	0.38866770932042605	0.354345664822442	3.7942780511593597	1.4329627340778703	4.7632123214464	10.407561088117198	1.12651826336693	3.18536473542127	3.42536654795252	1.7892163802970702	5.2582400499262	4.912437590052299	0.9948239805287551	6.2806408253993204	6.83191124753779	9.57424653313231
Macrophages_M2	36.565943098008496	17.451101291664198	24.540956933616098	19.639367876891896	7.41699543230801	22.0517729690752	3.5094833250733504	13.230252003086994	31.048601810272004	25.634129000286702	16.035783950924902	28.1305125905933	0.0	28.0406117009704	25.7876525723388	16.1333925112718	32.191982445599606	16.9222626649867	23.8633117453335	33.91556153667219	29.9429858458813	41.282532457128404	24.0557980766399	23.8728663490178	38.3523419590494	9.28619459565442	20.5499146623695	24.433410260360397
Dendritic cells resting	2.0905359566353403	1.2703491385785701	0.554607350271761	0.0	0.183058688616222	1.18185847695428	0.0	1.48463411117098	0.726624564344913	1.47168300628579	0.0	2.11029567783442	0.5645625162275439	0.0	0.0	0.0	0.820125915575368	3.57276240570491	0.0	1.6815430745416697	0.0	0.0	0.45341763489955605	6.2915973187996	0.0	0.0	0.0	1.61370891603161
Dendritic cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009856891428879742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15497320794683098	0.0	0.0	0.0	0.0	0.0	0.0
Mast cells resting	9.153967092272302	10.895435164931099	6.813790247905478	8.43708189064653	4.84393006556314	6.0692982869598	17.722050554552695	4.0384106008702085	7.34428872677122	6.2531909631476505	2.6117189928931097	5.830447870912749	5.1171053581103285	0.956116745734236	0.0	4.95079987639461	7.303103643046678	20.240057959555894	11.6861484687107	11.200331690356698	13.435285642279501	5.28602231277225	3.46146601792703	12.1882021989521	5.08956949523382	1.93196092744802	13.76652134546	3.5359450264636703
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056433460194470715	0.0	0.0	0.0	0.0	0.0	0.0	0.701728843833797	0.0	0.0	0.0	0.0	0.0	0.0	0.453318870649461	0.0	0.0
Neutrophils	0.0	0.5596717103991311	0.0	2.01111848303258	1.84503010637535	0.411933426316948	0.0	3.4286526080387403	0.0	0.545421909918984	7.152562113407741	0.0	10.266964050241999	1.59018273615885	0.0	0.51042981662206	2.10584358423488	0.0	0.0	0.19832874352740001	0.0	2.2959891423899497	0.9855781044882408	0.0	5.24136652460869	0.0	0.0	0.32487077217530297
P-value	2.0	12.0	8.0	0.0	32.0	4.0	74.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	6.00000000000001	40.0	20.0	0.0	57.99999999999999	14.000000000000002	0.0	0.0	0.0	64.0	0.0	0.0	14.000000000000002	0.0
Correlation	19.149233802153894	12.5619673887814	16.338380621203598	28.9804314433214	6.379885242556679	18.962004288535894	1.6450823752611798	24.714396758141195	26.60226351546	24.363091273344804	37.79623603328629	24.345991082990803	12.806221033415001	22.84601275402	16.5885531840978	5.428571116798871	8.14503791977129	25.4557566525812	3.35884835711754	11.0913445501318	39.455635468522395	25.276050310293	40.685030376372794	2.53624815260496	38.227289197189215	36.3572067001754	10.9585226269241	33.3317620229966
RMSE	100.99322736431299	103.123236188813	101.943054627613	97.001088070137	106.918214564356	100.80709339794501	108.952061100927	98.5281414910253	98.03558327849122	98.83133493250408	93.72082187143971	98.9714310040188	104.015515098669	100.940681929928	104.255651575958	107.541395510134	106.09942355021299	97.9659911940947	107.786506390886	104.535311877357	91.9092278298229	99.0585504062158	91.29817705871159	106.675824040118	93.8101523813216	93.84759886323928	103.31641078778999	95.0557416340692
Macrophages	38.32950895268146	29.11441422720473	33.17291445012556	48.338008283411895	24.13087675452451	42.85306013644696	15.706593178882912	31.156875676118823	38.44703279717107	31.584726309726246	50.85512521370547	41.6777427981594	7.126897822557894	54.447323195409844	61.58860540861965	27.299767220534633	36.95519476704601	30.685563458762132	26.633509706290447	39.1350712735513	47.00822590097511	50.1702183199542	29.3140381265661	28.7853039390701	69.95269249390654	46.49438198560785	27.796382588288907	34.007656793492714
B_cells	0.0	2.2570289310041	3.41861713021923	4.05055673246038	0.312599169393526	4.743382221643981	2.9385158078620006	2.096450819613043	0.0	4.07109634883298	0.7929427488137041	5.939074021574229	20.25602454650453	0.4272921271775658	10.33252639127101	4.6068036481163315	0.0	5.23325269247442	0.0437712127154508	0.227624493790274	2.78502679647008	1.8184694229514	1.702406126772268	6.0609441371176205	1.472072121689585	9.41610051539239	19.20425497654339	2.185839809325436
