	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
B cells naive	0.22776347353531898	8.28561521056224	0.0	0.0	1.1747092080461399	8.43988101667442	2.7502191122326898	0.0	0.0
B cells memory	8.98800704120883	2.71579364248657	6.6216341928326	11.0021143558078	5.59845684619973	3.77696190610348	7.29737554264026	10.040095645363099	12.045394539178801
Plasma_B_cells	1.8282835655842502	2.5432135518870496	4.2516447967301	2.25787343505342	2.65929449006146	3.2834728524751697	2.01607930002253	1.88958209708112	3.88946854754377
CD8_T_cells	11.945942800221	28.6083007684986	64.35702884590451	33.144092087034394	9.314289960503439	25.898675799442703	28.1021048814329	17.2662959432581	34.525973717118305
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.70621644272764	0.0
T cells CD4 memory resting	28.6977085466537	29.298598270505103	0.11041996145523401	11.7276763019966	28.55378090607429	30.879203081424	25.0894360964239	21.12142656508361	17.36911929972
T cells CD4 memory activated	0.0	0.7101546691354859	0.0	2.5303597470208397	1.07286403280375	0.24921402739867496	0.0	1.7745600135484498	0.0
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.0	9.90710038180757	3.39739091510363	0.0	0.0	0.0991021661413654	1.11691157247054	1.06189036482082
T cells gamma delta	0.0	1.4173030626119698	0.0	0.0	0.0	2.50189417882326	0.0	0.0	0.0
NK cells resting	0.0	0.0	0.0	0.0	2.1175967737075	0.0	1.81099257662414	0.0	0.0
NK cells activated	2.63754540059348	0.0	9.76270879847298	7.54999440818777	1.11788041165857	1.03689121668004	0.9587314806335551	3.4450694649389497	6.99806795517787
Monocytes	45.1094261485006	25.5840313015535	4.609591364262942	22.8092027737691	44.52059825572129	22.252460776038504	30.980629117427302	35.3934730144685	23.4590766101996
Macrophages M0	0.17849013128449198	0.0	0.0	0.9411596522298509	0.6068080365217321	0.0	0.0	1.01418714453711	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.188830569340665	0.10844178196055199	0.0	0.0	0.7647824213402049	0.26434352216866003	0.0	0.33086189104896097
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.38683289241839497	0.6481589534187521	0.0	1.09748478416093	1.42447336093869	0.91656272359965	0.31463098847520005	1.4506759778352498	0.320147075191891
Mast cells resting	0.0	0.0	0.271429876573553	3.5426515396356004	1.83924771776337	0.0	0.316355215777405	0.7815061186876521	0.0
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	24.3840843520392	71.52978712110931	68.95688204180071	66.63483497351011	62.13562552293289	71.95768425371148	68.1434363795076	63.268547972773284	67.73333207905439
RMSE	100.375998421084	72.38750486202149	72.37891721705509	76.30420131265541	79.47904203745011	72.14515506694079	75.0489977605701	78.87499570714141	74.99088894375771
Non_plasma_B_cells	9.21577051474415	11.001408853048813	6.6216341928326	11.0021143558078	6.77316605424587	12.2168429227779	10.047594654872947	10.040095645363099	12.045394539178801
NK_cells	2.63754540059348	0.0	9.76270879847298	7.54999440818777	3.2354771853660704	1.03689121668004	2.7697240572576947	3.4450694649389497	6.99806795517787
Macrophages	0.17849013128449198	0.188830569340665	0.10844178196055199	0.9411596522298509	0.6068080365217321	0.7647824213402049	0.26434352216866003	1.01418714453711	0.33086189104896097
B_cells	11.0440540803284	13.544622404935858	10.8732789895627	13.25998779086122	9.432460544307329	15.500315775253071	12.06367395489548	11.92967774244422	15.934863086722572
T_cells	40.643651346874705	60.03435677075115	74.3745491891673	50.799519051155464	38.940934899381496	59.528987087088616	53.29064314399815	45.98541053708835	52.956983381659114
CD4_T_cells	28.6977085466537	30.008752939640594	10.017520343262804	17.65542696412107	29.626644938878044	31.128417108822678	25.188538262565263	28.719114593830234	18.43100966454082
Dendritic_cells	0.38683289241839497	0.6481589534187521	0.0	1.09748478416093	1.42447336093869	0.91656272359965	0.31463098847520005	1.4506759778352498	0.320147075191891
Mast_cells	0.0	0.0	0.271429876573553	3.5426515396356004	1.83924771776337	0.0	0.316355215777405	0.7815061186876521	0.0
Lymphocytes	54.32525082779657	73.57897917568702	95.010536977203	71.60950125020445	51.608872629054886	76.06619407902173	68.12404115615134	61.360157744471515	75.88991442355956
