	SRR1740054	SRR1740082
B_cells	3.47564443004197	8.72595600130501
Fibroblasts	0.00104112306314066	0.00393358381648136
CD4_T_cells	67.11263905707011	59.841946514191186
CD8_T_cells	2.2512686075761497e-05	0.99360836859736
Endothelium	7.586072276657409e-06	5.60309510025646e-07
Macrophages	2.7198670103863103	2.3798123040531203
NK_cells	6.990544521316201	1.59486707759912
Other	19.700233759364004	26.4598755901282
T_cells	67.11266156975618	60.835554882788564
Lymphocytes	77.57885052111433	71.15637796169268
