	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
B_cells	9.353209358025039	11.618931009986598	0.9085136997447599	4.6617889073030385	0.17078993717272598	5.869085296881501	7.412816704003659
Fibroblasts	0.647343547232604	7.847032375361309	0.4298387473432971	0.490612851221939	0.0995830825238018	1.3134360139339398	0.607662246832128
CD4_T_cells	9.26240965199653	20.6149842048451	19.129530021334897	81.79890704344709	19.8134644689824	68.5413508821656	17.8370723805899
CD8_T_cells	2.572198862040561e-05	1.8099609975834e-05	0.00040781597799117113	1.9772881056474e-05	1.07237036473789e-05	1.29084072063864e-05	4.3860926357172296e-05
Endothelium	0.457232998594803	2.9009112047563703	7.86185777068568	0.00183622570542553	3.1034735684439e-05	6.188047278004469e-06	0.00352296223995276
Macrophages	3.45812581124488	7.6351617169767305	7.417684916642719	8.79928548367056	22.220475030408803	6.4773003782383	8.891339593394429
NK_cells	0.0108443970029031	2.71830624608994e-07	5.817421984697629e-07	4.24753749678288	7.203676906411329e-07	1.6308671928171398e-05	0.829836009441298
Other	76.8108085139146	49.38296111663321	64.25216644652839	1.2218987980997099e-05	57.69564500210521	17.798792023654197	64.41770624257232
T_cells	9.26243537398515	20.615002304455075	19.12993783731289	81.79892681632815	19.81347519268605	68.5413637905728	17.837116241516252
Lymphocytes	18.626489129013095	32.2339335862723	20.03845211879985	90.70825322041408	19.984265850226464	74.41046539612623	26.07976895496121
