	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
CD8_T_cells	3.0983044820815198	2.64247519667069	2.2730541431906803	2.50103027480478	2.31720096226592	3.8317779829103196	2.59518195641594	2.20685909945508	2.72775096067744	2.00095566261266	1.93490748774616	1.94278540013882
CD4_T_cells	4.74100228786619	5.1747674217406	5.426341146380381	5.048966618215982	3.74402079764975	3.47948454793805	4.63321653441808	5.1216999890257195	4.62636750436288	5.029189167801531	5.3488405119837195	4.28380454862544
Fibroblasts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	2.8163302882347	2.87095554752054	3.40261887984115	2.97943859426844	3.95531528421223	3.5242931951603698	3.0112156158039505	2.53178101074145	2.9405438552502297	2.5818323459937798	3.78989523478674	4.0532289051645805
B_cells	0.0	0.0299031727143091	0.0106700509643241	0.00459942368990646	0.000424047259113594	0.0	0.011311094553385	0.00718768936831575	0.0123785631756032	0.00608059105466151	0.0	0.0
Tumor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mast_cells	8.20494167831679e-05	0.0	0.0	0.00013821330479522	0.0	0.0	0.0	0.0	0.0	0.0	0.000602340777486731	0.0
Dendritic_cells	0.9339316112196859	0.8922544019792901	0.998234640077812	0.7206227569845308	1.22313463822409	0.8729711161055741	0.7225884822828409	0.7057020308674941	0.8719391341297928	0.996486195185437	1.26285382405927	1.23664351075523
Myocyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.8509183097051991	0.785914231511505	0.8546420243408079	0.834829026542904	0.81986494205561	0.8305282772507471	0.755355803193935	0.770454632187721	0.7646108525431159	0.7491932265402191	0.8653455195778459	0.8565070325629109
RMSE	0.7053062794524059	0.7410827063613421	0.699425613705948	0.7126878744670629	0.699122676962548	0.700728933313953	0.7518874124701129	0.7510750971807851	0.7483757172996421	0.76108653669452	0.6869212165118891	0.6786430938014699
Absolute score (sig.score)	11.5896507188189	11.610355740625401	12.110918860454301	11.254795881268404	11.240095729611099	11.708526842114301	10.9735136834742	10.5732298194581	11.1789800175959	10.6145439626481	12.337099399353399	11.5164623646841
T_cells	7.8393067699477115	7.8172426184112895	7.699395289571061	7.5499968930207615	6.061221759915671	7.31126253084837	7.228398490834018	7.328559088480801	7.35411846504032	7.030144830414192	7.28374799972988	6.226589948764262
Other	88.41034928118111	88.38964425937456	87.88908113954565	88.74520411873155	88.75990427038892	88.29147315788569	89.0264863165258	89.42677018054194	88.82101998240404	89.38545603735193	87.66290060064662	88.48353763531593
