	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
CD8_T_cells	3.30579766413849	3.02316252673774	5.594731304847128	5.530946387405	3.983220346597141	4.91010245287099	4.07482473195087	2.60975917192601	4.7796573486166105
CD4_T_cells	5.47322800963645	4.62027863848809	4.5738338561454	4.56112700278318	4.32229279345614	4.360832418331992	4.17994133225553	5.29160188105006	4.36820362600704
Fibroblasts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	0.8611284766199621	0.970350711979052	0.7820595090538129	1.08918420119073	1.10653157556864	0.969296449777928	1.07787777676022	1.25917013906993	0.881456470781621
B_cells	0.0226637540580953	0.0119899637531947	0.0155010787256393	0.0170766356244544	0.0330712558605326	0.0170078150697552	0.0168883953606311	0.0185280261318634	0.0188895266028448
Tumor	0.0	0.0	0.0	0.0	0.0	3.24277843571853e-05	0.0	0.0	0.0
Mast_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic_cells	0.772930584434547	0.620310190064313	0.703241467925435	0.746393849844679	0.864742016257871	0.534866530196895	0.746505601737474	0.8078046189864159	0.7064729182238659
Myocyte	0.0	0.0	0.0	0.0	0.0	5.6435261441694395e-05	0.0	0.0	0.0
Endothelium	0.0	0.0	0.0	0.0	0.0	5.386421612811311e-05	0.0	0.0	0.00025254426486946
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.737393779208602	0.737877492272342	0.7981327539513391	0.7509578648496659	0.6817197464935141	0.7575730466140121	0.721205111829468	0.7205998604606401	0.7303447734787092
RMSE	0.7763154872608741	0.774591501923973	0.7361402205721659	0.7605214440032969	0.7976200327263041	0.757489054304851	0.778196231487208	0.7848708931471121	0.7720607166808671
Absolute score (sig.score)	10.4357484888875	9.24609203102239	11.669367216697399	11.944728076848	10.309857987740301	10.7922483935095	10.0960378380647	9.986863837164279	10.754932434496801
T_cells	8.779025673774939	7.6434411652258305	10.168565160992527	10.09207339018818	8.30551314005328	9.270934871202982	8.2547660642064	7.9013610529760685	9.14786097462365
Other	89.56425151111246	90.75390796897759	88.33063278330258	88.05527192315195	89.69014201225967	89.20778403427488	89.90396216193527	90.0131361628357	89.24506756550316
