	SRR7900852	SRR7900853	SRR7900854	SRR7900855	SRR7900856	SRR7900857	SRR7900858	SRR7900859
CD8_T_cells	3.09897712218836	2.0325557462271897	1.50175127514629	2.38544410290492	1.54803302741622	2.76556913019158	1.9449628524557097	1.78535367102895
CD4_T_cells	4.06065266801546	5.3476268428064415	4.28253753761486	4.002229979944371	4.37624580856981	4.720043379943768	4.533712959092701	5.0042855334034595
Fibroblasts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	1.5921381518187498	1.55552970953374	1.4238200049299299	1.4882964246959098	1.4843554847844398	2.78384549945288	1.50618640305383	1.86373272778387
B_cells	0.0318582208930701	0.0788639692550351	0.114867198540738	0.0344677618437775	0.10940677562587599	0.0120717126862446	0.0576027707609887	0.0801783173147282
Tumor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mast_cells	2.43996701789469e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic_cells	0.35458862695453597	0.32991320764696996	0.4927950888019171	0.47143241745451203	0.550124974959464	0.5564479446414949	0.4855111388064229	0.6250051625333011
Myocyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelium	0.00151537030415963	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.7799157778526891	0.8173121128511099	0.730434463922748	0.794101609271995	0.7472690577375201	0.7588499726621841	0.783979657229065	0.7932168716249008
RMSE	0.752691775706393	0.743334778770545	0.7830138849296341	0.748974925183962	0.775213620267711	0.756556650679685	0.7571578425043729	0.751976422357011
Absolute score (sig.score)	9.139754559844521	9.34448947546938	7.81577110503373	8.381870686843481	8.06816607135582	10.837977666916	8.52797612416965	9.3585554120643
T_cells	7.15962979020382	7.380182589033631	5.784288812761151	6.3876740828492915	5.92427883598603	7.485612510135349	6.478675811548411	6.78963920443241
Other	90.86024544015548	90.65551052453064	92.18422889496628	91.61812931315652	91.9318339286442	89.16202233308401	91.47202387583036	90.6414445879357
