	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
CD8_T_cells	0.608513867045374	1.11336522615855	0.0404550905911477	1.5046161261375701	0.6892275910213609
CD4_T_cells	7.943975371600031	6.686201428863258	5.42819426615834	6.7953297149887	7.057499672745581
Fibroblasts	0.0	0.00459189549507935	0.0109952526574895	0.0	0.0
Macrophages	1.99615814435279	2.8658645647631498	3.20702865528135	3.29017669760534	2.10233042139752
B_cells	0.00435295329924943	0.0	0.0077254833075775095	0.0109078786716333	0.0190926613205089
Tumor	0.000857427900437272	0.0018343907999788106	0.00256545444657354	0.0	0.0
Mast_cells	0.000136701500814261	0.000360166020702545	0.000481082359253346	0.0	0.0
Dendritic_cells	0.295009664548158	0.931796975336221	0.973278837902322	0.5736018516704621	0.617233271500046
Myocyte	0.00374755512204511	0.00382900390903866	0.0073168498186031	0.0	0.0
Endothelium	0.008691862639079359	0.0073756328369398	0.0117880123084799	0.0	0.00301350482969206
P-value	0.0	0.0	0.0	0.0	0.0
Correlation	0.735798941781043	0.602364973648083	0.4817141941569311	0.734979114112895	0.7554834111129392
RMSE	0.780505697512957	0.832009483114374	0.8804041839280731	0.7675560891325679	0.7694565398675122
Absolute score (sig.score)	10.861443548008001	11.615219284182901	9.68982898483113	12.1746322690737	10.4883971228147
T_cells	8.552489238645405	7.799566655021808	5.468649356749488	8.299945841126268	7.746727263766941
Other	89.13941387989244	88.38661510661707	90.31273646961544	87.8253677309263	89.51160287718528
