	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
CD8_T_cells	5.5987430576329995	2.42987388118027	4.2224253537680605	2.0959975012392302	4.40149526749187	2.87938645891587	2.3619211643099702	2.2166241414602204	3.8959999814382202	2.15314698595895	1.4810816993241	1.8007107869230101
CD4_T_cells	0.220463284390873	0.7754391307102092	0.188833761601929	0.5350018309907469	0.743704549565601	0.4766760242489521	0.6371414491525339	2.00982512443485	1.86327010045149	1.19363777752349	0.5041961516154111	1.23219733549442
Fibroblasts	0.22740172413734305	1.39230385084799	0.19106471905118802	0.404071355064329	0.222977439404453	1.58070633424624	0.21326669873813608	0.142921594441169	0.197970482496704	0.213494395342683	0.460059345082224	0.562509965540499
Macrophages	1.05982392496905	3.41975983893404	1.1843025773461202	3.0965594151826297	0.8823869669629469	2.29327405198168	1.04922034507576	0.8043618325838399	0.553859141458999	1.1910565814207401	1.1250313027053702	1.5033793577355399
B_cells	1.92184452952544	0.306293918469379	2.46023802013034	0.161272061381124	1.85043298777239	0.956005523219896	3.27547382560319	1.96350900271828	0.998735367791923	0.826065436312099	2.44408090861618	0.761659944950501
Tumor	0.0514872173608284	0.0233754251837133	0.0963560847147193	0.160100968434612	0.0856585973869034	0.0121795441817814	0.0815816616579696	0.00275382613730513	0.00945982858001653	0.0171136180134048	0.00576595804358026	0.000948377309107448
Mast_cells	0.0206317150959589	0.23240060891536998	0.00764924932662786	0.0675086134198913	0.0047655485969767715	0.11293216026907	0.0796252083450245	0.134227922966522	0.0268718289165147	0.553649973549032	0.534519054392503	0.20544186958244293
Dendritic_cells	0.655782060076647	0.8749668168507769	0.802788490372331	1.30018258989414	0.7147131955362719	0.708070759978243	0.265574400314329	0.374449339287605	0.39279837732309797	0.8680651375160741	0.37510910003978404	0.839058493676792
Myocyte	0.000551342259696128	0.00611545068361868	0.000978720696773116	0.0	0.000134710234483464	0.0	0.00303082021281873	0.0	0.0	0.0	0.0	0.0
Endothelium	0.0815736702886626	0.8441275192107421	0.0569571085346301	0.15507981810188198	0.112518713680759	0.602092638440525	0.0372998396935882	0.0865772196864825	0.046669934792168	0.106698592550938	0.13118651592031802	0.35193905242608203
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.937017517996081	0.868264974049768	0.948673942785408	0.8205652767432371	0.9441697574302159	0.89355957848015	0.9756016678171828	0.930633251871188	0.9373123324862499	0.8885905513555	0.9519433214235941	0.9050668058725128
RMSE	0.6262063386115229	0.700495080390406	0.5821291699980439	0.695699053942897	0.626707301675845	0.7080315551152628	0.451103332410829	0.618026086359677	0.665510989754941	0.670683933663463	0.511630196307112	0.6971530935287459
Absolute score (sig.score)	9.838302525737491	10.304656440986099	9.21159408554271	7.97577415370859	9.01878797663266	9.62132349548226	8.00413541310332	7.73525000371627	7.98563504324914	7.1229284981874095	7.06103003573947	7.2578451836384
T_cells	5.8192063420238735	3.2053130118904787	4.4112591153699885	2.630999332229977	5.145199817057472	3.356062483164822	2.999062613462504	4.22644926589507	5.75927008188971	3.3467847634824404	1.9852778509395117	3.0329081224174304
Other	90.21318469162331	89.71871898419762	90.884761999172	92.184326814726	91.06687062075424	90.39085604869952	92.07744624855465	92.26750382242105	92.02382478533087	92.89418511982599	92.94473592230409	92.7431031936707
