	DLBCL1	DLBCL2	DLBCL3	FL1	FL2	FL3	FL4	rLN1	rLN2	rLN3	tFL1	tFL2
CD8_T_cells	0.0	0.0834341070802078	0.14440134468163698	0.32777541137308197	0.74600565158916	0.6539548314865601	0.44295169036018295	0.754233152776684	0.26230347034179	0.404984400311016	1.12542277541402	0.837945385043519
CD4_T_cells	4.69280480401844	5.687539648988071	5.793021540272733	7.142620094698732	5.5361161833665085	6.1529739121335325	6.40402112133066	7.35880830212921	5.68974005377385	6.47014055570145	6.43337978258389	5.52386200227643
Fibroblasts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	0.0	0.00263560906268435	0.0166771796214678	0.0010463362935520901	0.002628902762245411	0.019350420342224	0.0	0.0273316080302316	0.005686148490510129	0.00275132491009988	0.0259317839766742	0.0175440154548451
B_cells	0.0733362171719094	0.21163535223473892	0.0351228711304908	0.0411085077086663	0.0244531019561755	0.0494120173492259	0.0023554563532786604	0.06199596564243901	0.0605414414245794	0.0443540516217797	0.086741270441736	0.0817679601715498
Tumor	0.0	0.0	0.0079712680798076	0.00043161462885973596	0.0	0.000842937484934283	0.0003796246888003	0.00023699954965569102	0.000482974308517656	0.0004827112585233281	0.00146873866097346	0.00045699233045128497
Mast_cells	0.0	0.0	8.680337472645843e-05	4.576633321965229e-05	0.0	2.17225571837703e-05	1.9626915908414397e-05	0.0	0.000141943573641706	4.5407872251131e-05	3.0552532739865604e-05	2.8182511779192198e-05
Dendritic_cells	0.432871412197166	0.9772660492569741	0.473137115573826	0.653267956146785	0.776713123125373	0.899537398336277	0.2069347508982481	0.240488601980643	0.612447414763327	0.44667216913906105	0.5271582262230421	0.4033960595718541
Myocyte	0.0	0.0	0.000120453420207067	0.0	0.0	0.0	0.0	0.0	0.0	0.000155715536711127	0.0	0.0
Endothelium	0.0	0.0	0.000349754544462561	0.0	0.0	0.000624238868256032	6.35674753775464e-05	0.0	0.000568934810512672	0.000776863527281686	0.0038852640504271297	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.7007613482968679	0.7401167558496701	0.63669781888658	0.8552209361797559	0.832018111446503	0.7841578911130509	0.794336847484534	0.8334753298908149	0.79944155141589	0.8515233512049691	0.8990633985882659	0.823072924127836
RMSE	0.80224841698715	0.787434981307217	0.827582503787611	0.7326036756686329	0.741824248496493	0.764764365421726	0.7559623176339151	0.738142365188266	0.758929146040666	0.732915953352868	0.707936365630328	0.7441811913154301
Absolute score (sig.score)	5.19901243338751	6.962510766622679	6.470888330699347	8.16629568718289	7.08591696279946	7.77671747855819	7.05672583802246	8.443094630108861	6.631912381486733	7.37036319987817	8.20401839388351	6.86500059736043
T_cells	4.69280480401844	5.770973756068279	5.937422884954369	7.470395506071813	6.282121834955668	6.806928743620093	6.846972811690844	8.113041454905895	5.95204352411564	6.875124956012466	7.558802557997908	6.361807387319948
Other	94.80098756661249	93.0374892333773	93.53708293738043	91.83413592744594	92.91408303720054	92.22412545892674	92.94365378666636	91.5571423694408	93.36857059282178	92.63011951138034	91.79745034477749	93.13545639497002
