	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
CD8_T_cells	0.19883113554347	2.47798131135927	0.0919855359624665	0.373600083227266	0.2369432322541669	0.11882746801939	0.00573428070394839	0.0795631346561494
CD4_T_cells	0.0424544347447995	0.8954497857899301	0.0	0.0927393415720768	0.351842168414794	0.0924016481016197	0.0	0.156328737076189
Fibroblasts	0.4752311196485399	0.18494463808584802	2.9490821943078602	0.0609683909748099	0.0317952997640908	0.0608326694725961	1.42244801126609	0.697084903462671
Macrophages	2.37649304086356	0.189230187212499	0.046743477060662	0.655865080467624	4.2659295924655005	4.00968202324268	3.20899127638521	3.46927232237778
B_cells	0.0554349530623297	0.000660966607731442	0.0258038602311783	3.76085729343675	0.0	0.0294897043635588	0.000921884231232299	0.0415636527480732
Tumor	0.11038284953299199	0.0338612720120099	0.222477459484232	0.0400592006654278	0.0017162482456995801	0.00162722560854766	0.0122763537002826	0.0035352614827109
Mast_cells	0.000614653924550738	0.000336645916123898	0.000204578739881654	0.00150970749128105	0.00016313328959705902	0.0243115964852628	0.0	0.00104035672293609
Dendritic_cells	0.366756157767638	0.342217864683831	0.24074673528875304	0.586246656061037	0.446002720508343	0.095920303135747	0.13649648971973802	0.15755723479939301
Myocyte	0.40654579636092103	0.321317762439003	0.7893779586373241	0.121846783458759	0.10667011528045	0.0836671306141414	0.33022080026710304	0.23576591506576602
Endothelium	0.668846180034182	0.244219195340143	0.8741772723856289	0.276348384184106	0.10077061557766101	0.145098298651314	0.3813183763565139	0.372281266009372
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.8529113534310471	0.609417505398443	0.729210347417784	0.969374180230471	0.7690716378621321	0.79166420969595	0.708088302915491	0.7996096998504829
RMSE	0.614491501188156	0.82391173570237	0.783089747245823	0.245668019633998	0.640615822333458	0.612404046716619	0.7180960680689541	0.621433977399451
Absolute score (sig.score)	4.70159032148299	4.69021962944639	5.24059907209799	5.97004092153914	5.5418331258002995	4.66185806769486	5.4984074726301095	5.21399278440104
T_cells	0.2412855702882695	3.3734310971492003	0.0919855359624665	0.4663394247993428	0.5887854006689609	0.2112291161210097	0.00573428070394839	0.2358918717323384
Other	95.40879252805	95.3436416425656	94.98187838738623	94.07001827912629	94.45988312244542	95.33976915791371	94.51386888107015	94.78954247708168
