	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
CD8_T_cells	0.0137072339262878	0.0320694083032875	0.0179736430488764	0.020474925730503	0.0107748669663973	0.027507387245231	0.006285042693847671	0.0794897496747426	0.198273889117893	0.176691335431087	0.0	0.0993221224602239	0.0361843596751262	0.048764384180507006	0.0	0.0121437622207522	0.14143691537011	0.0682641973167467	0.022123209678889002	0.00571127986199124	0.0209742594939544	0.0	0.30843272859828	0.0243640656485428	0.0188414295850184	0.180444158114837	0.0373015887743089	0.4142269969508859
CD4_T_cells	0.00345220249368692	0.00917893515780756	0.0138301029972554	0.0471073115109552	0.0295437023327104	0.0459273734090368	0.0248145870208428	0.0828160876710893	0.0402618314023475	0.0277661523644909	0.0497289070836854	0.23767526137972306	0.20404417597295105	0.0	0.0577060382809027	0.0980088281909248	0.0	0.0	0.0309405602305007	0.0	0.21392581323808896	0.0160401116640972	0.0	0.0	0.0	0.00254627789954866	0.0309847944855415	0.106058535727812
Fibroblasts	5.285895200332799	6.53732572340436	5.4304170632072495	5.90682375605459	7.35334962691223	5.65632380437817	5.99437672895596	6.48275719532091	4.89547336260507	5.599265912140889	5.20524742641276	4.6861244824317	5.691322358558098	5.743198079654371	5.2418679043451695	7.24067546888711	5.38769771995059	4.50198333981454	5.65191800599039	3.88297273006352	7.18736867864846	5.45966056440065	6.851671521544192	5.660292707596152	7.02976784538809	5.88233569264809	6.01794045267132	4.58936360523618
Macrophages	0.965233900926369	0.787855211088167	0.9318822660430072	0.930510140722286	0.382622980245583	1.45301155407794	0.281618372793539	1.59392450224261	1.22201628013318	1.4969994912816995	2.2406306210004603	1.69359062129976	0.6518284354018791	1.2552333487837	1.02426858890157	0.40699641986975	1.01612777156716	1.08605702401093	0.337897431908508	0.736380844816675	1.13216641886174	2.1807024524279197	2.4786804980957298	0.4864712834913529	1.0847246574834	1.16332396320776	0.7381463683841769	2.42180357336803
B_cells	0.0	0.0139098067626956	0.038703391618697	0.0370945283237578	0.0031558498890524	0.0308397699444378	0.0130027301982811	0.0232986566303237	0.0115373336761993	0.0416264496751151	0.0	0.0678177017514884	0.7754203449219559	0.0175862422080689	0.0546546445478695	0.0172265041672346	0.0013301559765346801	0.0071625461256352	0.00299381430287124	0.0	0.0454395797005883	0.0009157691784556241	0.10180769167596004	0.00325830229947625	0.00463025517320475	0.116810586390565	0.37617257998650394	0.0170761065124959
Tumor	0.000813518712574919	0.0	0.0	0.00100989967452346	0.000331100244206665	0.0	0.0	0.000684552005225585	0.00245909429392788	0.001940789644323389	0.00727455177400583	0.0	0.00157840987799485	0.00173039896946208	0.040706506925421	0.0	0.0	0.00039201461860509	0.0	0.0	0.0	0.0026496446059498303	0.0	0.0	0.00173393583602816	0.0018232291205094	0.0	0.0020721029367809602
Mast_cells	0.0018275349982546198	0.0167063420874416	0.0267313589064972	0.0179976663309573	0.00881349399226618	0.0193746893359947	0.0154965355111033	0.00413304913749541	0.0174878384366332	0.0198377173145549	0.00698192922704255	0.00222762019110274	0.0024360423102774602	0.0047658399045782795	0.0	0.0158744596096861	0.0143630699859195	0.0109050487894341	0.0156165165736885	0.00804949501939022	0.0381568165977549	0.0	0.0102406571838036	0.00605638674235338	0.00940893563250492	0.00110933020540765	0.0357531949079113	0.0
Dendritic_cells	0.0	0.0	0.0	0.00958842098237494	0.0	0.0524689791037724	0.0	0.009976443970242093	0.10459789705058099	0.0149357480276692	0.33554488045848996	0.0553108337583243	0.0	0.225593057804398	0.0214191390832294	0.00384175559712242	0.0	0.06459307088396099	0.00516891897633045	0.0	0.0	0.0	0.0	0.0044155106117479215	0.0	0.163047986630839	0.0	0.163043389666983
Myocyte	0.00069141357426043	0.0	0.0	0.00262364894164139	0.00076805568187448	0.000344037755776879	0.0	0.00119729433639029	0.00474318174903259	0.0	0.00334743024966851	0.0	0.0	0.00482960370860809	0.0	0.00022611043993022	0.0	0.000375100924756004	0.00112074002919858	0.0	0.0	0.0013900792112691099	0.0	0.0	0.0	0.0	0.0020102480415638397	0.00170830029142471
Endothelium	1.05380529556078	1.07618513963498	2.32339131582221	1.5427442643811595	0.634552549035296	1.01022644281427	1.4960165542224195	0.8688838487512711	2.0354189086372503	1.3751860925512298	0.6950939300929061	1.42597892487773	0.601647602953335	1.6935228002803	0.5520328222200239	1.07956415944629	1.90552041592555	0.44614261598123	1.86565169143488	2.11902136940184	1.54178333791005	1.36382972524368	0.8046995826386991	1.33657916639684	1.43914668702259	1.07459376679053	1.08959245523063	0.8224126477591089
