	GSM2230759	GSM2230758	GSM2230760	GSM2230757
B_cells	0.01687283762787609	0.03177177421906265	0.02653443277798488	0.03288530493718117
CD4_T_cells	0.027453342171815817	0.07063205726893079	0.07110472525067467	0.07334805839112123
CD8_T_cells	0.06529131982529475	0.08938280029499847	0.11604728883233804	0.0731369307552745
CD8_T_cells_PD1_high	0.04138471876863685	0.05641713309301104	0.06977134626228551	0.04642843958015072
CD8_T_cells_PD1_low	0.02390660105665791	0.03296566720198745	0.04627594257005258	0.0267084911751238
Endothelium	1.0503573502076131	1.6415458323586147	0.40955417512170905	3.7711008543610167
Fibroblasts	0.8992802364705498	7.842876480593119	4.679726274359544	4.442851117198036
Immune_general	0.21808680729235352	0.8111051740815578	0.7096811760155616	0.4796599922313238
Lymphocytes	0.07340631154694179	0.1118092538808706	0.08109715525108409	0.06739149328402
Macrophages	0.14353864632278476	0.4798571740945085	0.4918760109341549	0.3404801051612095
Macrophages_M1	0.105133710206218	0.09868774408286557	0.11386568718770015	0.09311508151277367
Macrophages_M2	0.0384049361165667	0.3811694300116429	0.3780103237464548	0.24736502364843585
Monocytes	0.001768983422563313	0.023701925457240928	0.026213586238196286	0.014554114083416713
Monocytic_cells	0.14530762974534805	0.5035590995517494	0.5180895971723511	0.3550342192446262
Myeloid_cells	0.14188797384886212	0.5524800286188616	0.542514055477145	0.2890484682766202
NK_cells	8.17203918534843e-05	0.005986032268072572	0.002696704727430396	0.01338649428758022
Neutrophils	0.009374226637737872	0.02014538070600976	0.02589430824362319	0.02708083986014685
Non_plasma_B_cells	0.007789679698961164	0.02386151137733935	0.01985354944639549	0.026418885726147208
Other	97.7859813369219	89.79410054273943	94.15035249351436	91.211176180965
Plasma_B_cells	0.009083157928914927	0.0079102628417233	0.006680883331589383	0.0064664192110339535
Stromal_cells	1.949637586678163	9.484422312951734	5.089280449481253	8.213951971559052
T_cells	0.09274466199711057	0.1600148575639293	0.18715201408301274	0.14648498914639574
T_helpers	0.00970959274738342	0.031915436517202155	0.05703074527516015	0.0269905673147798
Tregs	0.017743749424432402	0.03871662075172865	0.014073979975514515	0.04635749107634144
Tumor	97.7859813369219	89.79410054273943	94.15035249351436	91.211176180965
