	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
B_cells	0.012800599568792509	3.614622325450982	0.4801392266760518	3.0450406721908565	0.9056412647503708	22.387988527353002	0.04206257571973735	12.036665743428655	0.3050159251444777	0.4581168768214247	1.6669868216055408	0.023504874544571376	0.04353909652907837	0.05484530527422009	0.10902275746756364	0.10145706973364167	0.1246482188394766	0.046263923670650714	0.17379991653883692	0.4272861665313631	0.028414216714614905	10.915453962298631
B_cells_std	0.006218049805562187	1.03216873935413	0.06905752859230659	0.8719084955425511	0.14927477281842974	2.6733724061201936	0.04257705023393433	1.1272245631600342	0.08629858413017556	0.10895191420757168	0.3829796437146304	0.007930687552972005	0.013508474408866735	0.035334550898517315	0.026836233421155573	0.016757366925068497	0.02676297804993666	0.008314289750353502	0.035432307968786735	0.12583930173357308	0.01029095751532891	1.0983535017426236
CD4_T_cells	0.0014147776647706607	17.23374085576707	0.05062227701148085	0.1242722127696066	0.01911861390338769	0.051344506779348716	25.653107255496803	8.765561417574228	24.522497798560433	6.186437448671758	18.727399015304307	0.002663124052532092	0.0949478985529615	31.71643221512155	0.12111146506513387	6.256970091998334	0.9674811628937529	0.012529278255050342	5.083889784222265	0.020219646677066397	0.0017729675346663395	16.234405570612072
CD4_T_cells_std	0.0003722952594116815	1.5255212734350256	0.0138031103691062	0.03695671220270033	0.004585259819458943	0.02251606235576929	4.822467728128812	0.7302742069023308	4.786082348109229	1.44481442763005	2.4954454145112033	0.0006224663598448182	0.030377360063938538	2.208145530773555	0.042517131474409005	0.8579955127625053	0.19172405667418366	0.0036452652272579967	0.5058446558840193	0.005757369992124647	0.0007181686295528401	1.325446621476177
CD8_T_cells	0.030673458720197506	3.2045109678728227	0.292454178257461	0.06610082839775959	0.04162361839888728	0.1309765170357916	40.64130854263282	2.5523976845370133	22.047261455722808	21.414285762535158	22.363476293303922	0.03008638091747962	0.09784742636502687	47.886110340631255	0.08709781392875017	10.504304824246116	0.8436733970804429	0.031062434214873456	3.409097854409023	0.06016168793480274	0.026586782965866515	2.019870794689798
CD8_T_cells_PD1_high	0.015041381512493025	1.7138234674352504	0.1360107408414223	0.04823115020911654	0.02266892263442737	0.09015518732619107	37.205440268638796	1.9356398642280013	18.957651518713714	17.45940917958957	20.686351381452432	0.014719454705824687	0.05260255014760075	39.785191140997526	0.050567637305791766	5.51745442922878	0.43568883927899815	0.01631135982753531	2.8483660710936403	0.027292844362229587	0.017595214966775363	1.1884183030089122
CD8_T_cells_PD1_high_std	0.006671393660725754	0.5246304538217883	0.0338196003051026	0.013913193528458396	0.008414141394542999	0.04329939910671289	3.2873262176007154	0.40550751369337396	3.4183953140021734	2.2861079728739293	2.521816010830618	0.006374478914803863	0.017601932993919996	7.056867315120553	0.016782450327888342	2.12121412156681	0.07875554226888751	0.005491963337973567	0.6134880301740481	0.010618792844142204	0.006532510996092501	0.2767659180071603
CD8_T_cells_PD1_low	0.015632077207704476	1.4906875004375728	0.1564434374160386	0.017869678188643056	0.01895469576445992	0.04082132970960057	3.435868273994008	0.6167578203090115	3.0896099370090946	3.954876582945592	1.6771249118514902	0.015366926211654931	0.045244876217426136	8.100919199633731	0.036530176622958405	4.9868503950173375	0.4079845578014448	0.014751074387338144	0.5607317833153818	0.03286884357257315	0.008991567999091147	0.8314524916808862
CD8_T_cells_PD1_low_std	0.007404896221578431	0.3428094542267239	0.03136512732353867	0.00189311081620427	0.002275569436975792	0.0199846300388148	2.2247565452244573	0.1906774272279833	3.2345676797151586	3.339111982236616	1.2678790957411548	0.007180418796875552	0.013027440155312544	7.111413283641863	0.009895375398488159	2.337786078360121	0.060487662566695015	0.004774422461385882	0.43356579036337933	0.01146079766740678	0.0010492395084277905	0.30291227055939823
CD8_T_cells_std	0.011144046386704529	0.4021568344969063	0.04764884966214318	0.013992149761616552	0.009312017867683379	0.036042888169137616	3.0348032231621787	0.3831901903848348	2.5140019891800898	1.7277303725323905	2.7332176666427754	0.01080249666056097	0.02157899595878309	3.5968871264507074	0.015692986345422582	0.8244612804361664	0.07047593240869775	0.008352099542157827	0.3663553779824771	0.015206901664708556	0.006777577383836106	0.2861794426422981
Endothelium	0.15546697087397773	0.0013602384606552422	0.025462435132546826	0.8035638886373391	24.579398043517532	5.706310184322151	0.0	2.7652989451148646	5.649280115949731	0.8578697027141795	3.358614189207583	0.3567369874973332	0.08340408912300765	0.0	0.28327124692666794	0.06399770229476279	0.005870422533086429	2.6982483156838284	4.679378530970041	14.436003974061318	0.0043689044206015	18.34719436621868
Endothelium_std	0.03883471220715732	0.0043014516966318975	0.013808192796250555	0.095411796143358	2.952801703239669	0.5308571338712135	0.0	0.16754060304114082	0.4577656055221804	0.13669685336528728	0.18755742008040027	0.02583273147800096	0.018146924804923317	0.0	0.04546522178134607	0.036390164626322836	0.007466211439723748	0.19972470190887512	0.3167640933714043	0.9567115529623232	0.0038845240890841392	1.2413583596844953
Fibroblasts	0.2950268192175645	2.4349358712346794	4.256342900576377	11.56089734054782	8.23420165168962	9.897245350831794	0.00821130931476897	6.455904167594865	11.476775403171857	3.1506419896900937	6.573801002149956	3.078531326745373	6.2326806075210825	0.0007282864256904782	25.036613255916066	7.2830272949082016	3.8018409957810273	5.454482354800747	20.32678377157397	27.43546056589946	0.9143106171705346	13.620929598804604
Fibroblasts_std	0.05713473414286833	1.272120480933294	0.5172424478036007	1.1935481341372665	0.9895594675121874	0.9599204386679758	0.01149194158905976	0.5437625021746911	1.5792787008776918	0.2738836847734873	0.4422290252440314	0.2329202588211739	0.7161310319698622	0.002303043894164877	4.25604418171278	0.7173529871664905	2.5754065982509293	3.173247837568342	2.8961219476483824	3.1371506131546623	0.2602936278956401	1.777733864692748
Immune_general	0.13999006580522655	25.753281859580998	2.4862314915728776	5.8649080322160625	3.3905799054160983	23.315205772524447	64.52142590387236	39.84726201937736	53.55934863031222	31.357280591557263	45.86761855503498	0.08857643774377895	3.639513635128588	70.01184825999454	8.038878722383492	22.031863476443892	2.655634391638014	0.2909552550524849	40.679766429695505	2.740619518169899	0.09210402507109336	31.01297957363961
Immune_general_std	0.0573947412402242	0.8078564083247369	0.08027539090497407	0.5575804004119967	0.4054117663004192	4.1780704159509705	2.106020865716572	2.087330648213624	1.881106302451764	1.4087332151119871	1.6579852824790209	0.050894490386956016	0.4330764456207623	3.338251201504708	0.8690799428337136	0.7388235801840488	0.2537806636116803	0.14003332653420508	1.8984021663287176	0.22051781171643034	0.05031970412249075	1.4925793005967023
Lymphocytes	0.01988616816135218	22.128579182910823	0.9272316363144378	4.012992204467807	1.6985965814300916	22.937405762667357	61.446793337149394	21.964323337730544	47.26956970339453	27.516510762586837	42.74459098501082	0.01158945988996723	0.8659941568809184	70.61742284061229	1.7884120048804568	15.980047876815279	1.8262659912756716	0.06140004196041358	12.970725161370359	0.7939840189180961	0.07046626073247624	30.838948137143245
Lymphocytes_std	0.022268475241165937	1.2316762470538072	0.07103907509372191	0.9366807559246108	0.2007608056118593	5.2639606517321935	2.7423357790783407	2.4345521220773194	3.1174825323375144	1.47422649757027	1.9739839655235392	0.03054745799716688	0.30494935643278265	2.860903924586136	0.4246258056328655	0.9383400852840468	0.2646652016958157	0.014876790042388609	0.8045705198465132	0.16021154553612252	0.062391825032502526	2.565012975976746
Macrophages	0.005047537971880342	0.5450195403498639	0.5590805390565123	0.17016860721920196	0.2850728797741459	0.5340725484005177	0.09687866727465004	1.612699005731815	0.3729915088500231	0.3092370479594168	1.1960992082791373	0.004559920553376534	0.3173892358034943	0.04725932034607566	1.1917019280845442	0.25491958198660153	0.2956190476128249	0.4899030048882107	23.70717568694675	1.058791541258013	0.12101090811494596	0.4630880130355412
Macrophages_M1	5.839501353895047e-07	0.2789506691723601	0.27230236857059864	0.1094583352072613	0.09766029473348152	0.5176664676117181	0.010160071066308231	0.5730698068937968	0.18579550771345005	0.18846236800370936	0.3249210529214861	0.0024832726249179628	0.19095665182124744	0.0006488427908423394	0.8590910867740456	0.18717992943514225	0.23966514019734736	0.2634781745959305	5.586900407695102	0.35206110299759186	0.06662857898332555	0.35287454830954057
Macrophages_M1_std	1.8466124677945316e-06	0.10951869369828952	0.11496298166127199	0.06066524538931493	0.03211627373474422	0.3347840802101624	0.015451391413926669	0.29290888516888874	0.1553874161343385	0.16607324723429734	0.2979076316757402	0.005554634480309514	0.08503793312838798	0.0020518210624420343	0.3296180992999068	0.09294072600379334	0.11093047413785084	0.07331806465600954	2.4247755522582484	0.14739453881108866	0.03837996144882201	0.22507596788107875
