	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
B_cells	0.041069721373468086	0.15598296172149734	0.03527683721006303	0.0473729309180236	0.034539234929457686	0.032061975891378984	0.06754339682965048	0.15373640368721808	0.04241416485709102	0.0802676345041364	0.08313839289650203	0.020235348575200016	0.07684820785675163	0.08538647638802266	0.046022915290045235	0.056518797212789414	0.0930985183588464	0.04319547597392977	0.04084115155663725	0.039809034118371237	0.08839754540997438	0.11017130701176728	0.05851594815519076	0.04765049317485881	0.033933723759390334	0.03648177539579662	0.033317399484912746	0.0349552433000062
CD4_T_cells	0.006733153375633352	3.018921338417484	0.0224901683258762	0.03595606304913607	0.009496086808218836	0.06980369211074487	0.00668960129390381	0.02274298476702694	0.003776992615309146	0.0001272117038805312	0.008822532321741846	0.014191963226374709	0.22887885694838345	1.034917002176765	0.11960081246111733	0.5297250646217657	0.027317887096578897	0.014711692800182832	0.9938187727817096	0.004127801089252272	1.3532298131111902	0.035292548368030176	0.0440665636621379	0.0054806498620883866	0.0013250355295099168	0.008094371360742175	0.01722717121130421	0.027237263050351446
CD8_T_cells	0.05292193743963792	1.2977128587890057	0.04345982341481819	0.10543296914724117	0.03625094357628768	0.046151651531741035	0.045876984776203625	0.04795394815872465	0.036075734750860615	0.033806796288708564	0.13061522825246966	0.04975530784378584	0.4481226532694072	19.05876825170251	1.0486826748305142	0.3505652431656179	0.1081382747683624	0.04051942626758431	0.16009090954155403	0.05416273006281271	0.5906946025085956	0.06325478079872755	0.060203209169534234	0.033655398393479766	0.027172115795791724	0.042782437983370364	0.040862387893044964	0.06491849705906959
CD8_T_cells_PD1_high	0.024339165438598376	0.7216960911684394	0.02129083508515009	0.04524025537466638	0.02147653453100188	0.025652923615655958	0.022463092762134703	0.02899176609833205	0.01771678618462119	0.017730592768690774	0.08990368867163141	0.03123137067017225	0.3007147219239068	13.031404894089727	0.4472186471431467	0.16530044888134462	0.05939608935659465	0.024732547459641586	0.11272277749078335	0.025589035996562502	0.3483420821627972	0.027023803978230333	0.03080431361000165	0.017070289310366714	0.0156932358847817	0.024974311082030992	0.019240751661111333	0.03657434718049216
CD8_T_cells_PD1_low	0.028582772001039525	0.5760167676205663	0.02216898832966809	0.0601927137725748	0.014774409045285796	0.02049872791608508	0.02341389201406892	0.01896218206039261	0.01835894856623942	0.016076203520017786	0.04071153958083825	0.01852393717361359	0.14740793134550034	6.027363357612782	0.6014640276873676	0.18526479428427328	0.04874218541176774	0.015786878807942717	0.047368132050770666	0.0285736940662502	0.2423525203457985	0.03623097682049723	0.029398895559532574	0.01658510908311306	0.011478879911010029	0.017808126901339368	0.02162163623193363	0.028344149878577425
Endothelium	0.016596001340343492	0.017866754938280226	0.0061340787691414106	0.025369950174850008	0.023708183946087282	0.7132158897912624	0.008413162950463978	0.009019557919718507	0.07720334605668243	0.055097563357049024	0.021932625505636384	0.0611744315423052	0.08033930052854896	0.04223459681578417	0.08669733052086775	0.11867186559123186	0.13322915326962295	0.10299366367919788	0.07149788492106635	0.0961271201501146	0.047155515102683364	0.16747411608988405	0.15157847497903365	0.07370651307681195	0.07358985578799357	0.15397215450538168	0.077887962134642	0.1109001621435956
Fibroblasts	0.02101468492457249	0.06745150560213926	0.041124299033836784	1.4508144949135044	0.07585732331378958	1.3876452538275612	0.008696900093179156	0.1781223562676434	0.33566382835327746	0.07448740345966061	0.04609334521929062	0.3328695430430972	0.3717245403641297	0.8145116408876139	0.02420221087487408	0.04084418571958639	0.39108108308685136	0.07886193295174199	0.20289771258933087	0.10894611952474062	0.040373504078257065	0.6652951016096922	0.5667966866026148	0.06135479314259085	0.09730766266674144	0.05487626613734405	0.5904914862618862	0.2490106613706685
Immune_general	0.03525314256987172	77.43856114366808	0.08068224173478658	2.3683866201582005	0.4955115531482477	0.15950100103439285	0.08640501629651258	4.295222347119627	0.058692578539622266	17.801024388679302	23.724499028617892	0.06511815754791014	24.799466537904774	30.82077350501831	2.7748180217314644	15.656631043428042	3.3057944583553636	0.050588635134293715	17.61579559573368	10.6286275686059	12.208336415442243	0.25600612960707525	0.06445125199985621	0.04248994478750092	0.025841316134896958	0.10385600961196716	0.07713398543244493	0.08621312710399592
Lymphocytes	0.03983147169089432	6.743297133074952	0.08367799111771111	0.1148203394109809	0.06287194923813272	0.06635854541524548	0.05689677861474845	0.31615380662313897	0.0385649682574585	0.08401783488574795	0.4166545593231201	0.098092800120427	1.0424090422821195	22.457590155338746	1.357509627137028	1.4417846004507362	0.2813086508644598	0.054538383954664586	1.3110175864852016	0.1873562266564646	2.711995216531047	0.049912835786379166	0.1081815554244204	0.05118648911219947	0.04104261315569386	0.07590209049402523	0.11336215620531398	0.10847286293659802
Macrophages	0.010394628459736979	55.418883034365365	0.009458247918158105	2.2480077274543406	0.5120435606216076	0.0788980230941392	0.016710446811990094	1.688430474355614	0.03980172621158976	16.24042915693302	22.27661541325552	0.045863961081752495	26.10998722895016	1.4293256838740485	0.0953033574855574	11.882168224926152	1.6305952094474323	0.005157886330570319	17.559100371658875	9.470674422465688	9.273977106530293	0.2285907048619807	0.02500084235668629	0.007536122533446283	0.026411192350875683	0.011429125255766292	0.05034135734164393	0.1367907293086363
