	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
B_cells	17.654121109572753	15.328307795204935	6.414913576599468	10.869682196628844	12.917417666880679	17.121621327276277	15.823596071136295	12.684613193109007	12.261435022071659
B_cells_std	1.4532636221015411	1.8027768854593964	0.7101955935389637	0.7862259867902098	1.7631487751639388	1.8290171362397685	1.94666301200702	1.6872852117430337	1.2239887234151017
CD4_T_cells	34.633600534701706	43.18163837179838	46.75550420022989	46.81598781055146	33.746977332557165	42.327977287989796	42.10016774337173	45.82642770755757	43.150575263364296
CD4_T_cells_std	2.3852034332805485	2.665217997892458	5.322545941147932	3.4953851023916456	2.5564002811785724	2.8995416128023064	2.5329447255961446	3.3626290813430377	3.639981012840767
CD8_T_cells	6.959450263357037	19.2985022874536	41.081033771770436	17.377170649738847	7.1987500044281925	18.828907782849868	12.18490732188658	7.190095144868897	17.970292685005493
CD8_T_cells_PD1_high	2.1757265561491845	3.8038038887221153	1.900666409017172	1.3090577420088485	2.7404316521378482	4.936034765251428	4.609146211462017	2.293747475116295	1.40526168892387
CD8_T_cells_PD1_high_std	0.8803579649646514	1.6166405828583248	1.7709474013682227	0.7350674201581238	1.2165166900109916	1.697916780927826	1.6459765770238628	1.0076229075718648	0.8267949405740624
CD8_T_cells_PD1_low	4.783723707207854	15.494698398731478	39.18036736275327	16.068112907729997	4.4583183522903465	13.892873017598438	7.575761110424566	4.896347669752601	16.565030996081624
CD8_T_cells_PD1_low_std	1.4464767477590923	2.0436263461082627	3.1909011457649714	1.3393235339250606	1.416830132078194	2.34641293327996	2.0957886817802542	1.2750847862002332	1.8052845654032816
CD8_T_cells_std	0.9573009048679796	1.4206560356457103	2.730202207813075	1.3366612549070802	1.0347038628827896	1.4710646151478843	1.4986047255348034	0.9464303152632147	1.7818611622037634
Endothelium	0.005780975305103766	0.04958388379777213	0.019751606556294737	0.02037709452508885	0.007342965030302036	0.019725918498338286	0.011685516362704108	0.018882574960671226	0.00498568585539846
Endothelium_std	0.008605791761943258	0.01701459393410186	0.014071964512414287	0.013068174742025216	0.009903813931150595	0.019282450910119837	0.013506327264900529	0.020253849409041128	0.0067273779354341074
