	SRR8030893	SRR8030894	SRR8030895	SRR8030896	SRR8030897	SRR8030898	SRR8030899	SRR8030900	SRR8030901	SRR8030902	SRR8030903	SRR8030904	SRR8030905	SRR8030906	SRR8030907	SRR8030908	SRR8030909	SRR8030910	SRR8030911	SRR8030912	SRR8030913	SRR8030914	SRR8030915	SRR8030916	SRR8030917	SRR8030918	SRR8030919	SRR8030920	SRR8030921	SRR8030922	SRR8030923	SRR8030924	SRR8030925	SRR8030926	SRR8030927	SRR8030928	SRR8030929	SRR8030930	SRR8030931	SRR8030932	SRR8030933	SRR8030934	SRR8030935	SRR8030936	SRR8030937	SRR8030938	SRR8030939	SRR8030940	SRR8030941	SRR8030942	SRR8030943	SRR8030944	SRR8030945	SRR8030946	SRR8030947	SRR8030948	SRR8030949	SRR8030950	SRR8030951	SRR8030952	SRR8030953	SRR8030954	SRR8030955	SRR8030956
B cells naive	0.00965875799115594	0.00868603957681365	0.0	0.00878141357746642	0.00854129358732946	0.0153140021384976	0.013824205594403002	0.0153318378475408	0.0132374915367257	0.0144513691069919	0.0126321124296804	0.0138227822455601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0100293294012798	0.00126767620077675	0.00193858054393735	0.00355514500377889	0.0036075656291148796	0.00221187962671931	0.00918371851647315	0.0104606045961793	0.00422012607855276	0.00755023521907487	0.00358802053291367	0.00174383138677991	0.00318150952193395	0.0112269045954602	0.00340441671955491	0.00368195888793576	0.00809497076811535	0.00344697538443015	0.0032556516548582397	0.0	0.00323183645718666	0.00294331357716911	0.0189687333338324	0.0028039658851870893	0.00484282714648004	0.00611448508725125	0.0023610939917316303	0.00450595671529738	0.00308517013662113	0.00573919492633672	0.00624392140658021	0.0	0.0034516086291476	0.014410484438146003	0.00318456864929881	0.00681165526675705	0.0109291343205207	0.00748190418964315	0.00283451238714587	0.0071944254667805204	0.0	0.0049435286422869285	0.0084664630331446	0.00927366017531996	0.00295969352764185
B cells memory	0.0115798750943709	0.0085506135435339	0.016731653754887	0.00945862907383997	0.009863476824409259	0.0	0.00146236869619766	0.000694528161218267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000562255926086309	0.0	0.0	0.00039149828190502596	0.0	0.0	9.64086123593835e-05	0.0	0.0027473111021099	0.0	0.0	0.0	0.0
Plasma_B_cells	0.0021331853570569397	0.00197176816676918	0.00278000292648129	0.00195811719673768	0.00161447183037991	0.00203628655307068	0.0	0.0	0.00177142794946678	0.00147299353415657	0.00173496572473929	0.0019521243363818301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041336839860770785	0.00034986512640531497	0.00782676718530919	0.0	0.000208362980933603	0.000745678613627571	0.0036469086979122	0.0009283782106884241	0.005732421197674971	0.00294468360187048	0.0	0.0	0.00329588580358405	0.0	0.00171950114370345	0.00300183476530607	0.0	0.0	0.0	0.0	0.0	0.0	0.000674643299067042	0.0	0.000536900399952559	0.0	0.0	0.000482124932617034	0.0	0.000771504801315309	0.00066177902098804	0.00267218755282645	0.0	0.0	0.0	0.000600372030219916	0.00242375533791733	0.000537011037845463	0.0	0.00156476352270129	0.00144293313919964	0.0	0.0015944265858330198	0.0015793597224025	0.0
CD8_T_cells	0.0	0.0	0.0327092448036235	0.0	0.0	0.0	0.0153244311350764	0.0180076489216947	0.0	0.0	0.0	0.0	4.73541127140865	4.826551886519169	4.929775170045232	4.977344677312651	4.91132441317101	4.75181972379214	0.33436257261156604	0.2895150184271	0.382165188865094	0.32024968634370504	0.387331194185257	0.35382264207815	0.261595798609362	0.223189291427646	0.31370205465769296	0.256599737075603	0.264972158623935	0.289726358004246	0.275921993154735	0.232153729925876	0.27482347983907396	0.21917666241816602	0.262342539707635	0.26773999266591697	0.561220601395832	0.576687203799664	0.654585626463424	0.594070497871116	0.589270376355188	0.5500793296267249	0.162718464609795	0.15801257749521302	0.16382044376025698	0.177408629250022	0.15499729714166194	0.18297839176901293	0.156756786512997	0.158467410777943	0.136678898748306	0.13887017088473902	0.161425215614604	0.15396933674422594	0.109974730280506	0.119663885833726	0.18256793382747602	0.16416587055148402	0.118659021098876	0.11884329585764099	0.14161488098158198	0.148194924673654	0.104659815235998	0.149943924528685
T cells CD4 naive	0.04071933560418601	0.0279885712469903	0.0727481665371285	0.0317109542911445	0.0449282039381937	0.0	0.10286234633675599	0.0640714404703108	0.0599659348379213	0.0761347958301124	0.0506659852657233	0.0412379158525116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	0.235410859511987	0.23757071940353505	0.181334353140221	0.240229176684267	0.242691519158868	0.295302451211551	0.17957998991212598	0.209130855963781	0.253418336427027	0.23284936069025602	0.26704544361141397	0.271505311765743	0.0	0.0	0.0	0.0	0.0	0.0	0.420118953963123	0.42238330992302	0.3949260845098809	0.345761615724907	0.391357377364396	0.48263970939668394	0.403853078650345	0.4201537473122721	0.41026319615833096	0.41896551997030496	0.402134641711016	0.394526739400403	0.377551780912534	0.419008727466009	0.376689452184566	0.4054761441603211	0.3732871159569939	0.3840609673064289	0.324761591690299	0.297157765144877	0.270707526674573	0.26516684097001003	0.338196103867765	0.24998835867854602	0.261940486923251	0.313931869137503	0.33467020527713104	0.349144335239584	0.332626349945707	0.32538247511871504	0.29054159420390196	0.277643302072471	0.319046417414248	0.30045863188483396	0.279095033206324	0.26639696519622696	0.306700485169344	0.263870645218189	0.2418435397064789	0.304985373030998	0.32131539499141903	0.294658898334305	0.29806740796111697	0.26041247383620103	0.288343943411981	0.24345007009700198
T cells CD4 memory activated	0.00526319675379127	0.0	0.0	0.0	0.0	0.0	0.00581760449917511	0.00540930706773518	0.0	0.00687151433099332	0.0043235118427129215	0.0	0.258556579884966	0.30286173104825703	0.181229604911954	0.14527607322012806	0.101770523794511	0.177596724700543	0.0191684075974731	0.0126666471347506	0.000494075136623155	0.012637031670286998	0.027515769658314	0.0153033427511533	0.0205629193880283	0.00817112891910907	0.0230260264429308	0.009614473343595073	0.018299871858156003	0.00734523171326957	0.00104035195494378	0.00941088654204322	0.00116696945553826	0.00616134002959788	0.0038333149341857	0.0013739984280783698	0.0191547407132864	0.0759343274482279	0.010534321855850001	0.0195934056186582	0.0156859003238975	0.0325776603945115	0.00315594132066695	0.00540089204300187	0.0	0.0018470345333373398	0.0	0.00277132269043315	0.0076521908617102705	0.0133108801162746	0.00625442539183881	0.0038789766739527297	0.00894293483387143	0.00284897258098508	0.00860587798236283	0.0	0.0104133511641331	0.0	0.0	0.0100435751650377	0.00863097600494373	0.0111623315764053	0.00982450399117558	0.0025790892043587
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0423345731022588	0.00849984507252991	0.0142193271370075	0.046949668420842	0.029084660319147002	0.0156369409774166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024832850088469	0.00504694120847668	0.00064991227938339	0.0142224464670002	0.0035014258994331	0.0182714277576931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1008068723029099	1.02255723787555	1.1008495173396202	1.12348784696106	1.1332146936647198	1.07984582366109	0.0210798800689468	0.0153283416831966	0.0432987875550565	0.0455363614839973	0.0237854331848974	0.0070924446804282205	0.0124579403241909	0.0117746704050148	0.0149956022576668	0.00754498580192989	0.00982206947416132	0.0281678282418967	0.0192069379866223	0.0067311555285666	0.0292104860264653	0.0058038265112452785	0.008883073589566479	0.0206829649491183	0.0829432593778211	0.0957978223445873	0.11498611460778699	0.143135145135874	0.12731179636232498	0.104678352826403	0.0	0.0	0.0019827931632276697	0.0183565536319341	0.0	0.0065974245160726214	0.0	0.00469711660905208	0.0	0.0133487192362819	0.0037397310577369797	0.0	0.0	0.0	0.00745245803347428	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
