	SRR1060753	SRR1060754	SRR1060755	SRR1060756	SRR1060757	SRR1060758	SRR1060759	SRR1060760	SRR1060761	SRR1060762	SRR1060763	SRR1060764	SRR1060765	SRR1060766	SRR1060767	SRR1060768	SRR1060769	SRR1060770	SRR1060771	SRR1060772	SRR1060773	SRR1060774	SRR1060775	SRR1060776	SRR1060777	SRR1060778	SRR1060779	SRR1060780	SRR1060781	SRR1060782	SRR1060783	SRR1060784	SRR1060785	SRR1060786	SRR1060787	SRR1060788	SRR1060789	SRR1060790	SRR1060791	SRR1060792	SRR1060793	SRR1060794	SRR1060795	SRR1060796	SRR1060797	SRR1060798	SRR1060799
B cells naive	0.0	0.0	0.19291395229854896	0.0	0.0593608696471054	0.0664241550600291	0.0853177838439872	0.0	0.0848349665956321	0.0	0.0346967207277786	0.0399499648304388	0.00833872251664125	0.040678684286997	0.240176343802159	0.0	0.0688683066702431	0.0	0.117492460975025	0.0	0.102110381066219	0.0	0.0565985898791318	0.0030174564853518693	0.166722232507255	0.22688368589588798	0.0	0.0	0.0820615033765171	0.0686698587760593	0.10171973875732199	0.0988410882970683	0.0117279749683979	0.061806285822866	0.128731654456827	0.0186278695453612	0.224689407507529	0.193424219035298	0.0221354375597386	0.0501002613447957	0.10611002107132401	0.10862566216298401	0.07663942205812599	0.0217182153240971	0.0	0.0668447960056711	0.0511405083991405
B cells memory	0.0783841757949455	0.12971593798080902	0.0690050057515376	0.3966719282557379	0.0738895188807942	0.157502425358106	0.0902160975972844	0.20181068992633	0.0959414392008499	0.219968589380793	0.17501213596933302	0.101493963915782	0.0765588567731189	0.0680601164144362	0.031608030014815	0.40831813138587497	0.072412207080589	0.307322987197164	0.0831919144270939	0.128473666353331	0.0577753042134943	0.22278180079155105	0.103038641264797	0.0686554186022478	0.0957693637426587	0.0549817163276763	0.357505731052979	0.139803711258227	0.160029521202779	0.11907394500641	0.12528778406583801	0.11466598483220199	0.199959567758096	0.14661378105917405	0.11402648656761899	0.0497248228319877	0.06223013288806401	0.0809120389537235	0.345774574343235	0.0805109616745186	0.13203069895947694	0.10166660711568	0.14158284358621698	0.19374434091169196	0.268638187898769	0.142841039887317	0.13276923615838498
Plasma_B_cells	0.034670465239037	0.0446739488100769	0.0724953385722216	0.10909426667944802	0.0978217872798579	0.0986827797203659	0.0867496139060232	0.0888830865205199	0.0879419924985029	0.0054246354429263715	0.11147879925527901	0.0882445925813379	0.0369638184008688	0.0424134673259099	0.0741755155020785	0.130972584469967	0.0868879514524487	0.15472807344020198	0.08586057994806501	0.10788529429094801	0.07772241441967301	0.003241554170833711	0.0952009830935195	0.0424996741484549	0.0534919805588274	0.0498948334057018	0.12709777909549802	0.0973954336297375	0.11468561287630498	0.0705761214108035	0.103338546849257	0.0789538745130727	0.0953775385656376	0.0714905144634058	0.10714743316833099	0.0318034341765507	0.0619044663086667	0.0412055850192232	0.0751191973568663	0.09946918002036904	0.0713123199667246	0.0773580185848873	0.108511258090135	0.0970244473569715	0.109022922424211	0.0871056515132524	0.10270379268250099
CD8_T_cells	0.860287166843037	0.6958960864330129	1.6426060458481002	1.1895823235162	0.523244804648914	0.838896439201134	0.99139425109567	0.7676767389440631	1.0630988392787	0.945611386956356	0.966689323597031	0.979549941559478	0.8162040411851691	0.614205625117327	1.62570908053098	1.1201060360314499	0.43492896146025	0.7900974177898441	1.00673917674583	0.8898551739867091	0.91879783270851	0.5538155957637549	1.02301897458971	0.7490182921728	1.68446960539267	1.59007401621768	1.05738722818641	0.3950240316967671	0.7315402863761459	0.7719186706086808	0.7265826232394391	0.823330090868525	0.8639655533651741	0.868349861097842	0.7759608232440559	0.715671201111455	1.6443451846549901	1.5480907175038001	0.961209026839303	0.3933827365973071	0.669739441762879	0.790873048763165	0.78824350284346	0.896061123576541	0.724061528170911	1.0462565050900001	0.8559737899993209
T cells CD4 naive	0.0	0.0	0.0	0.207842912938484	0.259160614402852	0.0	0.142501087135442	0.0925357662722501	0.11055172369892402	0.0	0.0300434094350127	0.137448735396641	0.0	0.0628944955700598	0.0	0.22390043762857692	0.25990446458725697	0.0479207822689306	0.132510216953791	0.142195773718889	0.21992142489901104	0.312476177533379	0.0220515287974173	0.0	0.0	0.0	0.2930519070931989	0.228186623829727	0.19813328463750104	0.11871923163477599	0.312666666032113	0.242316121212288	0.18244042254054002	0.18572653931315306	0.15153443634373998	0.0	0.0	0.0	0.328036934407942	0.324473227728453	0.24759455816155	0.348899313477791	0.157709051647658	0.0930136356182159	0.22424001535748397	0.14396142176694698	0.179379679816073
T cells CD4 memory resting	0.0104234904170591	0.109721638000179	0.0	0.0	0.0518517875545604	0.13738741675077698	0.0	0.0516756912972307	0.0	0.0	0.0	0.0	0.0	0.13943055915722	0.0	0.0	0.102615817840634	0.16785732072402998	0.0	0.0	0.0	0.0	0.0207668825529011	0.19996528529347501	0.0	0.0925816428369562	0.11855103419563195	0.19210614922065106	0.0996550404143888	0.19300006162364491	0.000687504229934422	0.164316163370504	0.0	0.00059715905621436	0.105627036659541	0.2523010818093589	0.0203132021891827	0.0397224513111915	0.19491954341421305	0.0724088253306425	0.0595494173975483	0.0	0.11218628398518801	0.087214392102731	0.0033619652935764	0.0055969999051293795	0.0306452569650586
T cells CD4 memory activated	0.0	0.0155924101574173	0.133094762920457	0.0	0.0	0.118532976088545	0.0329371885107297	0.0161686583776051	0.0	0.0768109705885369	0.134460463797362	0.00732089597834056	0.0	0.0	0.113941979093823	0.0	0.0	0.0226109026827012	0.0	0.033253035680461014	0.0	0.0971260250734513	0.039205291406415	0.12386081778790405	0.0252289364428908	0.0968811597474717	0.10706718957838099	0.0462766479409938	0.219047092524627	0.0696480541830095	0.129936628472725	0.0505851521723406	0.0523246934204734	0.0887609264470729	0.0484068899892876	0.10272604452447501	0.0279157641635238	0.0891349583804159	0.12127172003519501	0.0110607126938853	0.2381288737104369	0.0296278791820152	0.17335381899808802	0.0669057866507875	0.14828684682975599	0.0741788784298181	0.145206515676181
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.184029460624109	0.216268728167817	0.28273924809848805	0.37279532959052897	0.279998025483094	0.28747836445377195	0.27703188997552897	0.306632815715388	0.3608828646255329	0.34376213037719205	0.270890607860669	0.339998697499513	0.229306911442292	0.218489224936607	0.29686552773662	0.331074694603307	0.254693046135258	0.32381821447152503	0.314854764004923	0.286577537114007	0.336549762298572	0.197914696327719	0.232124771178675	0.124195385909949	0.245897858000937	0.130550826462599	0.218893641614318	0.161239123281108	0.247757179520328	0.23827807631661505	0.2268810858744369	0.2433930557719789	0.283809921462094	0.258348912102395	0.25093191016447497	0.14240364409536402	0.22233227844057396	0.180310882604626	0.21979015702516397	0.15124325489947102	0.276113826558762	0.28234233949493104	0.1621725182853	0.246984359716669	0.229154961511356	0.238308853032513	0.18949855495964105
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
