	SRR1740054	SRR1740082
B cells naive	0.0385666333863953	0.0504823850110077
B cells memory	0.05457964246140799	0.0861691279901811
Plasma_B_cells	0.009798483744193771	0.0161775101253996
CD8_T_cells	0.451934646207979	0.34089548234524397
T cells CD4 naive	0.18325245317200692	0.281134917854222
T cells CD4 memory resting	0.38512774808289296	0.38694678943898103
T cells CD4 memory activated	0.046972359954905	0.0178109761660904
T cells follicular helper	0.0	0.0
T cells regulatory (Tregs)	0.0209368775252614	0.0240526560090539
T cells gamma delta	0.0	0.0
NK cells resting	0.6257017955727551	0.325648998310154
NK cells activated	0.0	0.0
Monocytes	1.22548145717459	1.29917466887106
Macrophages M0	0.0	0.0109870147205745
Macrophages_M1	0.0	0.0
Macrophages_M2	0.0	0.0
Dendritic cells resting	0.0	0.0
Dendritic cells activated	0.00125096573867559	0.00129211627731669
Mast cells resting	0.0620164991367435	0.0297401851335788
Mast cells activated	0.0	0.0
Eosinophils	0.0	0.0
Neutrophils	0.0	0.0405191521107872
P-value	0.0	0.0
Correlation	0.909973129585162	0.9291942735449978
RMSE	0.565122213626412	0.5577205259081159
Absolute score (sig.score)	3.1056195621577998	2.9110319803636497
B_cells	0.10294475959199706	0.1528290231265884
CD4_T_cells	0.6362894387350664	0.7099453394683474
T_cells	1.0882240849430451	1.0508408218135914
NK_cells	0.6257017955727551	0.325648998310154
Macrophages	0.0	0.0109870147205745
Dendritic_cells	0.00125096573867559	0.00129211627731669
Mast_cells	0.0620164991367435	0.0297401851335788
Non_plasma_B_cells	0.09314627584780327	0.1366515130011888
Lymphocytes	1.8168706401077972	1.5293188432503335
Other	96.8943804378422	97.08896801963637
