	GSM2230759	GSM2230758	GSM2230760	GSM2230757
B cells naive	0.0230745489919242	0.0401781346207317	0.0119338429627032	0.0192288183192262
B cells memory	0.0	0.0	0.0	0.0
Plasma_B_cells	0.000694510482859875	0.0	0.0110511376006072	0.0
CD8_T_cells	0.0	0.0	0.00653234768900573	0.00303778657814857
T cells CD4 naive	0.00708714840224045	0.0	0.0	0.0205405403410181
T cells CD4 memory resting	0.112656114438341	0.181398530589146	0.2369340314596749	0.0925705780315321
T cells CD4 memory activated	0.0	0.00217222871377975	0.00281241225466502	0.0
T cells follicular helper	0.0	0.0002936514252731689	0.0	0.0
T cells regulatory (Tregs)	0.04784834279609902	0.0405887479621536	0.0	0.0312747036177058
T cells gamma delta	0.0	0.0	0.0	0.0
NK cells resting	0.0122139513024636	0.0286870579514643	0.0328528010054244	0.0
NK cells activated	0.0125085901600585	0.0242035788771761	0.0	0.025181521937167998
Monocytes	0.0	0.00683034777204949	0.0	0.0
Macrophages M0	0.31543835737264503	0.252429979748906	0.262220221285786	0.26031428744776
Macrophages_M1	0.0	0.00713681207514165	0.0	0.0
Macrophages_M2	0.0233308553406484	0.06818892132153201	0.0775616167004978	0.0611429391230286
Dendritic cells resting	0.0	0.0329246206266937	0.0	0.0
Dendritic cells activated	0.0417957872970671	0.0106553727629308	0.0351118322733398	0.0636008606920588
Mast cells resting	0.0	0.0288290284750986	0.0428932550330726	0.0259210472072206
Mast cells activated	0.0994505068536872	0.0659248921008632	0.0204680553040448	0.0665451735506277
Eosinophils	0.0	0.0	0.0067583144932140396	0.0
Neutrophils	0.0	0.0	0.000748035768682514	0.0
P-value	0.0	0.0	0.0	0.0
Correlation	0.7526742723077141	0.587539985231202	0.597589195969418	0.689748890338974
RMSE	0.6814338068661489	0.814563796578429	0.806952395163325	0.7391315708139271
Absolute score (sig.score)	0.6960987134380339	0.7904419050229399	0.747877903830718	0.669358256845495
B_cells	0.023769059474784075	0.0401781346207317	0.0229849805633104	0.0192288183192262
CD4_T_cells	0.16759160563668046	0.22445315869035254	0.23974644371434	0.144385821990256
T_cells	0.16759160563668046	0.22445315869035254	0.2462787914033457	0.14742360856840456
NK_cells	0.024722541462522098	0.0528906368286404	0.0328528010054244	0.025181521937167998
Macrophages	0.3387692127132934	0.3277557131455797	0.3397818379862838	0.32145722657078857
Dendritic_cells	0.0417957872970671	0.0435799933896245	0.0351118322733398	0.0636008606920588
Mast_cells	0.0994505068536872	0.0947539205759618	0.0633613103371174	0.0924662207578483
Non_plasma_B_cells	0.0230745489919242	0.0401781346207317	0.0119338429627032	0.0192288183192262
Lymphocytes	0.21608320657398666	0.31752193013972463	0.3021165729720805	0.1918339488247988
Other	99.30390128656195	99.20955809497706	99.25212209616929	99.3306417431545
