	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
B cells naive	0.0153309358079044	0.0	0.0110664620791568	0.0	0.0738652875329877	0.0	0.0	0.284945286766591	0.0	0.0	0.0	0.0243133983193112	0.0100739259066416	0.0	0.0020848872479867896	0.006873929020031	0.00583427828455581	0.018090002124737	0.0	0.00731962288153926	0.0538050769249649	0.285494327942235
B cells memory	0.00180266091108592	0.0444301809878804	0.107216631790157	0.15839988389823598	0.0	0.3414267118659769	0.0	0.227676164824263	0.0705520076167521	0.00428994084980096	0.0225990741995509	0.0	0.00348878511590565	0.0	0.0311487393669209	0.0163203780787946	0.0	0.0	0.0684659404046378	0.0	0.0019853218444836397	0.354193498296778
Plasma_B_cells	0.136464580007997	0.27179436776474	0.071135006294458	0.534280182034511	0.299040347209391	1.4791687216145502	0.007303485488303241	0.450170603872123	0.00580017733230309	0.15554706764787196	0.197299756722225	0.107110933673246	0.00612283819838373	0.00551496525124984	0.0236344344475388	0.006410282411639471	0.0519212991290768	0.111127415430638	0.0324756937016521	0.31250671424144105	0.0603896957705735	0.14867846244273902
CD8_T_cells	0.0	0.38095801650178795	0.0153375234913527	0.00517067013892874	0.0	0.225602931000886	1.63859351233616	0.165808722285197	0.795634735842971	1.05770095159421	1.59909199017613	0.0	0.015831822278831998	3.10242275988936	0.010808501344232	0.804927565627068	0.156232930969396	0.0	0.23352754671100198	0.0	0.021204558300095	0.325536392656692
T cells CD4 naive	0.0541828878655187	0.187986203858166	0.0	0.0	0.0	0.0670142148268682	0.17305070278177406	0.426928791643306	0.0	0.0	0.0	0.0489093819175766	0.0	0.0	0.0	0.0	0.0	0.0174140262415509	0.0	0.001963820704534911	0.0	0.348111221936593
T cells CD4 memory resting	0.0169321000916837	0.557045720383957	0.19449134519525896	0.0252609869520416	0.126809573976113	0.0	0.0	0.48037612847628897	0.0224445568728349	0.0	0.0	0.0102544454727264	0.0548502260236204	0.0	0.0653413345752759	0.0047461675632864	0.11367207811459501	0.0271749410956214	0.271670718188759	0.156720641369579	0.0167381970985283	0.525089318817041
T cells CD4 memory activated	0.0208660514291038	0.203479152589733	0.0	0.0	0.0396562649810766	0.0241513894380382	2.75559130307699	0.0	1.39319363974781	1.50179181758944	1.77123471470543	0.0	0.0	2.16238354637183	0.0	0.666222642487839	0.0	0.0	0.34694012085969106	0.0	0.0	0.0
T cells follicular helper	0.0215120706486826	0.3751070740906921	0.13269275593319302	0.0312245053866542	0.0275586839585721	0.0	0.34802729159235	0.0805947592992133	0.757399261797024	0.317661197137807	0.29405978080762896	0.00997933894141588	0.052064348073257	0.753627832112763	0.0635141256739421	0.20045918070785396	0.257613720607867	0.0377481000255006	0.219493836017689	0.0134042087722825	0.0353077401149975	0.37989546046593203
T cells regulatory (Tregs)	0.0	0.00431993709495454	0.0111948999563491	0.0	0.0	0.0	0.0	0.0	0.00579989987851314	0.0	0.0	0.0152806790789031	0.0	0.101296954182452	0.0	0.0	0.028093228393336004	0.0	0.0296199099216466	0.0	0.0450553889822583	0.020491333223843
T cells gamma delta	0.0363966576241306	0.12271941021222099	0.0	0.0	0.0	0.0	0.258022700529682	0.0794722560650358	0.7650685025550421	0.351520713621215	0.0	0.0404036719545494	0.0	0.274626414597959	0.0366330071739985	0.412997910632089	0.11877963385401699	0.0	0.0981485501662261	0.0	0.007127313963248671	0.0521920905271952
NK cells resting	0.0589484905144843	0.0	0.00953161162337819	0.0038264599395922898	0.0	0.04833053658341902	0.0	0.0	0.0	0.0	0.0	0.07915559905166	0.0	0.0334215655760074	0.0	0.0	0.0	0.0641241377823051	0.0	0.0638193158347656	0.134268240933866	0.0
NK cells activated	0.0	0.0755068212767436	0.0253948545988896	0.0139834504050629	0.0469481934058483	0.0017039599562707196	1.00688252664105	0.296788468587886	0.9236310605415772	0.40132910759272394	0.703982641131831	0.0	0.0332788471724979	0.650375584899492	0.0325898479506957	0.26115432973066605	0.0873619412132889	0.0	0.975252625126845	0.0	0.0	0.41558355957558296
Monocytes	0.0108225900736036	0.006341631895063911	0.0482187537626249	0.0024123186511791307	0.0181162209092563	0.0175878064033482	0.0	0.0089931275794385	0.0	0.0	0.041592758140554	0.0123089907048811	0.0	0.0	0.0	0.0	0.0	0.00785303712541775	0.225831846541008	0.139008930601125	0.0	0.0
Macrophages M0	0.0133204993720708	0.0115238766094629	0.0295406085303911	0.0	0.0181073443465059	0.0	0.0	0.0	0.0	0.0	0.0	0.0268194867660254	0.12109070734240898	0.00399172079611214	0.12872231427467198	0.0	0.0	0.0171002558157388	0.0	0.037986720619915	0.21177619474564605	0.0
Macrophages_M1	0.0164702814131377	0.0795005098718487	0.325543812163785	0.274221904694149	0.14411328976990698	0.0	0.0	0.102872161807679	0.014782675305761004	0.026914496705625002	0.057093719298571	0.0430574521599914	0.17997815240241502	0.0	0.18401919012173892	0.0876284820259979	0.22013323090470602	0.30470394794487393	0.152789415216389	0.0772188024935536	0.0	0.10000867646322399
Macrophages_M2	0.0190947464437076	0.0610294139821534	0.0160689292303888	0.00216111979278957	0.0321887231373596	0.0	0.10480801574417999	0.10320586872553	0.0423287079377619	0.0347165870074254	0.0906127806440931	0.0129954823067311	0.0	0.0269348023680869	0.0265767948862518	0.0	0.0	0.0680023244675319	0.320625239841862	0.0291590124947368	0.0669379071785853	0.132539501934435
Dendritic cells resting	0.0105897528189327	0.0	0.0081740536214512	0.0	0.00827712046823133	0.0	0.0388388728524965	0.0	0.12987909774047401	0.0505594407841608	0.030175004443144	0.0202294778538507	0.0	0.00884854388672998	0.0020068577024623803	0.0	0.0	0.00407873043524535	0.509479289000867	0.0	0.0116759182438282	0.0
Dendritic cells activated	0.0464817202760206	0.0263314865611062	0.042867876107746	0.0125065660824258	0.0	0.180379407821726	0.0911957440184548	1.4097821042429701	0.141980961796411	0.0491041083747893	0.00651500856644085	0.0166970743894592	0.0202766263659648	0.0	0.0270623542065306	0.15816593224883302	0.0592858587580548	0.0184069676531488	0.0	0.0182204667346291	0.0505880874759636	0.216371879319322
Mast cells resting	0.0215332780399542	0.0441662670535643	0.092574077139564	0.226602741609709	0.322367340638018	0.22101160736728692	0.0	0.7538421834656059	0.245823810087823	0.0733703592244472	0.112050896590322	0.0402903508278618	1.3976833683733705	0.0	1.8540716913244	0.0	0.03779711584696202	0.101263969212621	0.0	0.117188275177379	0.0	0.4279096894071721
Mast cells activated	0.0	0.0808690002959945	0.0	0.0103959260165324	0.0	0.0834084985613878	0.26199806416081195	0.39951426756400304	0.421873895294349	0.21211796131296692	0.40159164062682395	0.0	0.278150435394931	0.0	0.256091524555925	0.348045651948663	0.20613895856350198	0.0	0.497638599927718	0.00479469135650751	0.0686139437410507	0.0576477337284553
Eosinophils	0.0331891058260366	0.0830930948596421	0.0387317134098625	0.0155959702658664	0.0271099923165471	0.0144836443948523	0.0683252783204499	0.0273445503319961	0.0	0.007512820919065529	0.0	0.00872208500821613	0.0	0.0	0.0	0.0689107365598887	0.0182693037368339	0.00546210709510237	0.0	0.0	0.0481051545379582	0.076746331778669
Neutrophils	0.00454295738532897	0.0	0.0	0.0	0.0	0.0	0.0163537943712837	0.0	0.0	0.00834700991583166	0.0173502748441138	0.00610402848085241	0.0	0.0	0.0	0.0	0.0	0.0	0.0306733692589594	0.0	0.0127647253584584	0.0017939088585419399
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
