	DLBCL1	DLBCL2	DLBCL3	FL1	FL2	FL3	FL4	rLN1	rLN2	rLN3	tFL1	tFL2
B cells naive	0.9018485958257758	0.0	0.41238911198470296	1.09160237829608	0.17900096162438695	0.981345225108365	0.48119883218265	0.0620693248339556	0.49019125771864797	1.05902621446034	0.539941513414443	0.197106671673138
B cells memory	0.4302679067379209	2.549005588761	2.0089528132119097	1.13629133190263	1.2331426675291899	0.5439658102139511	1.50333438089414	0.6133803757232521	2.03590379539055	0.895581865549866	1.30026395973947	0.8799199961313181
Plasma_B_cells	0.17553323883000502	0.0960011371720447	2.1117566407626702	0.214594266990026	0.0	0.297281905405525	0.131727012932216	0.40704921295257396	0.6178550610303001	0.5348156929393689	0.311660052875877	0.0
CD8_T_cells	0.0	0.151925537544035	0.678926716175445	0.398212311722534	0.43458151199969003	0.3850622615779071	0.4596178114722589	0.619793121228083	0.27834041151505395	0.3600472044528621	0.6267744846234301	0.422327291335436
T cells CD4 naive	0.10059077996746199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	0.0489333855117621	0.0708714439075604	0.0	0.26075265992444	0.238837895667927	0.17406883000070594	0.0	0.0596359744592928	0.0976443068194086	0.68497335412294	0.049932548441517996	0.0339939290231239
T cells CD4 memory activated	0.0	0.0461288450444624	0.0601532669428563	0.0531130092016638	0.0	0.0377611927891183	0.0	0.37290063055168704	0.0719562498842985	0.11358867005541802	0.169574124903098	0.2388486795435689
T cells follicular helper	0.0827533629143513	0.267474129686702	0.33167009170625106	0.909428605102178	0.305740923774796	0.360774599492374	0.3733730589075081	0.9726967763049941	0.45439829362881706	0.196510050084831	0.5123554841620179	0.607520699536001
T cells regulatory (Tregs)	0.0204107693187818	0.0676730123157105	0.37303494875978	0.0677281988614979	0.0694992542551374	0.10211330444526101	0.19911567242768696	0.278208634523382	0.00860020868047457	0.182891007450599	0.104022208959587	0.0672634284136791
T cells gamma delta	0.032355657154251004	0.00242564456927632	0.0	0.119220265435995	0.0728732127102987	0.17699909206044898	0.0	0.307246669260044	0.10504138975963	0.188964389875657	0.0	0.13185993188933698
NK cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells activated	0.0899199876935511	0.17947465726046105	0.519177200947432	0.132628066645039	0.309317187969743	0.25804335051387	0.18166759838343602	0.16764164624328698	0.0717209622188027	0.130155500309614	0.344261859625023	0.16516495216906898
Monocytes	0.0050421125594139	0.00419707031534219	0.0689038934100977	0.0	8.071476754974079e-05	0.0	0.0010432471080343401	0.0	0.0	0.0183260480733968	0.0554067860597177	0.0
Macrophages M0	0.0350050455831846	0.0	0.131793606028929	0.00391153352189457	0.0102979661506135	0.0143264331444088	0.0	0.0250692019922102	0.0018241390606259101	0.0	0.0165999014359059	0.0308990481581775
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0009078163977355	0.0360911066303881	0.0	0.0	0.0307689408640311	0.0169005029250573	0.0	0.0103438977632252	0.0	0.00365452852828811	0.0235697302447222
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0143848757447997	0.0	0.0	0.0	0.0
Dendritic cells activated	0.017558558569405	0.0050059507509438795	0.00225257873058306	0.0449148892233572	0.0116967594084999	0.0436772709490708	0.0165562311330731	0.0130132776437824	0.019079798781378998	0.0810077771949344	0.00932419467055114	0.00181110943127338
Mast cells resting	0.026162362836527	0.0	0.0	0.0	0.0	0.0	0.0213935749518471	0.0	0.0244868551034619	0.0	0.00715298600080355	0.0
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0471652547439232	0.0024558142611498	0.0	0.0311641312604611	0.0347348622106153	0.0162182840854454	0.007764144269859841	0.0171928081921503	0.0229712701050606	0.041158958468886	0.0	0.0025346441936463892
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.007638712187300591	0.00530906059468775	0.0298306770975865	0.0	0.0153194400292818	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.6313380095644971	0.762201699587121	0.7590072104095501	0.7311512545080491	0.680413302384642	0.7075289738803141	0.9218860501801608	0.6978318951794921	0.7633354858285021	0.801614673190134	0.8204302732826421	0.681201863015915
RMSE	0.7851365877869392	0.6467347654089921	0.6555318931526071	0.687098393801205	0.733888571638533	0.710204388668606	0.4590813307537789	0.729521452569865	0.647388745642136	0.623514131232067	0.6050863088295	0.7381017839024631
Absolute score (sig.score)	2.01354701824632	3.4435466479864196	6.73510197529104	4.4635616480878	2.89980391806845	3.4300452128377796	3.39900112818246	3.96011320675108	4.31035789745974	4.50236617306799	4.05092463343973	2.8028201117424905
B_cells	1.5076497413937018	2.6450067259330448	4.533098565959283	2.442487977188736	1.4121436291535772	1.8225929407278407	2.1162602260090058	1.0824989135097818	3.143950114139498	2.4894237729495754	2.15186552602979	1.0770266678044562
CD4_T_cells	0.2526882977123572	0.4521474309544353	0.7648583074088873	1.2910224730897801	0.6140780736978604	0.6747179267274592	0.5724887313351951	1.683442015839356	0.6325990590129987	1.177963081713788	0.8358843664662209	0.9476267365163727
T_cells	0.28504395486660816	0.6064986130677466	1.443785023584332	1.808455050248309	1.1215327984078491	1.236779280365815	1.032106542807454	2.610481806327483	1.0159808602876828	1.726974676042307	1.462658851089651	1.501813959741146
NK_cells	0.0899199876935511	0.17947465726046105	0.519177200947432	0.132628066645039	0.309317187969743	0.25804335051387	0.18166759838343602	0.16764164624328698	0.0717209622188027	0.130155500309614	0.344261859625023	0.16516495216906898
Macrophages	0.0350050455831846	0.0009078163977355	0.1678847126593171	0.00391153352189457	0.0102979661506135	0.0450953740084399	0.0169005029250573	0.0250692019922102	0.012168036823851107	0.0	0.02025442996419401	0.0544687784028997
Dendritic_cells	0.017558558569405	0.0050059507509438795	0.00225257873058306	0.0449148892233572	0.0116967594084999	0.0436772709490708	0.0165562311330731	0.0273981533885821	0.019079798781378998	0.0810077771949344	0.00932419467055114	0.00181110943127338
Mast_cells	0.026162362836527	0.0	0.0	0.0	0.0	0.0	0.0213935749518471	0.0	0.0244868551034619	0.0	0.00715298600080355	0.0
