	T2	T3	T4
B cells naive	0.9776186335717081	0.9654274707914732	1.0166384110159699
B cells memory	0.800686388646578	0.7460079813331559	0.278869772130531
Plasma_B_cells	0.324624057409926	0.47282609870162	0.278695437829519
CD8_T_cells	0.170260398451196	0.146825903552608	0.18517908345008605
T cells CD4 naive	0.0	0.0	0.0
T cells CD4 memory resting	0.346601936790163	0.47700501315195704	0.483340622453729
T cells CD4 memory activated	0.0292428597224792	0.0108928754307613	0.282029503624676
T cells follicular helper	0.392607113864038	0.433800478926315	0.30306806086901394
T cells regulatory (Tregs)	0.0	0.0	0.0450352063442753
T cells gamma delta	0.0	0.0	0.0
NK cells resting	0.0	0.0117662858794113	0.0862382832439079
NK cells activated	0.0156094773039962	0.0	0.0
Monocytes	0.0324800788746481	0.0	0.00962555813521606
Macrophages M0	0.0291595686770801	0.0430419181848519	0.0269354858167139
Macrophages_M1	0.0	0.00559434359161493	0.0
Macrophages_M2	0.0308554231671753	0.0392169261719617	0.027208514202232997
Dendritic cells resting	0.0	0.0	0.0
Dendritic cells activated	0.030151443646992994	0.0450394489452128	0.17528707978925304
Mast cells resting	0.0	0.0	0.008460706491917441
Mast cells activated	0.014521849249473999	0.0434660859387596	0.0
Eosinophils	0.0219214707374021	0.0799100298380086	0.0161580101474851
Neutrophils	0.0	0.0	0.0
P-value	0.0	0.0	0.0
Correlation	0.866465643128278	0.798504380619407	0.9383776649838579
RMSE	0.534696118735443	0.620985329896245	0.5045395041840851
Absolute score (sig.score)	3.2163407001128594	3.5208208604377096	3.22276973554452
B_cells	2.102929079628212	2.1842615508262493	1.5742036209760202
CD4_T_cells	0.7684519103766803	0.9216983675090332	1.1134733932916945
T_cells	0.9387123088278764	1.0685242710616414	1.2986524767417804
NK_cells	0.0156094773039962	0.0117662858794113	0.0862382832439079
Macrophages	0.06001499184425541	0.08785318794842853	0.0541440000189469
Dendritic_cells	0.030151443646992994	0.0450394489452128	0.17528707978925304
Mast_cells	0.014521849249473999	0.0434660859387596	0.008460706491917441
Non_plasma_B_cells	1.778305022218286	1.711435452124629	1.295508183146501
Lymphocytes	3.0572508657600848	3.264552107767302	2.9590943809617083
Other	96.78365929988716	96.47917913956228	96.7772302644555
