	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
B cells naive	0.0119278356109446	0.0	0.0	0.0	0.00014454782726528999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00302540801695134	0.0	0.0	0.00106917740680926	0.00267565735448162	0.00269781272179482	0.00309786826812485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cells memory	0.0	0.0	0.0487541350444845	0.0412977208064903	0.000933391834629943	0.0418645791006966	0.0105903824238241	0.0310226308418523	0.03308228733095	0.0479401584687009	0.00876184047352042	0.0483329048566729	0.0593213698794046	0.00604553516678141	0.0366679501479474	0.0451179259659135	0.0	0.00523131938621079	0.005919188275061289	0.000824244307414599	0.0508257234401574	0.0261528581541957	0.0	0.0164745050045438	0.0037821014997208298	0.0896046571659866	0.132114859527422	0.0
Plasma_B_cells	0.0	0.0101041373977166	0.0	0.00921653568687397	0.0	0.0	0.0114699396505741	0.00888205720433762	0.0	0.0	0.0	0.0	0.0263660033556715	0.00442417661399407	0.0240487058119029	0.0	0.0	0.0	0.0	0.000267661638215265	0.00836475993552431	0.00797669205762391	0.010423674042346	0.0	0.00393719601394805	0.0	0.0	0.0
CD8_T_cells	0.0974737130415838	0.191553747067358	0.10411339691453399	0.0533248787166638	0.125714166692924	0.16724020373038298	0.0445999516503364	0.15455349515051905	0.326825732035336	0.35078732579642696	0.0961491336546228	0.352164923814068	0.200817154576307	0.102799383973739	0.0931587892955387	0.0917901077759025	0.32715209482732	0.166333631652895	0.13490665067309	0.067453246781436	0.19072194927127398	0.12414508297177199	0.6812974701040071	0.15626975609264002	0.0528890165373657	0.443010427615745	0.15058619153237301	0.5878532137491801
T cells CD4 naive	0.0	0.0	0.0210979030605927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0465000068842982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0218757467611847	0.0
T cells CD4 memory resting	0.14689996855404094	0.19815494800528105	0.10894496686452004	0.297459464898127	0.134828487399077	0.273023634707026	0.157596377176449	0.24006232724575002	0.13549876825395202	0.280714148232762	0.116591592923202	0.251725255848409	0.21900522182907292	0.336616559458	0.0894038319953172	0.39392855992099	0.0966472388700153	0.104362968320536	0.124840786245785	0.0749146963662363	0.284812050073749	0.135696960711353	0.0	0.0924831184778831	0.194564625774693	0.0	0.182229276594212	0.240974289590668
T cells CD4 memory activated	0.0	0.0049685154090170006	0.0109693799582687	0.0	0.0	0.0	0.0	0.0450018557597215	0.00124418548403699	0.0	0.0101177589802666	0.0	0.0601080535035859	0.0082378828179785	0.0	0.0	0.0224086972878607	0.00103497386844028	0.0128415719690439	0.0	0.0017907816443233898	0.0263476584761676	0.18204732103654805	0.0	0.0120666105967487	0.0265407559250882	0.0126985854368397	0.0232503642695597
T cells follicular helper	0.0	0.0	0.0043068201138234214	0.0	0.0	0.0	0.00374833140070965	0.0	0.0	0.0	0.000514739522823286	0.0	0.0	0.0	0.0102770504717477	0.0	0.00479340159878525	0.0163218013936609	0.0	0.0	0.0	0.0	0.0159726864632095	0.0	0.0	0.00506637501799202	0.0	0.0037122536611575102
T cells regulatory (Tregs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321339807651558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00493629245226341	0.0	0.0	0.0	0.0	0.0	0.0106004453143361	0.0	0.0
T cells gamma delta	0.0017672244019396898	0.00664455422997056	0.0	0.0	0.000898606224634301	0.0	0.0	0.0138805486020384	0.119676801127879	0.0844630832612622	0.0	0.0	0.10280400308476301	0.0062812725612428	0.00882639966958663	0.0	0.0870957895245022	0.1246416233737	0.0	0.0	0.0	0.0	0.00935708112257222	0.0	0.0	0.0	0.0	0.15422714333448995
NK cells resting	0.0325650399054336	0.0	0.0355444441279794	0.0485280560907737	0.0339239075583036	0.0486442447961362	0.0142143917856162	0.0406787612363907	0.0	0.0	0.041916650843624004	0.0	0.0	0.0520897994101026	0.0163514320798187	0.0445205015760728	0.0	0.0	0.071119651329991	0.0739095217731224	0.0115269188729504	0.0	0.006313397206766521	0.0	0.0691839456133338	0.009862897176186993	0.0225178794181512	0.0
NK cells activated	0.00608107176769499	0.0625943947477622	0.0306692510701216	0.00798852588357013	0.0282136817725794	0.0232836945147414	0.0899730391468402	0.0	0.071996308068021	0.0575856235879989	0.0138847193322677	0.0387893971992128	0.0355883910719583	0.0	0.00306283449522134	0.0387185727864652	0.0256376315106243	0.0522676608835317	0.0261455687985725	0.0270943045148666	0.0555376859801895	0.0476633968630547	0.0204802654264268	0.0546458730937288	0.0	0.13218832665105198	0.0247247188613865	0.00970932118619194
Monocytes	0.140244021005038	0.246890222642516	0.339412878104357	0.0877715353041647	0.117663055367909	0.155292193193046	0.20366058752717398	0.3474855131866429	0.17992575167963698	0.22124760191974	0.274676431146053	0.254198804889411	0.13727524696774002	0.0368190620306554	0.12774452691916302	0.110791297787527	0.156191540433418	0.0969556304343405	0.17728729586097305	0.19055395003584105	0.0711894304064783	0.326677638831531	0.4179822886073929	0.166522150105654	0.10564288910279902	0.20606823230959692	0.158778113907558	0.23159627714142397
Macrophages M0	0.008061317214337541	0.0484195138815809	0.112659007238723	0.19184059557903896	0.0468294300931258	0.0996442157763563	0.0511843342859438	0.16328722723831698	0.0169543033719956	0.0054424238107056285	0.48017122933815204	0.0199038849471355	0.0356339264008003	0.257640007601004	0.17525750342774898	0.14038131418285002	0.0	0.070183082011332	0.00942505867985183	0.0718068217219123	0.125111825237935	0.15716089693985	0.0106961084613978	0.0193668603156338	0.28292246611820193	0.298616568598912	0.0542690145876787	0.0998549774364562
Macrophages_M1	0.0210158300526469	0.0570372225989117	0.0598602528150229	0.0336154682468319	0.0176216247174895	0.0641274445888369	0.0334803167442545	0.0784256874724216	0.0960857144257466	0.0871551527252386	0.0205458021666249	0.106496975967483	0.0482831396832468	0.0370865190221446	0.0277958573996875	0.0245399355295504	0.0655301167460466	0.0780453496482651	0.0175933512855819	0.0399184615796609	0.0420045666055109	0.0390006798042239	0.126563014217109	0.041993083021919994	0.0159544015698471	0.0762110375414494	0.0870846410761649	0.138509308734275
