	TWDN-WUR-117-A1	TWDN-WUR-117-A2	TWDN-WUR-117-A3	TWDN-WUR-120-A1	TWDN-WUR-120-A2	TWDN-WUR-120-A3	TWDN-WUR-124-A1	TWDN-WUR-124-A2
B cells naive	0.8105208867515429	0.0	0.5185759901358208	0.0	0.0	0.0	0.708030927346539	0.954290701781182
B cells memory	0.0	4.2327889644852075	0.1245284134673733	0.6188283244045214	0.5892920134719565	0.8779667993941952	0.0	0.0
Plasma_B_cells	2.7981689672785928	6.654930085087737	11.673671396226899	0.7783917975815321	0.6589500167304659	0.3301595143991809	0.5885523728247118	0.31995886282101443
CD8_T_cells	16.25400585630945	26.148876346132983	14.72929437553214	1.0587584878603826	4.3079232717189715	1.9819729172193603	7.373683211622945	0.0
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	17.30519854101236	6.64064784137218	16.695646032835075	8.790341390621528	9.450874738792278	6.190319197091769	14.989943706848495	22.667445035323677
T cells CD4 memory activated	0.4514282971950356	7.976940148435673	2.8495729839584825	0.7126624480455509	0.0	0.0	0.1278182217071297	0.33620432803265177
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016989033834661733
T cells regulatory (Tregs)	0.5857537993616981	0.0	0.0	0.23436873831335936	3.401886043733441	0.0	1.2774625309582002	0.0
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	2.293279886696084	1.973669681166556	0.0	5.861712772999152	7.433986422029737	5.6087349637441335	8.013982230311687	6.103375252526039
NK cells activated	0.7415814553497032	2.803829384326399	1.6067703446085384	0.0	1.3328335783594876	0.9173213102214894	0.2072762852478109	2.6915644160126986
Monocytes	11.107183320233636	5.962169267426036	5.932812802934905	8.145285205356508	15.217438650914454	5.280113211070199	9.356502255210856	14.002221405484688
Macrophages M0	12.437941671701891	5.25426560948844	9.382892908836716	30.82661667487094	16.24362427488276	34.019448946590785	8.975722132377815	6.5562132198400676
Macrophages_M1	3.1682346067131504	4.067670286208846	2.1366869992504243	0.6476435374218575	1.2197432902856	1.5629827405577237	1.2897141605693068	1.4311182205353048
Macrophages_M2	28.434512398206028	17.815387743759228	28.29189807510737	34.52378022917693	31.33574320836576	34.60735430931605	37.97564135589689	32.917857257013594
Dendritic cells resting	1.0482367333435365	0.9743847094272604	0.7468888358363328	0.0	0.6406427199498383	0.0	0.0	0.5638579474128211
Dendritic cells activated	0.0	0.4687984470853798	0.0	0.0	0.29246238647359313	0.0	0.23492701911983715	1.1411949050998644
Mast cells resting	2.2564315957157053	4.5521202237052085	4.387660863998692	5.1551390782110715	6.1096581522931634	6.74196658687627	8.470604594513942	10.137808816825538
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	2.0074803046497194	0.0	0.0	0.0	0.0	0.0	0.15990059745592194
Neutrophils	0.30752198413188314	2.4660409572431186	0.923099977270696	2.6464713151371417	1.7649412320000766	1.8816595035192931	0.4101389954436382	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	69.79187191661778	51.600005477242476	41.78671590222608	73.35982190469717	56.72841086084023	71.26975552166249	60.030273203356295	59.58809327686793
RMSE	72.56453524750884	52.686461136665656	59.15964282593885	63.191836529299174	78.78451436826228	55.89903328483195	99.40692934526152	90.8533446447793
Absolute score (sig.score)	100.00000000000028	99.99999999999987	99.9999999999992	100.00000000000048	100.0000000000016	100.00000000000051	99.99999999999979	99.9999999999997
B_cells	3.608689854030136	10.887719049572942	12.316775799830092	1.3972201219860536	1.2482420302024224	1.2081263137933762	1.296583300171251	1.2742495646021963
CD4_T_cells	18.342380637569093	14.617587989807852	19.54521901679356	9.73737257698044	12.85276078252572	6.190319197091769	16.395224459513823	23.020638397190986
T_cells	34.596386493878555	40.76646433594083	34.274513392325694	10.796131064840825	17.160684054244694	8.17229211431113	23.76890767113677	23.020638397190986
NK_cells	3.0348613420457875	4.777499065492955	1.6067703446085384	5.861712772999152	8.766820000389227	6.526056273965622	8.221258515559496	8.794939668538737
Macrophages	44.040688676621066	27.13732363945651	39.81147798319451	65.99804044146974	48.79911077353411	70.18978599646456	48.241077648844005	40.905188697388965
Dendritic_cells	1.0482367333435365	1.4431831565126405	0.7468888358363328	0.0	0.9331051064234316	0.0	0.23492701911983715	1.7050528525126851
Mast_cells	2.2564315957157053	4.5521202237052085	4.387660863998692	5.1551390782110715	6.1096581522931634	6.74196658687627	8.470604594513942	10.137808816825538
Non_plasma_B_cells	0.8105208867515429	4.2327889644852075	0.6431044036031941	0.6188283244045214	0.5892920134719565	0.8779667993941952	0.708030927346539	0.954290701781182
Lymphocytes	41.23993768995446	56.43168245100673	48.198059536764326	18.055063959826022	27.17574608483634	15.906474702070131	33.28674948686752	33.089827630331925
