	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
B cells naive	0.0660145802640711	0.183146370746267	0.0	0.0281528867517774	0.0751758195993583	0.18029596622656896	0.0689699226902351	0.0322535664957793	0.0365354639483665
B cells memory	0.260967923212112	0.159083122904085	0.2279617425542049	0.251942119805127	0.21707207592284	0.195070064015828	0.23201838342548198	0.270781213797667	0.28155322763303803
Plasma_B_cells	0.10449052554572301	0.0692627121162537	0.11210389922092899	0.0631375397748674	0.0731679029122601	0.0764703439535249	0.0614981821386797	0.0433461620117825	0.0960650370698737
CD8_T_cells	0.521710265407171	0.9253803131592621	1.9591226499406105	1.07966943255361	0.416984327759223	0.810711527905256	0.7764332981384959	0.584541995876901	1.1266709933602201
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0788093982590785	0.0
T cells CD4 memory resting	0.944469604684073	0.7810339069166371	0.0387595959935699	0.661776678532898	0.889493271346617	0.8429812078221	0.7286426071777509	0.8368616086651508	0.605416446863155
T cells CD4 memory activated	0.0	0.0796927040305471	0.0	0.0167962476864968	0.0	0.0747787974916101	0.0	0.0	0.0
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.0	0.0	0.3064141057053369	0.0260912627888828	0.0	0.0	0.0188345166796498	0.00152933809545367	0.02371333363107
T cells gamma delta	0.0	0.0135445571113805	0.0	0.0	0.0	0.0249353237466712	0.0	0.0	0.0
NK cells resting	0.0935761902587792	0.0	0.0	0.0	0.0577246030361913	0.0217979760562229	0.0810530515228783	0.0875497903159962	0.0
NK cells activated	0.0631533493984683	0.0	0.26718059713739	0.170205481964215	0.0773534695812793	0.009450422151061441	0.0489519406666156	0.114976976976885	0.129683900177166
Monocytes	1.1469929200623898	0.718803805970705	0.15865511302056198	0.756938089006981	1.2329030069517501	0.64369473476106	0.80404691406386	1.06125612719571	0.7584820598394549
Macrophages M0	0.0	0.0	0.0160498008276127	0.0	0.0	0.0	0.0	0.00139157251434536	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0358395868052297	0.00537489058942925	0.0228523784465549	0.0068842616022393895	0.0063929657143059395	0.008865696326006709	0.0269826804533855	0.000452980312214601	0.0265380275770154
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0153334663228219	0.0185611835916029	0.0	0.0137799619721832	0.0197474809228378	0.0195988846258708	0.0135190486690574	0.0162802636387241	0.0112220958264824
Mast cells resting	0.0461650087659534	0.0	0.0293382099238084	0.0133303352800418	0.00854351895471153	0.0	0.0012503772346946901	0.0104794822728144	0.0
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	0.63387822415308	0.9215664334625632	0.8426454921421022	0.86374490387168	0.8956212163906171	0.921272191966088	0.8830650395197529	0.9072959452568481	0.8726934326947491
RMSE	0.787299437167131	0.555670214780025	0.568578833628719	0.600359102645246	0.598309885952937	0.557910253621635	0.597548263835616	0.5834094205085	0.595072351261254
Absolute score (sig.score)	3.2987134207267896	2.95388356713617	3.13843809277058	3.08870429771932	3.07455844270137	2.90865094508178	2.86220092286079	3.14051047642851	3.09588058592584
B_cells	0.4314730290219061	0.4114922057666057	0.340065641775134	0.3432325463317718	0.3654157984344584	0.4518363741959218	0.3624864882543968	0.3463809423052288	0.4141537286512782
CD4_T_cells	0.944469604684073	0.8607266109471842	0.3451737016989068	0.7046641890082777	0.889493271346617	0.9177600053137099	0.7474771238574006	0.917200345019683	0.629129780494225
T_cells	1.4661798700912443	1.7996514812178266	2.3042963516395174	1.7843336215618877	1.3064775991058402	1.7534068569656371	1.5239104219958963	1.5017423408965842	1.755800773854445
NK_cells	0.1567295396572475	0.0	0.26718059713739	0.170205481964215	0.1350780726174706	0.031248398207284343	0.1300049921894939	0.2025267672928812	0.129683900177166
Macrophages	0.0358395868052297	0.00537489058942925	0.0389021792741676	0.0068842616022393895	0.0063929657143059395	0.008865696326006709	0.0269826804533855	0.0018445528265599608	0.0265380275770154
Dendritic_cells	0.0153334663228219	0.0185611835916029	0.0	0.0137799619721832	0.0197474809228378	0.0195988846258708	0.0135190486690574	0.0162802636387241	0.0112220958264824
Mast_cells	0.0461650087659534	0.0	0.0293382099238084	0.0133303352800418	0.00854351895471153	0.0	0.0012503772346946901	0.0104794822728144	0.0
Non_plasma_B_cells	0.3269825034761831	0.342229493650352	0.2279617425542049	0.2800950065569044	0.2922478955221983	0.37536603024239695	0.3009883061157171	0.3030347802934463	0.3180886915814045
Lymphocytes	2.0543824387703977	2.2111436869844323	2.9115425905520413	2.297771649857874	1.806971470157769	2.2364916293688437	2.016401902439787	2.0506500504946943	2.299638402682889
Other	96.7012865792732	97.04611643286384	96.86156190722943	96.9112957022807	96.92544155729864	97.09134905491823	97.13779907713922	96.8594895235715	96.90411941407416
