	SRR8030895	SRR8030905	SRR8030910	SRR8030915	SRR8030917	SRR8030929	SRR8030936	SRR8030942	SRR8030948	SRR8030953	SRX4863553	SRX4863541	SRX4863548	SRX4863549	SRX4863538	SRX4863536	SRX4863563	SRX4863539	SRX4863537	SRX4863534	SRX4863565	SRX4863559	SRX4863547	SRX4863543	SRX4863554	SRX4863544	SRX4863551	SRX4863550	SRX4863557	SRX4863556	SRX4863560
abs.beta.B.cells.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.B.cells.memory	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasma_B_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	1.1721731203794399	1.01445668212072	0.0	0.0	0.0	0.0227665294931085	0.024460452905302004	0.0194692712808623	0.0226603502720973	0.0277799724402612	0.9051696682196579	0.023188007506977904	0.00517422691823656	0.0	0.0	0.0062988382596867	0.0	0.0	0.0	0.028282893518207206	0.0387680566561783	0.0	0.0139361554784672	0.0396507601413165	0.0602138139148726	0.0	0.033810766917775195	0.021529689233553702	0.007888564806531459	0.0245541114949044
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.3969232544768829	0.50425759636109	0.0856361090164804	0.048569734416965896	0.112270594902794	0.0	0.0010978643527596301	0.0156489246390553	0.0142200211125418	0.231006214976663	0.993791060959562	0.0283292862627089	0.0466951171309233	0.0	0.0	0.0044895808571795105	0.0	0.0	0.0	0.0	0.0	0.06191938417749539	0.10023713129926	0.20106803771655696	0.04911346800899409	0.0565522940827221	0.0	0.000738310745151683	0.015617589864833002	0.0
abs.beta.T.cells.CD4.memory.activated	0.0	0.17459154655888698	0.0	0.12784339897137198	0.0968033864739275	0.0410046661374668	0.0361804102472374	0.0495830696678195	0.0024638332626310397	0.0142795373739321	0.032846102986942405	0.124235131229197	0.12808698733092402	0.0922431415679032	0.0	0.0	0.018916481141172097	0.0	0.0	0.0	0.0181075677541384	0.0321733362008044	0.0	0.134274451614605	0.0313378687476396	0.134813781944372	0.0760804925548166	0.121313070832086	0.042767812045808096	0.03832650919231	0.050167513528509004
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007881211928643059	0.0	0.0	0.0	0.0	0.0	0.00185005726151717	0.0	0.0
Tregs	0.0	2.22689356850618	2.08915002270025	0.07346285453779139	0.0414972418488919	0.0993930194354994	0.003738684630263209	0.014262675433148	0.00131481881015793	0.00939415447451624	0.045982085961124484	1.6911898073080098	0.0343717576621256	0.028212846284220293	0.0	0.0	0.0217574911471435	0.0	0.0	0.0	0.00449957240678474	0.0021080118227091607	0.0522129785779254	0.0131148055462398	0.052434407600951374	0.046177164214165095	0.06263215929177138	0.0	0.00857781389763978	0.023756894801382995	0.00457438061202543
abs.beta.T.cells.gamma.delta	0.0	1.20533767653951	1.38359930400289	0.0	0.0	0.058188038015929276	0.0	0.0	0.0	0.0	0.0244865051421931	1.17729736895241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008685732220621559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.resting	0.0	0.10453659812385	0.2629864557576989	0.0	0.0	0.051035913049251605	0.0	0.0	0.0	0.0	0.0	0.5022787906683239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00126450172254339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125368282055318
