	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
abs.beta.B.cells.naive	0.139499056288194	0.224180209945633	0.320788718141712	0.235626540763324	0.0529054754343162	0.44431395023907216	0.2573050388220711	0.14063123318467702	0.25657739386122896	0.7590526176672641	0.6945275697770911	0.177014700594363
abs.beta.B.cells.memory	0.37941804225952097	0.423545480302271	0.42634545855984096	0.47672834955734705	0.27494803110357396	0.0931444333072002	0.15044367911971898	0.413666020497375	0.07285702646710461	0.25340193828825003	0.5524763807559979	0.193683681695058
Plasma_B_cells	0.0445437657925443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	0.0388460698003123	0.0	0.0	0.11843624096430401	0.6954491213970849	0.498242363623044	0.40023140508854893	0.0367722464505841	0.526759759406965	0.4428847926105472	0.292922416124011	0.0
abs.beta.T.cells.CD4.naive	0.5320700786334229	1.42644243135102	0.562810972424745	1.3744915331004501	0.8726605063281799	0.48907978659798707	1.2893769936473898	0.843852686265357	0.37967270996446995	1.21904715429844	1.35647264109198	0.7424049307160391
abs.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	0.00018835578311676102	0.0	0.46277009666918895	0.21515776655401503	0.0	0.0	0.0	0.20482878479504305	0.0
abs.beta.T.cells.CD4.memory.activated	0.0	0.0	0.0	0.0	0.0480655912691861	0.292676900407732	0.0358224734293661	0.0	0.08861317073200492	0.14971524991930302	0.0824092189711996	0.125341921352804
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.05456687268093404	0.0	0.116854625319636	0.0	0.107734657843011	0.0	0.010476926700192	0.0389188792967643	0.0	0.00888517766377949	0.05857721329860911
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.015887863204320903	0.171331625273349	0.14351308885134	0.10423275915155901	0.0	0.0
abs.beta.NK.cells.resting	0.18830767120581696	0.0963387414575377	0.31794818059947805	0.152673180288732	0.15807524725901098	0.12945490407263802	0.104061541453971	0.00223930151775605	0.0730988850126041	0.268422699478172	0.22317572209731495	0.299109891790296
abs.beta.NK.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocytes	2.2579517151018003	0.131365162233664	1.55788587533016	1.55138975546282	3.09701275642781	1.03430192331199	1.00831821457163	0.53893965826529	1.35510679849777	1.10738673887206	1.3974978178488002	1.8070855380646695
abs.beta.Macrophages.M0	0.0	0.0952965745570936	0.0	0.0	0.0	0.107729911733636	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.14585940437385805	0.0	0.0	0.0	0.0	0.0	0.0424045523176703
Neutrophils	3.36130170543046	3.1497971819848996	3.56006075043856	2.39525721877953	1.56593540006834	2.74924593289743	2.95475958905709	6.68317725239864	3.02622173262754	1.52052529756603	2.14011901526896	3.5088476219399705
T_cells	0.5709161484337353	1.481009304031954	0.562810972424745	1.6099707551675069	1.616175218994451	1.8505038051409628	1.956476501923641	1.062433484689482	1.1774776082515443	1.9158799559798492	1.9455182386460133	0.926324065367452
CD4_T_cells	0.5320700786334229	1.481009304031954	0.562810972424745	1.4915345142032028	0.920726097597366	1.3522614415179186	1.5403572336307711	0.8543296129655491	0.5072047599932393	1.3687624042177429	1.6525958225220023	0.926324065367452
Macrophages	0.0	0.0952965745570936	0.0	0.0	0.0	0.107729911733636	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	0.18830767120581696	0.0963387414575377	0.31794818059947805	0.152673180288732	0.15807524725901098	0.12945490407263802	0.104061541453971	0.00223930151775605	0.0730988850126041	0.268422699478172	0.22317572209731495	0.299109891790296
B_cells	0.5634608643402593	0.6477256902479039	0.7471341767015529	0.7123548903206709	0.3278535065378902	0.5374583835462724	0.4077487179417901	0.5542972536820522	0.3294344203283336	1.012454555955514	1.247003950533089	0.3706983822894209
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lymphocytes	1.3226846839798114	2.225073735737396	1.6278933297257758	2.4749988257769093	2.1021039727913533	2.517417092759873	2.4682867613194017	1.6189700398892903	1.5800109135924818	3.1967572114135345	3.4156979112764168	1.5961323394471691
Non_plasma_B_cells	0.5189170985477151	0.6477256902479039	0.7471341767015529	0.7123548903206709	0.3278535065378902	0.5374583835462724	0.4077487179417901	0.5542972536820522	0.3294344203283336	1.012454555955514	1.247003950533089	0.3706983822894209
