	SRR1060753	SRR1060754	SRR1060755	SRR1060756	SRR1060757	SRR1060758	SRR1060759	SRR1060760	SRR1060761	SRR1060762	SRR1060763	SRR1060764	SRR1060765	SRR1060766	SRR1060767	SRR1060768	SRR1060769	SRR1060770	SRR1060771	SRR1060772	SRR1060773	SRR1060774	SRR1060775	SRR1060776	SRR1060777	SRR1060778	SRR1060779	SRR1060780	SRR1060781	SRR1060782	SRR1060783	SRR1060784	SRR1060785	SRR1060786	SRR1060787	SRR1060788	SRR1060789	SRR1060790	SRR1060791	SRR1060792	SRR1060793	SRR1060794	SRR1060795	SRR1060796	SRR1060797	SRR1060798	SRR1060799
abs.beta.B.cells.naive	0.0	0.0	0.467870264953259	0.0	0.0	0.0	0.0	0.0	0.0646033741865441	0.0	0.0	0.06497559050056989	0.0	0.0	0.3798402799225129	0.23155926359855303	0.0051328629139503704	0.0	0.15005841221729901	0.0	0.0924672531217788	0.016478647299030803	0.0	0.0	0.6453523891071021	0.63143315696908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017881576977898203	0.0	0.7155182610200559	0.556857608832062	0.0	0.0	0.0151602049177287	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.B.cells.memory	0.0	0.06774711811519887	0.21173193724989	0.431879515994468	0.0591501803289372	0.5578648094373759	0.5185756035590529	0.40460570434549	0.0226485922906366	0.0690974808073287	0.286353164082492	0.012369543871601003	0.10821100199347	0.25897399092491	0.291282410707601	0.15296775357886302	0.109001216130574	0.5074536186265229	0.0	0.35226300913440994	0.00643665791805199	0.0	0.32326168416059003	0.0	0.0	0.0	0.29538309415584696	0.0215482822336915	0.481997312593484	0.33278394662085703	0.380388493706851	0.314818512757977	0.376428457768748	0.38120833071955607	0.356949645345015	0.0	0.0	0.052704610347774995	0.702169714528601	0.032665622568034	0.38050318680745504	0.38531919277034704	0.301184624205632	0.34130648145140696	0.374257163278705	0.4187747136331421	0.256328453980601
Plasma_B_cells	0.116961373606828	0.217526817550757	0.405118475754555	0.471206039441277	0.23740466411442	0.4771393715281421	0.395946635566809	0.35964649618365996	0.310428397045082	0.09829411048252823	0.24211511068813502	0.28508037095929806	0.10847885509347198	0.122484953938995	0.4831684722551522	0.389123930429202	0.20626128327783105	0.47034748256268	0.246989412703784	0.34177797414898303	0.3113746988342	0.0	0.212173751126226	0.122836686009738	0.32265414166461703	0.270821733378127	0.170066687142669	0.39330083974897795	0.4417666936565949	0.3803859951750221	0.45523862990523295	0.3634576351079379	0.424712699057314	0.396578898091285	0.4773456185731161	0.133693298809724	0.35108339419559004	0.26031169017361605	0.30679144314182694	0.417399000058668	0.4050551391457121	0.34238785545103007	0.4274316139432711	0.33630920370254497	0.4389234746876221	0.410629936851084	0.407102190223964
CD8_T_cells	0.5089007112604071	0.43626388192444204	1.4543891776369098	1.15913418048426	0.18676967251816698	0.48192475078373903	0.643829749335869	0.6371023829008071	0.558301793512592	0.5792130707067211	0.5811444850927671	0.5880172372152339	0.472577872299575	0.25424504273269305	0.6751841021900651	0.8522629217193529	0.14299689102195498	0.7781159684176021	0.5268346163227029	0.63283371889678	0.594556564427568	0.225074431587802	0.466972593592865	0.33363168026769796	1.6923426094125098	1.99767004427937	1.0962182609861502	0.359841223178936	0.231235808332332	0.430884629891164	0.5061052096717411	0.6181190782764471	0.59820939788048	0.6640082859683349	0.45998133460454405	0.31604667296309497	1.56624577465689	1.6739978349757298	1.1502786243083798	0.280166725185444	0.129959786715772	0.478264816889569	0.523953819493142	0.5775517815337691	0.522601184273895	0.6079583686161091	0.502816204816854
abs.beta.T.cells.CD4.naive	0.00200746084904484	0.0861892694482804	0.0	0.158975699415836	0.31910494113328697	0.332396663644407	0.0	0.0	0.00508741940936214	0.12187947658834805	0.0464923763321224	0.0	0.0519177429442488	0.40799287052305394	0.563177851474991	0.400951464109853	0.346905792515434	0.15677899084537802	0.00857602080087512	0.016588461753611797	0.0	0.325796717875827	0.164683552049991	0.21869415727151503	0.21813153406985	0.036235179155221404	1.04019700323371	0.3298932120686711	0.868739416483278	0.457203441123256	0.261953115940202	0.13610178013096502	0.252550648066248	0.0948185103285355	0.474631129580089	0.32808529238554995	0.349632057457958	0.22114523764126603	1.04560769785583	0.325481969729229	0.848863508302278	0.454716332553614	0.31815253967909696	0.187830485253093	0.268685726322468	0.279375441400092	0.400707335896447
abs.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.activated	0.22062979640850197	0.025499094237896803	0.505852505023109	0.152892326266347	0.0	0.6912777377285678	0.07355975678839388	0.432401492353688	0.384378386372077	0.30628977428809995	0.154280457255379	0.31510517811006	0.119869142527524	0.0	0.504755187345448	0.47611464695087796	0.0	0.32405725154684306	0.34387599592845697	0.4905476179582711	0.251901904694907	0.36004749324200297	0.0823760667033927	0.305001944468805	0.0337506617596992	0.16305475613219503	0.415539326153706	0.0	0.646339939802925	0.13656156507075398	0.234397619917841	0.253307391684646	0.212281927490728	0.0	0.151767806328525	0.227338378035996	0.0	0.294576505543086	0.354962810207295	0.0	0.622039970099535	0.166749895669251	0.31327361978859203	0.11494302424572198	0.282109338571218	0.046628921215414086	0.263651023156231
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.35437006627621703	0.256950229320694	0.296354789707416	0.4050951242914221	0.37670707036920503	0.632325460385664	0.6982288483789539	0.281558940958726	0.328703036617622	0.759110714876473	0.6086776225154921	0.309159676327802	0.328946587653947	0.48467437449679	0.211954417824126	0.16404995579457998	0.408725229191575	0.6981240745592401	0.249735874465406	0.237053047193434	0.347624134963972	0.0599785936006564	0.671714619532655	0.0799286370496289	0.2436413313050989	0.004360699740371121	0.304250085993813	0.0	0.332771068175688	0.3341622619809561	0.36007825405967203	0.507007632281776	0.37847121033649395	0.45360177315504	0.21912591230623607	0.051892607546653306	0.14422182714035306	0.006803045129385539	0.131083598694374	0.0	0.474343280841041	0.273716913374944	0.25800796049864394	0.4373788193616028	0.29413714527390006	0.51207731455465	0.13104955212511502
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
