	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
abs.beta.B.cells.naive	0.030693767294723995	0.0	0.0507450663308594	0.26190672685991	0.000721847782290805	0.138509022662999	0.00147549319084751
abs.beta.B.cells.memory	0.0300015288441312	0.35023609892802	0.0	0.0731827575158291	0.0045730185899341405	0.202000437863817	0.0
Plasma_B_cells	0.29260233251034395	0.0	0.246977794985993	0.08469239756813429	0.024612558997924302	0.139873237668944	0.5358629187052689
CD8_T_cells	0.13481411193466	0.006369189936914079	0.4809029496948521	0.8852831651600191	0.0	0.4474664176658739	0.329619970821388
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.07557138273273191	0.0450370144835651	0.0	0.006193910068137171	0.0	0.362030533928855	0.054685166499374986
abs.beta.T.cells.CD4.memory.activated	0.145940967512513	0.0	0.16241549605077696	1.13734358585774	0.0	0.36392041629889504	0.37583215741292497
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.169248526090012
Tregs	0.00597824463040055	0.0	0.0	0.104687276553253	0.0	0.289822437508232	0.0152620790995457
abs.beta.T.cells.gamma.delta	0.0	0.0447095495652786	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.resting	0.0	0.0187073740393474	0.0	0.0388512667615384	0.0110166051341259	0.0	0.0
abs.beta.NK.cells.activated	0.0271650183383817	0.0	0.0115436453417987	0.0	0.011218317792336	0.05718549370252767	0.048950907070893605
Monocytes	0.00608913323243644	0.17792446141530396	0.0606965540971131	0.276175702837075	0.0	0.14120280969249696	0.353003743988071
abs.beta.Macrophages.M0	0.268397475196463	0.95875443458558	0.469051457222353	0.221445316511621	1.3502671253715302	0.359483483222222	0.7712283376136159
Macrophages_M1	0.0633008113581567	0.0313286561997155	0.0699951078928702	0.0405357238421921	0.0171092688387943	0.08825074110515721	0.0722246033801199
Macrophages_M2	0.2392520713169411	0.43172715779264503	1.1168223772330501	0.495092522832062	1.3139526635628702	0.603439837288948	0.7491314769004829
abs.beta.Dendritic.cells.resting	0.0	0.0	0.049982064411092895	0.0989607394575812	0.0	0.217804427706301	0.0
abs.beta.Dendritic.cells.activated	0.000138731518932966	0.0823530780405903	0.07421671288397533	0.10308279331621197	0.0166144317174576	0.145713371338555	0.019974207821276003
abs.beta.Mast.cells.resting	0.00856919984795056	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0348559560360345	0.6755931584550271	0.0	0.0122721823680398	0.0624983544660917	0.26312892692460804	0.15235842294982802
Eosinophils	0.0	0.0	0.00418126132734646	0.08224820350191861	0.0	0.0017800950502535895	0.0439225258721845
Neutrophils	0.000747951602263357	0.06158282828875732	0.0	0.07784302950416441	0.0783407878728446	0.0459774295133953	0.11721210316753
T_cells	0.3623047068103055	0.09611575398575777	0.6433184457456289	2.1335079376391493	0.0	1.463239805401856	0.9446478999232456
CD4_T_cells	0.2274905948756455	0.0450370144835651	0.16241549605077696	1.2482247724791302	0.0	1.015773387735982	0.6150279291018576
Macrophages	0.5709503578715608	1.4218102485779407	1.6558689423482733	0.7570735631858752	2.6813290577731936	1.0511740616163272	1.5925844178942188
NK_cells	0.0271650183383817	0.0187073740393474	0.0115436453417987	0.0388512667615384	0.0222349229264619	0.05718549370252767	0.048950907070893605
B_cells	0.3532976286491992	0.35023609892802	0.2977228613168524	0.4197818819438736	0.02990742537014925	0.48038269819576	0.5373384118961165
Dendritic_cells	0.000138731518932966	0.0823530780405903	0.1241987772950682	0.2020435327737932	0.0166144317174576	0.363517799044856	0.019974207821276003
Lymphocytes	0.7427673537978862	0.4650592269531254	0.9525849524042802	2.592141086344561	0.052142348296611164	2.000807997300144	1.5309372188902557
Non_plasma_B_cells	0.0606952961388552	0.35023609892802	0.0507450663308594	0.3350894843757392	0.005294866372224945	0.340509460526816	0.00147549319084751
