	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
abs.beta.B.cells.naive	0.0	0.0711723685824198	0.0	0.0	0.0	0.08875926988195539	0.0	0.0	0.12318003696018198	0.0	0.0	0.0
abs.beta.B.cells.memory	0.059841925575736914	0.104834129587628	0.0	0.0677700449935689	0.0194279883003818	0.0	0.23045307236633306	1.0019388043225101	0.211439997966158	0.361440934949689	0.127820202497317	0.40874251704544606
Plasma_B_cells	0.10419167760958399	0.0659759128365814	0.0148689129836599	0.17764928445977898	0.09039651467599788	0.28114514722387496	0.08767210666745033	0.0	0.21680457108833603	0.209579826929233	0.20232371201379	0.0
CD8_T_cells	2.40072309334148	0.45723615444840604	1.64552949277036	0.431828728003109	1.98952975934838	1.03973677276882	1.12485855302982	0.9164434481029399	2.21691673422408	0.5866510847880451	0.41489792476714	0.7120394496562371
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285445530067683	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.3775509462501889	0.628914527727224	0.0	0.7056257201053271	0.30246927887068603	0.263873619057285	1.21653229091159	0.546122306944024	0.70537773049901	0.266675189781775	0.481833850443315
abs.beta.T.cells.CD4.memory.activated	2.30218297363276	0.8042682177046641	1.0389915967041998	0.63932365961313	1.37505347627838	1.55241606785714	0.8231515816457451	0.37175214740297297	1.95884550994492	0.427002217617935	0.351586399662951	0.31742079189451394
abs.beta.T.cells.follicular.helper	0.0	0.0	0.529329767335872	0.0588389746376855	0.0	0.0	0.14797031876718697	0.0	0.0388492053640431	0.0	0.0152537243207707	0.0055358888318116795
Tregs	0.285161796171205	0.423549924446187	0.326321471119622	0.0108736319702488	0.317264906183491	0.0316053290847984	0.0516000137726065	0.3847006986619221	0.119541432746158	0.23851126899975003	0.165933295399425	0.211494934933598
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.00735189968909198	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.resting	0.0	0.33721782258333605	0.0	0.09968273159171287	0.0	0.52902025305791	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.activated	1.1797691789672802	0.0611299860797366	1.06627905069475	0.08878302761244561	0.76176132294598	0.0472790938763542	0.2320654995496769	0.17169941199255198	0.350008878933772	0.31373038934626896	0.215953043660691	0.131478743305311
Monocytes	0.18022914310181196	0.28834534440720694	0.18566686924269107	0.439239621534124	0.131148011983024	0.32414056517247	0.116433621259769	0.0410694845518558	0.02648051474257621	0.0280353854557432	0.10013027316593802	0.121162156237438
abs.beta.Macrophages.M0	0.0	0.3977924112951861	0.0	0.070800173633384	0.0	0.3662031647799071	0.0	0.21462784324933695	0.0	0.0841470108869032	0.227620432999911	0.3179205721436361
Macrophages_M1	0.0425967242539306	0.038940706985377015	0.0431057225843873	0.0	0.0512927642010355	0.00802669652618857	0.013743463794150606	0.0	0.0	0.0	0.0	0.0095049111883311
Macrophages_M2	0.10206354104076	0.7776647793241871	0.128005715722755	0.285031475852128	0.06517377968410057	0.434839350982187	0.157951015686676	0.14388011638163598	0.115417271832583	0.22218172463441602	0.21855519081554503	0.208617196595583
