	AdultKidney2	AdultKidney4
abs.beta.B.cells.naive	0.0163553224191605	0.050201395545028296
abs.beta.B.cells.memory	0.0	0.0
Plasma_B_cells	0.0	0.416228265288484
CD8_T_cells	0.0875789184320715	0.0
abs.beta.T.cells.CD4.naive	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.0134673396570069
abs.beta.T.cells.CD4.memory.activated	0.14510149170361497	0.00874197444727105
abs.beta.T.cells.follicular.helper	0.0	0.0
Tregs	0.0	0.0
abs.beta.T.cells.gamma.delta	0.0	0.0
abs.beta.NK.cells.resting	0.0	0.0
abs.beta.NK.cells.activated	0.07160228918991621	0.0198737535585753
Monocytes	0.11536408017194097	0.13896521951021198
abs.beta.Macrophages.M0	0.0687092584870045	0.100846365124803
Macrophages_M1	0.0297281807328917	0.0250739286277818
Macrophages_M2	0.09318479685233867	0.11435057717789099
abs.beta.Dendritic.cells.resting	0.039168986381344	0.0010009798699606302
abs.beta.Dendritic.cells.activated	0.002056294148426869	0.0
abs.beta.Mast.cells.resting	0.00975942721297054	0.0
abs.beta.Mast.cells.activated	0.0678310121642989	0.0
Eosinophils	0.0	0.0380770944082693
Neutrophils	0.023639778180501603	0.0
B_cells	0.0163553224191605	0.4664296608335123
CD4_T_cells	0.14510149170361497	0.022209314104277948
NK_cells	0.07160228918991621	0.0198737535585753
Macrophages	0.19162223607223489	0.2402708709304758
Dendritic_cells	0.04122528052977087	0.0010009798699606302
T_cells	0.2326804101356865	0.022209314104277948
Non_plasma_B_cells	0.0163553224191605	0.050201395545028296
Lymphocytes	0.32063802174476314	0.5085127284963655
Other	99.22992016392351	99.07317310678472
