	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
abs.beta.B.cells.naive	0.0	0.0	0.00539466646153375	2.5899847136636804	0.31431195231068204	1.3844440183447297	0.0	1.29987922664361	0.0	0.0	0.0	0.0	0.155732272907063	0.0124663592169901	0.0	0.187161317413791	0.11104537290302999	0.5291639236011989	2.5318211263037997
abs.beta.B.cells.memory	0.0	0.0	0.0	1.58705735894693	0.3677413890096871	0.0	0.0	0.485678624174358	0.155086657351087	0.0	0.10741251748753801	0.6362545489429329	0.913863230728932	0.0273371708598331	0.0	1.3853528514008897	0.0	1.2085176517631102	0.328305676708012
Plasma_B_cells	0.0	0.116349697948987	0.0	0.51581091983052	0.05838121021932	0.043176497990946	0.0	0.0	0.121431402877145	0.0	0.0	0.11461024407231599	0.06938049487641768	0.0	0.06229587569186298	0.11366377111335302	0.14777129363487	0.48436767845657297	0.189308609565027
CD8_T_cells	1.60044406123656	9.76002603718912	0.0	1.7399586505131701	6.602174988460299	3.2433505409485504	1.54430577148115	0.8618259603735942	7.71489439916015	8.64765980183324	0.0	2.0456645629291703	1.74031722452475	1.37800412273209	2.02889691104162	2.6866625515733302	1.9180419214930504	3.1615915790357403	0.529539384511896
abs.beta.T.cells.CD4.naive	0.156005719033145	0.0	0.0	0.0	0.0	0.0	0.0	1.34635879945467	0.0	0.2924014634754689	0.0	0.0	0.0	0.361436011486847	0.08932535723228277	0.48951078961713107	0.0	0.0	1.57980505432063
abs.beta.T.cells.CD4.memory.resting	0.8094486136794871	0.0	0.0	1.08723983561072	1.3083556383186	0.0	0.265986561315902	2.43773778135692	0.0	0.0	0.0	1.31892505830464	1.3482611282769499	0.495146507979481	0.346185823648336	0.0862630726210963	0.233464474507196	0.40634263150467104	1.3480765316235102
abs.beta.T.cells.CD4.memory.activated	0.843779503323386	0.213369114542952	0.0	1.5110504166135001	0.414504518776673	0.201206493310423	0.6897834102197149	0.0844918966461287	1.98609678291834	1.9975481014032104	0.0	0.0	0.7507538382886649	0.17908249774558502	1.47863967463481	1.47228635672442	0.302082599264487	0.41583920007141406	0.047642132891319904
abs.beta.T.cells.follicular.helper	0.42880448991748493	0.09622330663792088	0.0	0.474188748185131	0.905652392518866	1.4598347188733798	0.20661427507476696	1.3031006557026499	0.0	0.19026386775095105	0.0272043716470512	0.255945951925099	1.3067333231696898	0.1939665038026589	0.43152149724549904	0.6935346816644561	0.8661442948547271	0.321187558240245	0.583613755525586
Tregs	0.16311423821026402	0.328384891919581	0.0	0.6970108028650139	0.237301197317189	0.19634245749771598	0.0	0.10350090327104698	0.0	0.0	0.0	0.163048471649137	0.0	0.235118693361874	0.204462597056014	0.383888051268204	0.0	0.4786864466016	0.0
abs.beta.T.cells.gamma.delta	1.03149341131896	0.0	0.0	0.0	0.5959515397945699	0.13600001486014598	0.087027647756152	0.0	3.40632599342338	0.302595093397083	0.0	0.0	0.276540887278354	0.19080853039684	0.511397035494861	0.42894285888725	1.4932264252625098	0.303199606225983	0.0
abs.beta.NK.cells.resting	1.6085952204111498	0.0	0.0	0.0	0.0	0.5046151678820179	0.0	0.0	0.0	1.6485439638314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015017894881808802
abs.beta.NK.cells.activated	1.38480884592188	0.7410262041183341	0.0	1.80665963156008	0.137519369309307	0.0	0.32891874206449295	0.0	1.9295425146083998	1.21999420190564	0.0	0.263552493824041	1.16563553082483	0.315476252404483	0.0	0.8971762550767801	0.0807284948095513	0.32709761663287	0.0019208437547092103
Monocytes	0.271964262557475	0.0	0.0	0.040053534906157096	0.0	0.0	0.0501742719892828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21659492769187302	1.2156868432735801	0.0	0.266784077432854	0.00111992672533166
abs.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034234930441216005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.00163241879149251	0.0	0.0	0.0	0.0133027456773795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0389746835898558	0.0	0.022077646649819902	0.0136323707157653	0.0
Macrophages_M2	0.18432771926858801	0.0	0.00544234856896686	0.0	0.0	0.0	0.0153430349345157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04885866057955192	0.647823011533431	0.0224812514176856	0.0
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.00966177311069422	0.0	0.0	0.0179813223305435	0.0	0.0210839580008103	0.0	0.0	0.045601423173057896	0.0	0.0372442491655285	0.0	0.0
abs.beta.Dendritic.cells.activated	0.026362034973160003	0.0655768044290594	0.0185421248352634	0.0738356138761784	0.0341903653041236	0.3124064242286	0.0189726638990452	0.0787878233555584	0.0	0.0	0.0216272154266664	0.0325529720272353	0.0	0.0204536026974967	0.0802658345387617	0.134373430100789	0.0	0.0588910656880996	0.0957108206704199
abs.beta.Mast.cells.resting	0.0	0.0	0.0016025411912468199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.008232275047644622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055904116684366685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	2.9934040663330297	0.7410262041183341	0.0	1.80665963156008	0.137519369309307	0.5046151678820179	0.32891874206449295	0.0	1.9295425146083998	2.86853816573704	0.0	0.263552493824041	1.16563553082483	0.315476252404483	0.0	0.8971762550767801	0.0807284948095513	0.32709761663287	0.003422633242890089
B_cells	0.0	0.116349697948987	0.00539466646153375	4.6928529924411295	0.7404345515396891	1.427620516335676	0.0	1.7855578508179684	0.276518060228232	0.0	0.10741251748753801	0.7508647930152488	1.1389759985124128	0.0398035300768232	0.06229587569186298	1.6861779399280343	0.25881666653790003	2.222049253820882	3.0494354125768397
CD4_T_cells	2.401152564163767	0.6379773131004539	0.0	3.769489803274365	2.8658137469313285	1.8573836696815191	1.1623842466103838	5.275190036431416	1.98609678291834	2.4802134326296303	0.0272043716470512	1.7379194818788761	3.4057482897353055	1.464750214376446	2.550134949816942	3.1254829518953064	1.4016913686264099	1.6220558364179298	3.5591374743610467
T_cells	5.033090036719287	10.398003350289576	0.0	5.5094484537875354	10.063940275186198	5.236734225490215	2.793717665847686	6.137015996805007	13.107317175501873	11.430468327859955	0.0272043716470512	3.7835840448080464	5.422606401538409	3.0335628675053763	5.090428896353423	6.241088362355888	4.81295971538197	5.086847021679653	4.088676858872942
Non_plasma_B_cells	0.0	0.0	0.00539466646153375	4.177042072610609	0.682053341320369	1.3844440183447297	0.0	1.7855578508179684	0.155086657351087	0.0	0.10741251748753801	0.6362545489429329	1.069595503635995	0.0398035300768232	0.0	1.5725141688146809	0.11104537290302999	1.737681575364309	2.860126803011812
Macrophages	0.18432771926858801	0.0	0.007074767360459371	0.0	0.0	0.0	0.028645780611895207	0.0	0.0	0.0	0.0	0.034234930441216005	0.0	0.0	0.0389746835898558	0.04885866057955192	0.6699006581832511	0.0361136221334509	0.0
Dendritic_cells	0.026362034973160003	0.0655768044290594	0.0185421248352634	0.0738356138761784	0.0341903653041236	0.3124064242286	0.02863443700973942	0.0787878233555584	0.0	0.0179813223305435	0.0216272154266664	0.053636930028045586	0.0	0.0204536026974967	0.1258672577118196	0.134373430100789	0.0372442491655285	0.0588910656880996	0.0957108206704199
Lymphocytes	8.026494103052316	11.255379252356896	0.00539466646153375	12.008961077788744	10.941894196035195	7.168969909707909	3.12263640791218	7.922573847622978	15.313377750338507	14.299006493596995	0.13461688913458922	4.7980013316473356	7.727217930875653	3.3888426499866817	5.1527247720452864	8.8244425573607	5.152504876729421	7.635993892133403	7.141534904692673
Other	91.49085188014843	88.67904394321405	99.96738590015153	87.87714977342894	89.02391543866068	92.51862366606348	96.76167682742924	91.94273421233709	84.6866222496615	85.68301218407245	99.84375589543876	95.11412680788341	92.27278206912436	96.59070374731579	94.46583835896116	89.77663850868538	94.1403502159218	92.00221734261221	92.76163434791158
