	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
abs.beta.B.cells.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.B.cells.memory	0.008118288123041559	0.0	0.0	0.12837298088622	0.111500011287426	0.019249270211156497	0.0	0.0541186283176282
Plasma_B_cells	0.11775067569783801	0.0	0.17683598100565898	2.13521507847394	0.0391246416116304	0.034337197923616614	0.0241196083808668	0.0345343534839371
CD8_T_cells	0.0	0.0	0.0	0.28255738287820104	0.129761291122393	0.0420326685281636	0.0	0.0562861810821672
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.T.cells.CD4.memory.activated	0.16154673081578302	0.0	0.0	0.0	0.351290103713452	0.0	0.0	0.0
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.41819593806181693	0.0	0.0391132110365205	0.0	0.0331764599465267	0.0	0.0
abs.beta.T.cells.gamma.delta	0.0	0.0	0.022145608837346804	0.100298252883533	0.0	0.0	0.0	0.0375308460297883
abs.beta.NK.cells.resting	0.0	5.0080458515716115	0.029523999994068507	0.0	0.0	0.0	0.0	0.0
abs.beta.NK.cells.activated	0.35519238181620894	0.156791147119625	0.00650422296450527	0.3173098371517289	0.235978115094999	0.08868925048395401	0.004105525308274529	0.0188905617915956
Monocytes	0.795932988255633	0.0	0.00380205143465293	0.2472410693665211	2.1258975145588903	1.51890662798899	0.0541199213655226	1.37574077210164
abs.beta.Macrophages.M0	0.169950611086512	0.0	0.025531826953754503	0.0	0.352250490494642	0.0455594134040491	0.29566854655679803	0.06634740135631073
Macrophages_M1	0.0223233607636347	0.0	0.0109101696474977	0.0	0.0319327246901612	0.015640460083517903	0.0171831365160415	0.003757403268076621
Macrophages_M2	0.102791414725481	0.009833085492221328	0.0	0.13095457420857	0.417729327879574	1.03917447209516	1.47489368028802	0.792069418205054
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.143262456695118	0.0441602666522168	0.0	0.0599511189845642
abs.beta.Dendritic.cells.activated	0.0106483902178169	0.0	0.00834053201612933	0.293685726507805	0.0361957291491807	0.0017541872794732002	0.0	0.0029770484467712
abs.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0048037824597266104	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0835603534082917	0.0	0.0	0.0	0.0	0.0	0.0007342539002879139	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0358412919449417	0.0
T_cells	0.16154673081578302	0.41819593806181693	0.022145608837346804	0.4219688467982545	0.481051394835845	0.0752091284746903	0.0	0.0938170271119555
Non_plasma_B_cells	0.008118288123041559	0.0	0.0	0.12837298088622	0.111500011287426	0.019249270211156497	0.0	0.0541186283176282
CD4_T_cells	0.16154673081578302	0.41819593806181693	0.0	0.0391132110365205	0.351290103713452	0.0331764599465267	0.0	0.0
Macrophages	0.29506538657562764	0.009833085492221328	0.036441996601252205	0.13095457420857	0.8019125430643772	1.100374345582727	1.787745363360859	0.8621742228294413
B_cells	0.12586896382087956	0.0	0.17683598100565898	2.2635880593601603	0.15062465289905638	0.0535864681347731	0.0241196083808668	0.0886529818015653
Dendritic_cells	0.0106483902178169	0.0	0.00834053201612933	0.293685726507805	0.1794581858442987	0.04591445393168999	0.0	0.06292816743133539
NK_cells	0.35519238181620894	5.164836998691235	0.036028222958573775	0.3173098371517289	0.235978115094999	0.08868925048395401	0.004105525308274529	0.0188905617915956
Lymphocytes	0.6426080764528715	5.583032936753051	0.2350098128015796	3.0028667433101432	0.8676541628299004	0.21748484709341745	0.028225133689141323	0.2013605707051164
Other	98.16738102263002	94.40713397775473	99.71640560714637	96.32525188660696	96.0250775937025	97.11731972540319	98.09333403573923	97.49779626693248
