	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
abs.beta.B.cells.naive	0.276110433202089	0.4975880084855429	0.0134606570426477	0.18115728122421002	0.272074668215178	0.5511248533699301	0.400556942174886	0.10765584364611	0.25616868261456105
abs.beta.B.cells.memory	0.47367600158746004	0.07234652227252428	0.071997186710571	0.20599793632923705	0.154978930600811	0.0725924782067129	0.0	0.31253883360211304	0.191002823921795
Plasma_B_cells	0.128833859499211	0.224261271429686	0.082492837594534	0.0784560216732532	0.12514270294695098	0.155358151819714	0.09085552761106053	0.0382238911093554	0.187312191854358
CD8_T_cells	0.4768672500703101	0.920235356649104	3.40853703122887	1.5263664587672499	0.513706438810303	0.8702801755873439	0.6262428873182341	0.37909884523537296	1.55869258103856
abs.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5613063976488829	0.0
abs.beta.T.cells.CD4.memory.resting	1.44422503546496	1.6698533510698899	0.8888958036293579	0.987180827437453	1.36863848949362	1.6153051189783802	1.6397562494902802	1.29507755231861	0.8359071075247679
abs.beta.T.cells.CD4.memory.activated	0.0	0.241962618433213	0.0	0.0736567478905634	0.0	0.23491163941017396	0.264957456801933	0.09502560097909153	0.0
abs.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0362921191742981	0.0
abs.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.000349716405583698	0.0	0.0630970803723477	0.12462022879762	0.0	0.0349200847394679
abs.beta.NK.cells.resting	0.107665546694916	0.0	0.0106055260178438	0.0	0.134772764491484	0.0	0.0	0.0	0.0
abs.beta.NK.cells.activated	0.0335249954328439	0.0	0.16330745297752802	0.0883228415926312	0.0	0.0	0.07163387304860369	0.216009414667205	0.107173751677116
Monocytes	2.3939808638095497	1.3846319252540702	0.07891987006418741	0.894408992224955	2.87571372520614	1.22867370011377	1.4389670142191902	1.54826508588864	0.910348034540896
abs.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0243755931114232	0.0	0.0	0.0	0.0	0.0467160197983303
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.002110920105506461	0.00030107064618580096	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Non_plasma_B_cells	0.7497864347895491	0.5699345307580672	0.0854578437532187	0.38715521755344706	0.42705359881598903	0.6237173315766429	0.400556942174886	0.42019467724822296	0.447171506536356
NK_cells	0.1411905421277599	0.0	0.1739129789953718	0.0883228415926312	0.134772764491484	0.0	0.07163387304860369	0.216009414667205	0.107173751677116
Macrophages	0.0	0.0	0.0	0.0243755931114232	0.0	0.0	0.0	0.0	0.0467160197983303
B_cells	0.87862029428876	0.7941958021877532	0.1679506813477527	0.4656112392267002	0.5521963017629399	0.7790754833963569	0.4914124697859466	0.4584185683575785	0.6344836983907141
T_cells	1.92109228553527	2.8320513261522073	4.297432834858228	2.58755375050085	1.882344928303923	2.783594014348246	2.655576822408067	2.366800515356256	2.429519773302796
CD4_T_cells	1.44422503546496	1.9118159695031032	0.8888958036293579	1.0608375753280164	1.36863848949362	1.8502167583885538	1.9047137062922133	1.9877016701208825	0.8359071075247679
Dendritic_cells	0.0	0.0	0.0	0.002110920105506461	0.00030107064618580096	0.0	0.0	0.0	0.0
Lymphocytes	2.9409031219517887	3.6262471283399598	4.639296495201354	3.1414878313201817	2.5693139945583465	3.5626694977446034	3.2186231652426165	3.0412284983810385	3.171177223370625
Other	94.66511601423866	94.98912094640595	95.28178363473448	95.93761666323792	94.55467120958932	95.20865680214163	95.3424098205382	95.41050641573031	95.87175872229015
