	SRR7900852	SRR7900853	SRR7900854	SRR7900855	SRR7900856	SRR7900857	SRR7900858	SRR7900859
relative.beta.B.cells.naive	8.041576497383069	11.616201783912402	21.954704578397397	10.720020135706001	12.282603178682301	3.84389798612168	13.587393031526199	21.806510672663002
relative.beta.B.cells.memory	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasma_B_cells	6.64899708151625	4.8518587564877995	12.325199297122698	6.174041198160781	1.87000595220803	2.3788051506071697	6.526356874350089	0.0
CD8_T_cells	24.973439936156602	14.547695564700101	9.64957420605192	19.246525805208897	16.941660419035898	15.860523516868598	17.520068194778194	13.6085910889199
relative.beta.T.cells.CD4.naive	0.0	6.23054107230707	0.0	0.0	3.72749091164112	0.0	7.4504730583590915	4.0051302776369395
relative.beta.T.cells.CD4.memory.resting	0.0	3.7622170054025097	6.219933846717139	12.9060897006911	2.98503057831843	0.0	0.0	8.12574354173879
relative.beta.T.cells.CD4.memory.activated	4.2506938790937	3.97021963415994	0.0	3.8445483639488103	4.62597788447412	6.11780908570865	0.490149097293674	2.53731539613889
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	5.631521429000469	4.89040161294897	6.07665763144809	8.54119164176015	0.9680650204631709	7.530577738849571	6.13213487843624	0.0
relative.beta.NK.cells.activated	0.0	2.66002122776914	1.1192741366997	0.0	0.19781521367464006	3.1709197468836403	0.0	3.714932911130061
Monocytes	48.254716791743505	44.20304440289001	42.4328216530155	37.1718139256351	55.144746257441504	59.027367305129204	47.70601732637979	45.44466359193161
relative.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.resting	0.111994090182664	0.181030829727312	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	2.08706029492383	3.0565284318842596	0.221834650547547	1.3957692288891201	1.2566045840608602	2.0700994698315203	0.0	0.75711251984083
Neutrophils	0.0	0.030239677810490292	0.0	0.0	0.0	0.0	0.587407538876774	0.0
T_cells	29.224133815250298	28.51067327656962	15.86950805276906	35.997163869848805	28.280159793469572	21.978332602577247	25.460690350430962	28.276780304434517
CD4_T_cells	4.2506938790937	13.962977711869517	6.219933846717139	16.750638064639908	11.338499374433667	6.11780908570865	7.940622155652764	14.66818921551462
Macrophages	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	5.631521429000469	7.55042284071811	7.195931768147791	8.54119164176015	1.1658802341378112	10.701497485733212	6.13213487843624	3.714932911130061
B_cells	14.690573578899322	16.4680605404002	34.2799038755201	16.89406133386678	14.152609130890331	6.222703136728848	20.11374990587629	21.806510672663002
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lymphocytes	49.54622882315009	52.52915665768793	57.34534369643695	61.43241684547574	43.598649158497714	38.90253322503932	51.70657513474348	53.798223888227575
Non_plasma_B_cells	8.041576497383069	11.616201783912402	21.954704578397397	10.720020135706001	12.282603178682301	3.84389798612168	13.587393031526199	21.806510672663002
