	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
relative.beta.B.cells.naive	0.0	0.0	0.0	0.9092259478907893	1.52175917797841
relative.beta.B.cells.memory	0.09351041359737268	0.0	1.0094244032772701	2.13704733546383	0.0
Plasma_B_cells	2.24269337815574	0.0	0.8550053542258191	0.4641423405346379	1.4713005518858702
CD8_T_cells	6.4473408991828505	0.0	0.0	12.398212375950502	7.173762749153121
relative.beta.T.cells.CD4.naive	12.739058622267	0.0	0.0	2.3782117082010497	20.144801194635285
relative.beta.T.cells.CD4.memory.resting	2.23021917287755	0.0	0.0	0.11169230485083803	4.85254475222345
relative.beta.T.cells.CD4.memory.activated	0.0	0.0	0.0	0.0	0.167675082610441
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0
Tregs	2.62140097452744	0.5182287985103029	0.0	3.4016865205387203	3.13147065662068
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	1.96312294403363	3.854435440094401	1.00314841295307	0.4030584021189629	0.0
relative.beta.NK.cells.activated	0.0	2.49438288108082	0.0	0.947237842157605	1.37104336990886
Monocytes	41.74460139814271	22.89107676375411	56.7156953032456	27.326165862055998	29.941905129795
relative.beta.Macrophages.M0	0.0	1.2919940138573	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	1.9202740810546801	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0
Neutrophils	27.997778116161093	68.94988210270301	40.41672652629831	49.52331936023711	30.2237373351889
T_cells	24.038019668854844	0.5182287985103029	0.0	18.28980290954111	35.47025443524298
CD4_T_cells	17.590678769671992	0.5182287985103029	0.0	5.891590533590609	28.296491686089865
Macrophages	1.9202740810546801	1.2919940138573	0.0	0.0	0.0
NK_cells	1.96312294403363	6.34881832117522	1.00314841295307	1.350296244276568	1.37104336990886
B_cells	2.336203791753113	0.0	1.8644297575030888	3.5104156238892568	2.9930597298642803
Dendritic_cells	0.0	0.0	0.0	0.0	0.0
Lymphocytes	28.337346404641586	6.867047119685523	2.8675781704561585	23.150514777706928	39.83435753501611
Non_plasma_B_cells	0.09351041359737268	0.0	1.0094244032772701	3.0462732833546182	1.52175917797841
