	SRR1740054	SRR1740082
relative.beta.B.cells.naive	0.0	2.6565272884146203
relative.beta.B.cells.memory	4.70324537057212	3.6663659717138897
Plasma_B_cells	0.0	0.263693342973144
CD8_T_cells	10.3384125194264	8.870604610943222
relative.beta.T.cells.CD4.naive	12.264745517949905	13.483137257930698
relative.beta.T.cells.CD4.memory.resting	0.0	11.036783925230301
relative.beta.T.cells.CD4.memory.activated	0.0	0.0
relative.beta.T.cells.follicular.helper	0.0	0.0
Tregs	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0
relative.beta.NK.cells.resting	18.4619976340878	5.567000569965232
relative.beta.NK.cells.activated	2.35328266755658	0.0
Monocytes	51.8783162904072	51.631037787053096
relative.beta.Macrophages.M0	0.0	0.0
Macrophages_M1	0.0	0.0
Macrophages_M2	0.0	0.0
relative.beta.Dendritic.cells.resting	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0
relative.beta.Mast.cells.resting	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0
Eosinophils	0.0	0.0
Neutrophils	0.0	2.8248492457757997
T_cells	22.603158037376307	33.39052579410422
CD4_T_cells	12.264745517949905	24.519921183161003
Macrophages	0.0	0.0
NK_cells	20.815280301644385	5.567000569965232
B_cells	4.70324537057212	6.586586603101653
Dendritic_cells	0.0	0.0
Lymphocytes	48.1216837095928	45.544112967171095
Non_plasma_B_cells	4.70324537057212	6.3228932601285095
