	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
relative.beta.B.cells.naive	2.2500804113914703	0.0	1.8139236214978296	6.54799999055351	0.024969440136052703	3.58127552840265	0.0387269302079698
relative.beta.B.cells.memory	2.1993342073581	12.1427488779121	0.0	1.82966165576437	0.158185308210057	5.222903251641831	0.0
Plasma_B_cells	21.449917515408707	0.0	8.82842192755399	2.1174172390491	0.8513731475954741	3.6165485360547103	14.0646707029655
CD8_T_cells	9.882872621356519	0.220820966760388	17.190266624383	22.1332007260952	0.0	11.5696472371174	8.65145951491703
relative.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	5.53994191445885	1.5614414355306399	0.0	0.15485559899095402	0.0	9.360625515700109	1.43530897978328
relative.beta.T.cells.CD4.memory.activated	10.698553522814699	0.0	5.80567385335412	28.435030587954497	0.0	9.4094901264905	9.86438014104352
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	4.442227113176201
Tregs	0.4382495966756979	0.0	0.0	2.6173145459086897	0.0	7.49362014888804	0.4005802776881172
relative.beta.T.cells.gamma.delta	0.0	1.55008816760295	0.0	0.0	0.0	0.0	0.0
relative.beta.NK.cells.resting	0.0	0.64858804052535	0.0	0.971330891106204	0.38107544159257395	0.0	0.0
relative.beta.NK.cells.activated	1.9913969846506705	0.0	0.4126369808477	0.0	0.388052885130428	1.47858244350457	1.2848031922549399
Monocytes	0.446378552267618	6.168673248749871	2.1696476363322903	6.90474246786171	0.0	3.6509258181959803	9.2652080276465
relative.beta.Macrophages.M0	19.6755222520468	33.2401896046413	16.766625397752097	5.53641346982969	46.70709667853729	9.29476922569178	20.242252685704106
Macrophages_M1	4.64041817658069	1.0861701751474	2.5020319959451003	1.01344445222183	0.591826801332194	2.2818023938575296	1.8956625430400096
Macrophages_M2	17.538948343679508	14.968058623586405	39.921723185302604	12.3779403213324	45.450942954096	15.6024804781436	19.662281467971
relative.beta.Dendritic.cells.resting	0.0	0.0	1.7866494980098702	2.4741438633609905	0.0	5.631529642802769	0.0
relative.beta.Dendritic.cells.activated	0.0101700475603498	2.85519610637138	2.65293669600146	2.57720043220511	0.5747098880695389	3.7675504519693503	0.5242584357910379
relative.beta.Mast.cells.resting	0.628185798570469	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	2.55519966460698	23.4229369612778	0.0	0.306820107270395	2.16188088226916	6.8034353913731085	3.9989164631693397
Eosinophils	0.0	0.0	0.14946258301995302	2.0563092907563	0.0	0.0460259607579116	1.15282442817158
Neutrophils	0.054830390572842086	2.13508779189447	0.0	1.94617435973901	2.70988657303119	1.1887878494082198	3.07643909646984
T_cells	26.55961765530577	3.3323505698939786	22.995940477737122	53.340401458949344	0.0	37.833383028196046	24.793956026608146
CD4_T_cells	16.676745033949246	1.5614414355306399	5.80567385335412	31.207200732854144	0.0	26.26373579107865	16.142496511691114
Macrophages	41.854888772307	49.29441840337511	59.190380578999786	18.927798243383922	92.7498664339655	27.179052097692914	41.80019669671512
NK_cells	1.9913969846506705	0.64858804052535	0.4126369808477	0.971330891106204	0.7691283267230019	1.47858244350457	1.2848031922549399
B_cells	25.899332134158282	12.1427488779121	10.64234554905182	10.495078885366981	1.0345278959415838	12.420727316099192	14.10339763317347
Dendritic_cells	0.0101700475603498	2.85519610637138	4.43958619401133	5.0513442955661	0.5747098880695389	9.399080094772119	0.5242584357910379
Lymphocytes	54.45034677411471	16.123687488331427	34.05092300763664	64.80681123542253	1.8036562226645856	51.73269278779981	40.18215685203656
Non_plasma_B_cells	4.449414618749571	12.1427488779121	1.8139236214978296	8.377661646317879	0.18315474834610967	8.80417878004448	0.0387269302079698
