	T2	T3	T4
relative.beta.B.cells.naive	29.977304476486	23.118466955661898	17.0012810412312
relative.beta.B.cells.memory	34.3267450715888	42.88776560508621	28.461142506090894
Plasma_B_cells	11.167940752291804	5.107004554354889	0.0
CD8_T_cells	5.4224051914894105	1.90243043521057	1.1133280224958702
relative.beta.T.cells.CD4.naive	0.571350595595889	0.048513343546983896	0.0
relative.beta.T.cells.CD4.memory.resting	1.15384288536596	6.731698802365152	6.768704174907341
relative.beta.T.cells.CD4.memory.activated	2.20485741225634	1.03372470766168	16.356599657797098
relative.beta.T.cells.follicular.helper	8.82811929170515	14.440303340640302	14.6038078309785
Tregs	3.4526027617752404	2.319179166582	5.1613192439161715
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0
relative.beta.NK.cells.resting	0.0	0.0	2.33563485143915
relative.beta.NK.cells.activated	0.0	0.0	0.0
Monocytes	0.06675850059052192	0.0	0.0
relative.beta.Macrophages.M0	0.661277172239479	1.11096893279233	0.0
Macrophages_M1	0.0	0.0	0.20136830345211296
Macrophages_M2	1.5827922058983002	0.919741564544722	0.0
relative.beta.Dendritic.cells.resting	0.38733003441793606	0.0	0.0
relative.beta.Dendritic.cells.activated	0.19667364829919398	0.380202591553259	7.7323832163096915
relative.beta.Mast.cells.resting	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.26443115138203804
Neutrophils	0.0	0.0	0.0
Macrophages	2.2440693781377794	2.0307104973370524	0.20136830345211296
B_cells	75.47199030036661	71.11323711510299	45.4624235473221
CD4_T_cells	16.21077294669858	24.573419360796123	42.89043090759911
Non_plasma_B_cells	64.3040495480748	66.00623256074812	45.4624235473221
Dendritic_cells	0.58400368271713	0.380202591553259	7.7323832163096915
T_cells	21.63317813818799	26.47584979600669	44.003758930094975
NK_cells	0.0	0.0	2.33563485143915
Lymphocytes	97.10516843855459	97.58908691110969	91.80181732885622
