	CCRCC_5	CCRCC_17	CCRCC_10	CCRCC_19	CCRCC_3	CCRCC_25	CCRCC_22	CCRCC_18	CCRCC_26	CCRCC_9	CCRCC_30	CCRCC_13	CCRCC_24	CCRCC_15	CCRCC_27	CCRCC_11	CCRCC_1	CCRCC_4	CCRCC_16	CCRCC_7	CCRCC_6	CCRCC_23	CCRCC_14	CCRCC_31	CCRCC_28	CCRCC_21	CCRCC_8	CCRCC_12
relative.beta.B.cells.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.B.cells.memory	0.0	0.0	0.0	3.22422459240789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.153317433414499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73108207448893	7.261723433783572	0.0
Plasma_B_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14133660801793602	0.0	0.0	46.68708359985639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	16.6662762034518	33.6006371833513	16.193944247599493	4.525678903547679	19.296132972863198	21.35841257350789	8.55639308422044	16.7156372788696	26.6609063633508	37.28857942230929	1.76194372303948	27.337072593044	13.320210498090198	9.01685706372758	7.178018288766871	8.40233236043821	24.05666213876	14.0548633433542	12.617777741006696	2.43354955533414	12.683793637163	4.561922062349019	12.247781603267601	21.0368048885142	0.0	25.8336522140387	13.185744186287401	27.908127232849303
relative.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	12.603609278126301	0.0	8.38615190646312	11.5613094025436	0.0	0.0	0.0	0.0	0.7416237817094641	0.0	10.0809660820971	0.0	28.056392140585604	0.0	0.0	0.0	0.0	11.7391752008836	1.28930120622167	0.0	0.0	1.25064818295708	0.0	12.8187937651302	0.0
relative.beta.T.cells.CD4.memory.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.285447669266482	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.47315443671626	4.25705042723804	0.0	0.0	6.4350736466471	0.0	0.0	0.0	10.840226061976098	11.5686143006233	0.0	0.0	0.0	0.0	0.816852424032003	0.0	0.0	0.0	0.0	12.185801257309501
