	TWDN-WUR-117-A1	TWDN-WUR-117-A2	TWDN-WUR-117-A3	TWDN-WUR-120-A1	TWDN-WUR-120-A2	TWDN-WUR-120-A3	TWDN-WUR-124-A1	TWDN-WUR-124-A2
relative.beta.B.cells.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.B.cells.memory	0.8217065937197819	0.0	0.0	0.7524357245970319	0.0	0.0	0.8207456420703729	0.0
Plasma_B_cells	3.2245122023879	13.5974192394051	0.6424109989379501	4.07811339186833	0.0	0.034448000296171004	0.0	0.0
CD8_T_cells	15.348051977131504	6.042623839428379	12.130744501173902	0.0	0.0	0.0	3.30496949856852	4.22395097749042
relative.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.CD4.memory.activated	0.0	17.282830599926598	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.follicular.helper	0.0	1.1795024800299099	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	3.68449706475168	0.0	0.0	0.0	3.05477417196374	0.0
relative.beta.NK.cells.resting	2.5125104362410697	9.73753515616094	0.0	2.4251294278329003	5.67897048660223	3.58160941141369	8.18825922223164	8.22204799260939
relative.beta.NK.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocytes	16.8027180097395	11.0789244047977	4.73834854593691	5.869110419791441	6.372570074431731	0.295988560807723	16.4540230227879	12.291541755386099
relative.beta.Macrophages.M0	23.18405211644889	0.0	24.8991866925276	51.635742370075995	42.1473032288464	54.550893076299	8.37968190250256	24.660713413446498
Macrophages_M1	0.0	5.71236005584914	2.73420371153075	0.0	0.7789313967795419	0.687939459706904	2.01327315329623	0.0
Macrophages_M2	36.2416043215545	29.251135760116906	49.35063267287661	31.5250590271029	39.11036515191729	38.0429504871545	54.518245114278095	45.1658661027321
relative.beta.Dendritic.cells.resting	0.0	0.112036882058104	0.0	0.0	0.0	0.0	0.0	0.66974050062456
relative.beta.Dendritic.cells.activated	0.0	0.604818794421003	0.0	0.0	0.0	0.0	0.0	1.3173029524805
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	3.26602827230097	2.93782850454863
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.511007800681826
Neutrophils	1.8648443427769	5.400812787806281	1.8199758122646	3.7144096387314	5.911859661422759	2.80617100432199	0.0	0.0
NK_cells	2.5125104362410697	9.73753515616094	0.0	2.4251294278329003	5.67897048660223	3.58160941141369	8.18825922223164	8.22204799260939
Macrophages	59.42565643800339	34.96349581596604	76.98402307693496	83.1608013971789	82.03659977754323	93.2817830231604	64.91120017007688	69.82657951617861
Non_plasma_B_cells	0.8217065937197819	0.0	0.0	0.7524357245970319	0.0	0.0	0.8207456420703729	0.0
CD4_T_cells	0.0	18.462333079956508	0.0	0.0	0.0	0.0	0.0	0.0
B_cells	4.046218796107682	13.5974192394051	0.6424109989379501	4.830549116465361	0.0	0.034448000296171004	0.8207456420703729	0.0
T_cells	15.348051977131504	24.504956919384888	15.815241565925579	0.0	0.0	0.0	6.35974367053226	4.22395097749042
Dendritic_cells	0.0	0.7168556764791069	0.0	0.0	0.0	0.0	0.0	1.98704345310506
Lymphocytes	21.90678120948025	47.83991131495093	16.45765256486353	7.255678544298263	5.67897048660223	3.616057411709861	15.368748534834273	12.445998970099806
