	1k_PBMC_v3	8k_PBMC_v2	68k_PBMC_v1	3k_PBMC_v1	10k_PBMC_v3	4k_PBMC_v2	1k_PBMC_v2	5k_PBMC_v3	6k_PBMC_v1
relative.beta.B.cells.naive	5.17556584058848	9.93015403412403	0.28529122025310394	4.45938421381479	4.9964782419439295	11.502512565083398	8.600089890716209	2.3457020185210897	6.20527399882671
relative.beta.B.cells.memory	8.87884352971289	1.4437890337950599	1.5259407610171998	5.070864053253731	2.8460894936910295	1.51507573573857	0.0	6.809876250254028	4.62673596509732
Plasma_B_cells	2.41493273036612	4.4754876146698495	1.7483903070200002	1.9312806096675899	2.29816614870584	3.24247596976888	1.95069819606926	0.8328564014201129	4.537336343826049
CD8_T_cells	8.938662046692219	18.3647489154437	72.242067072671	37.57317643942101	9.43389203081638	18.163595043167398	13.445641698570302	8.260145444689599	37.7568188529729
relative.beta.T.cells.CD4.naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2302469181511	0.0
relative.beta.T.cells.CD4.memory.resting	27.071348492667397	33.324559088533505	18.839657506451204	24.300533593274604	25.134175403766697	33.712991373700504	35.2061084446841	28.2183105508075	20.248504176298706
relative.beta.T.cells.CD4.memory.activated	0.0	4.8287459315081	0.0	1.8131412470116999	0.0	4.90283475237537	5.6887241382956795	2.07050297019236	0.0
relative.beta.T.cells.follicular.helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7907652229581059	0.0
relative.beta.T.cells.gamma.delta	0.0	0.0	0.0	0.008608651045286159	0.0	1.31689753304566	2.6756374862508796	0.0	0.8458828443002221
relative.beta.NK.cells.resting	2.01814223106393	0.0	0.224778289014453	0.0	2.4750161042400496	0.0	0.0	0.0	0.0
relative.beta.NK.cells.activated	0.6284109555581929	0.0	3.4612116175884013	2.17416315179722	0.0	0.0	1.53800292186465	4.7066067464952805	2.59611162399333
Monocytes	44.874094173350706	27.632515381925703	1.6726632259846699	22.016853607366503	52.81065360590019	25.643617027120104	30.89509722354891	33.7349874765108	22.051715810707503
relative.beta.Macrophages.M0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.6000318308427262	0.0	0.0	0.0	0.0	1.13162038397732
relative.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0519626025048876	0.0055289709358963286	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relative.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Non_plasma_B_cells	14.054409370301373	11.37394306791909	1.811231981270304	9.53024826706852	7.84256773563496	13.017588300821972	8.600089890716209	9.155578268775118	10.83200996392403
NK_cells	2.646553186622123	0.0	3.6859899066028547	2.17416315179722	2.4750161042400496	0.0	1.53800292186465	4.7066067464952805	2.59611162399333
Macrophages	0.0	0.0	0.0	0.6000318308427262	0.0	0.0	0.0	0.0	1.13162038397732
B_cells	16.469342100667493	15.849430682588938	3.559622288290304	11.461528876736109	10.1407338843408	16.26006427059085	10.55078808678547	9.988434670195232	15.369346307750082
T_cells	36.01001053935962	56.5180539354853	91.0817245791222	63.695459930752584	34.568067434583085	58.09631870228893	57.01611176780096	51.56997110679866	58.85120587357183
CD4_T_cells	27.071348492667397	38.1533050200416	18.839657506451204	26.113674840286304	25.134175403766697	38.615826126075866	40.894832582979774	43.30982566210907	20.248504176298706
Dendritic_cells	0.0	0.0	0.0	0.0519626025048876	0.0055289709358963286	0.0	0.0	0.0	0.0
Lymphocytes	55.125905826649245	72.36748461807423	98.32733677401535	77.3311519592859	47.18381742316394	74.35638297287976	69.10490277645107	66.26501252348918	76.81666380531524
