	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
B_cells	10.772734167689302	29.5282060435388	30.0176583963323	22.342565473333	13.920792775456198	16.938244440612802	34.2324292821456	16.4035687392667	18.836275513273	18.162345829152898	22.588178127024108	7.246679554112562
Macrophages_M1	0.9823878826937	1.6728921827370602	4.29605965975842	1.46152163478295	4.728994832429049	12.332211719156804	0.96921758839152	0.12952590086492	0.0	0.0	4.13821660986304	3.50843314098275
Macrophages_M2	3.2498869151811003	9.39670774538313	5.934184228331097	2.2410057758991604	2.2781135000289	2.7793313653440297	8.496943748934351	8.930482662906	10.753635477163801	6.25815229330061	13.155573776619098	3.9662139430956
Monocytes	5.578128526631019	3.9618253601274103	3.34812419787646	10.375587395498801	23.4500012294633	1.1511502207237099	0.0	1.90226003686588	10.482662911293499	9.30909124718583	6.155189992650532	18.549846059049305
Neutrophils	24.6781092563983	14.6986650488471	23.591015151639304	23.4063051650982	22.434202491030305	9.177849391751991	19.3188957957984	14.7859620234453	21.0817030892292	24.243613727196003	14.6808857218141	23.79862648165061
NK_cells	9.92140909494574	8.17947003770036	5.78729546549288	14.2350630705551	3.09256580636384	16.076063388177403	7.744637478248742	6.92842882619096	12.9054659175247	7.576595382799651	7.873713275878688	2.1131509303045903
T_helpers	0.0	0.21856917095943	1.52481705889902	8.636720926050751	0.0	0.0	0.0	0.0	0.0	7.003808158888099	0.0	0.0
CD8_T_cells	44.817344156460905	32.3436644107067	25.500845841670603	17.301230558782095	30.0953293652284	41.545149474233206	29.237876106481398	50.9197718104603	25.9402570915158	26.8285863901472	31.408242496150397	40.81704989080461
Tregs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.617806971329815	0.0	0.0
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	44.817344156460905	32.56223358166613	27.025662900569625	25.937951484832844	30.0953293652284	41.545149474233206	29.237876106481398	50.9197718104603	25.9402570915158	34.45020152036511	31.408242496150397	40.81704989080461
Macrophages	4.2322747978748	11.069599928120189	10.23024388808952	3.7025274106821096	7.0071083324579515	15.11154308450083	9.466161337325874	9.06000856377092	10.753635477163801	6.25815229330061	17.29379038648214	7.4746470840783505
CD4_T_cells	0.0	0.21856917095943	1.52481705889902	8.636720926050751	0.0	0.0	0.0	0.0	0.0	7.621615130217915	0.0	0.0
Lymphocytes	65.51148741909594	70.26990966290529	62.83061676239481	62.51558002872094	47.10868794704844	74.55945730302341	71.21494286687573	74.25176937591795	57.68199852231349	60.189142732317656	61.8701338990532	50.17688037522176
