	SRR1740054	SRR1740082
B_cells	9.127616275139221	10.360960961623801
Macrophages_M1	0.0	0.0
Macrophages_M2	2.8241440836138496	1.83436154223396
Monocytes	20.8769238999696	13.4088561188045
Neutrophils	4.01655305409263	9.31337573813874
NK_cells	17.042867473655	5.80124901246816
T_helpers	22.375549915357603	27.406926121545702
CD8_T_cells	16.9928827317781	20.4257152571632
Tregs	3.88249372467184	5.9856137700196514
Dendritic_cells	2.8609688417222703	5.462941478002289
T_cells	43.25092637180754	53.81825514872856
Macrophages	2.8241440836138496	1.83436154223396
CD4_T_cells	26.25804364002944	33.39253989156535
Lymphocytes	69.42141012060176	69.98046512282052
