	VIC-019-CL	VIC-025-CL	VIC-017-CL	VIC-041-CL	VIC-034-CL	VIC-020-CL	VIC-026-CL
B_cells	5.745403079407611	8.539610097745259	0.0	4.45999344106616	0.0	5.759557149131959	2.7055961735145297
Macrophages_M1	17.8993711939803	77.466685806911	29.364713872505398	38.9593234134394	100.0	47.09709972735	30.570625849854803
Macrophages_M2	0.5878429145323929	0.0	5.06203834622331	0.0	0.0	0.0	6.454345807175541
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	8.74663735328866
NK_cells	8.70198423377117	9.9971116451589	65.57324778127129	5.2030562930503095	0.0	4.88490489349983	2.69121251470703
T_helpers	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	1.8371188105407497	0.0	0.0	28.401237484339504	0.0	8.63016846073155	8.192927601341701
Tregs	9.011703576711753	3.99659245018486	0.0	22.976389368104602	0.0	33.628269769286604	13.3637152104284
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	10.8488223872525	3.99659245018486	0.0	51.3776268524441	0.0	42.25843823001815	21.556642811770104
Macrophages	18.487214108512692	77.466685806911	34.426752218728716	38.9593234134394	100.0	47.09709972735	37.024971657030356
CD4_T_cells	9.011703576711753	3.99659245018486	0.0	22.976389368104602	0.0	33.628269769286604	13.3637152104284
Lymphocytes	25.296209700431284	22.533314193089023	65.57324778127129	61.04067658656057	0.0	52.90290027264993	26.953451499991655
